Analizing File:  DynaLoader.c
        4.03 real         0.08 user         0.01 sys
        2.72 real         0.10 user         0.02 sys
        3.99 real         0.12 user         0.02 sys
        4.38 real         0.10 user         0.05 sys
        5.64 real         0.10 user         0.05 sys
        3.33 real         0.09 user         0.02 sys
        3.30 real         0.11 user         0.07 sys
        3.17 real         0.10 user         0.02 sys
        3.03 real         0.12 user         0.02 sys
        2.99 real         0.11 user         0.02 sys
Analizing File:  Opcode.c
        4.16 real         0.48 user         0.03 sys
        3.75 real         0.47 user         0.03 sys
        2.25 real         0.21 user         0.01 sys
        1.42 real         0.18 user         0.01 sys
        1.41 real         0.17 user         0.01 sys
        1.42 real         0.18 user         0.01 sys
        1.42 real         0.18 user         0.01 sys
        1.42 real         0.19 user         0.01 sys
        1.46 real         0.18 user         0.01 sys
        1.45 real         0.18 user         0.01 sys
Analizing File:  av.c
        1.49 real         0.16 user         0.01 sys
        1.56 real         0.17 user         0.01 sys
        1.57 real         0.17 user         0.01 sys
        1.48 real         0.17 user         0.01 sys
        2.18 real         0.21 user         0.01 sys
        2.54 real         0.18 user         0.01 sys
        1.78 real         0.18 user         0.01 sys
        1.54 real         0.17 user         0.01 sys
        1.54 real         0.16 user         0.01 sys
        1.51 real         0.17 user         0.01 sys
Analizing File:  CMakeCCompilerId.c
        0.07 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.10 real         0.04 user         0.00 sys
        0.11 real         0.04 user         0.01 sys
        0.06 real         0.03 user         0.00 sys
Analizing File:  feature_tests.c
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
Analizing File:  caretx.c
        1.28 real         0.03 user         0.00 sys
        1.09 real         0.03 user         0.00 sys
        1.12 real         0.03 user         0.00 sys
        1.47 real         0.03 user         0.00 sys
        1.30 real         0.03 user         0.00 sys
        1.13 real         0.03 user         0.00 sys
        1.16 real         0.03 user         0.00 sys
        1.13 real         0.03 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
        1.17 real         0.03 user         0.01 sys
Analizing File:  MD5.c
        1.56 real         0.19 user         0.01 sys
        1.68 real         0.20 user         0.01 sys
        1.81 real         0.23 user         0.01 sys
        1.60 real         0.19 user         0.01 sys
        1.86 real         0.20 user         0.01 sys
        1.55 real         0.19 user         0.01 sys
        1.51 real         0.19 user         0.01 sys
        4.57 real         0.26 user         0.01 sys
        1.67 real         0.19 user         0.01 sys
        1.68 real         0.21 user         0.01 sys
Analizing File:  SHA.c
        3.09 real         0.57 user         0.02 sys
        2.93 real         0.56 user         0.02 sys
        2.96 real         0.54 user         0.02 sys
        3.18 real         0.60 user         0.02 sys
        2.98 real         0.52 user         0.01 sys
        3.14 real         0.62 user         0.02 sys
        2.87 real         0.53 user         0.01 sys
        3.36 real         0.54 user         0.04 sys
        2.84 real         0.52 user         0.01 sys
        2.89 real         0.53 user         0.01 sys
Analizing File:  sdf.c
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.02 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
Analizing File:  sha.c
        1.17 real         0.03 user         0.00 sys
        0.97 real         0.03 user         0.00 sys
        0.96 real         0.02 user         0.00 sys
        1.15 real         0.03 user         0.00 sys
        0.98 real         0.03 user         0.00 sys
        1.02 real         0.03 user         0.00 sys
        1.01 real         0.03 user         0.00 sys
        1.02 real         0.02 user         0.00 sys
        1.17 real         0.02 user         0.00 sys
        0.99 real         0.03 user         0.00 sys
Analizing File:  sha64bit.c
        0.04 real         0.03 user         0.00 sys
        0.06 real         0.04 user         0.01 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
Analizing File:  Parser.c
        2.80 real         0.84 user         0.04 sys
        3.42 real         1.01 user         0.03 sys
        2.94 real         0.86 user         0.02 sys
        2.89 real         0.86 user         0.02 sys
        2.79 real         0.85 user         0.02 sys
        2.83 real         0.84 user         0.02 sys
        2.95 real         0.85 user         0.02 sys
        3.01 real         0.85 user         0.02 sys
        2.92 real         0.85 user         0.02 sys
        2.79 real         0.83 user         0.01 sys
Analizing File:  hparser.c
        0.19 real         0.02 user         0.00 sys
        0.19 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.19 real         0.02 user         0.00 sys
        0.18 real         0.03 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
Analizing File:  parser-util.c
        0.08 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.08 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
Analizing File:  Base64.c
        1.57 real         0.18 user         0.01 sys
        1.51 real         0.16 user         0.01 sys
        1.55 real         0.16 user         0.01 sys
        1.89 real         0.17 user         0.01 sys
        1.46 real         0.16 user         0.01 sys
        1.52 real         0.16 user         0.01 sys
        1.75 real         0.17 user         0.03 sys
        1.50 real         0.16 user         0.01 sys
        1.53 real         0.17 user         0.01 sys
        1.44 real         0.15 user         0.00 sys
Analizing File:  ListUtil.c
        1.61 real         0.03 user         0.00 sys
        1.68 real         0.02 user         0.00 sys
        1.75 real         0.02 user         0.00 sys
        1.60 real         0.02 user         0.00 sys
        1.67 real         0.03 user         0.00 sys
        2.01 real         0.02 user         0.00 sys
        1.62 real         0.02 user         0.00 sys
        1.62 real         0.03 user         0.00 sys
        1.68 real         0.02 user         0.00 sys
        1.57 real         0.02 user         0.00 sys
Analizing File:  HiRes.c
        1.46 real         0.17 user         0.01 sys
        1.46 real         0.16 user         0.01 sys
        1.43 real         0.16 user         0.01 sys
        1.71 real         0.16 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.37 real         0.16 user         0.01 sys
        1.37 real         0.16 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.38 real         0.16 user         0.00 sys
        1.38 real         0.16 user         0.01 sys
Analizing File:  deb.c
        1.19 real         0.07 user         0.00 sys
        1.18 real         0.07 user         0.01 sys
        1.17 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.00 sys
        1.18 real         0.07 user         0.01 sys
        1.17 real         0.07 user         0.00 sys
        1.17 real         0.07 user         0.00 sys
        1.16 real         0.07 user         0.00 sys
        1.19 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
Analizing File:  Dumper.c
        2.86 real         1.21 user         0.01 sys
        2.96 real         1.23 user         0.02 sys
        2.98 real         1.25 user         0.02 sys
        2.87 real         1.20 user         0.01 sys
        2.89 real         1.22 user         0.01 sys
        2.96 real         1.25 user         0.02 sys
        2.89 real         1.25 user         0.02 sys
        2.88 real         1.21 user         0.01 sys
        2.88 real         1.22 user         0.01 sys
        2.88 real         1.20 user         0.01 sys
Analizing File:  IO.c
        1.36 real         0.15 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.35 real         0.15 user         0.00 sys
        1.39 real         0.17 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.38 real         0.15 user         0.00 sys
        1.36 real         0.15 user         0.01 sys
Analizing File:  poll.c
        1.14 real         0.05 user         0.00 sys
        1.14 real         0.05 user         0.00 sys
        1.19 real         0.05 user         0.01 sys
        1.13 real         0.05 user         0.01 sys
        1.14 real         0.05 user         0.01 sys
        1.17 real         0.05 user         0.01 sys
        1.14 real         0.05 user         0.00 sys
        1.12 real         0.04 user         0.00 sys
        1.13 real         0.05 user         0.00 sys
        1.12 real         0.05 user         0.01 sys
Analizing File:  Cwd.c
        1.10 real         0.02 user         0.00 sys
        1.12 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.12 real         0.02 user         0.00 sys
        1.10 real         0.02 user         0.00 sys
        1.11 real         0.02 user         0.00 sys
        1.12 real         0.02 user         0.00 sys
        1.10 real         0.02 user         0.00 sys
        1.10 real         0.02 user         0.00 sys
Analizing File:  Storable.c
        5.92 real         1.94 user         0.03 sys
        5.88 real         1.90 user         0.03 sys
        5.90 real         1.92 user         0.03 sys
        5.90 real         1.93 user         0.04 sys
        5.88 real         1.91 user         0.03 sys
        5.86 real         1.90 user         0.03 sys
        5.98 real         1.93 user         0.03 sys
        5.87 real         1.92 user         0.03 sys
        5.95 real         1.96 user         0.03 sys
        5.86 real         1.92 user         0.03 sys
Analizing File:  doio.c
        2.27 real         0.52 user         0.01 sys
        2.23 real         0.49 user         0.01 sys
        2.19 real         0.49 user         0.01 sys
        2.19 real         0.48 user         0.01 sys
        2.30 real         0.52 user         0.01 sys
        2.24 real         0.51 user         0.01 sys
        2.26 real         0.52 user         0.01 sys
        2.41 real         0.51 user         0.01 sys
        2.18 real         0.49 user         0.01 sys
        2.18 real         0.48 user         0.01 sys
Analizing File:  doop.c
        1.90 real         0.38 user         0.01 sys
        1.94 real         0.38 user         0.01 sys
        1.94 real         0.39 user         0.01 sys
        1.94 real         0.39 user         0.01 sys
        1.91 real         0.39 user         0.01 sys
        1.89 real         0.39 user         0.01 sys
        1.93 real         0.39 user         0.01 sys
        1.98 real         0.40 user         0.01 sys
        1.89 real         0.38 user         0.01 sys
        1.88 real         0.38 user         0.01 sys
Analizing File:  dquote.c
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.09 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.09 real         0.03 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
Analizing File:  dump.c
        3.06 real         0.80 user         0.01 sys
        3.10 real         0.75 user         0.02 sys
        3.42 real         0.84 user         0.02 sys
        3.13 real         0.76 user         0.02 sys
        3.10 real         0.75 user         0.02 sys
        3.05 real         0.74 user         0.02 sys
        3.12 real         0.75 user         0.02 sys
        3.17 real         0.77 user         0.02 sys
        3.06 real         0.75 user         0.02 sys
        3.17 real         0.73 user         0.04 sys
Analizing File:  Peek.c
        1.44 real         0.18 user         0.01 sys
        1.44 real         0.17 user         0.03 sys
        1.61 real         0.19 user         0.01 sys
        1.56 real         0.18 user         0.01 sys
        1.41 real         0.17 user         0.02 sys
        1.34 real         0.16 user         0.01 sys
        1.37 real         0.17 user         0.01 sys
        2.95 real         0.17 user         0.01 sys
        1.38 real         0.17 user         0.01 sys
        1.45 real         0.16 user         0.01 sys
Analizing File:  Glob.c
        1.33 real         0.16 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
        1.37 real         0.16 user         0.01 sys
        1.35 real         0.17 user         0.01 sys
        1.39 real         0.16 user         0.01 sys
        1.47 real         0.16 user         0.01 sys
        1.41 real         0.17 user         0.01 sys
        1.43 real         0.17 user         0.01 sys
        1.43 real         0.18 user         0.01 sys
        1.43 real         0.18 user         0.01 sys
Analizing File:  bsd_glob.c
        4.35 real         0.20 user         0.03 sys
        1.39 real         0.13 user         0.01 sys
        1.45 real         0.13 user         0.01 sys
        1.35 real         0.13 user         0.01 sys
        1.43 real         0.15 user         0.01 sys
        1.43 real         0.14 user         0.01 sys
        1.42 real         0.14 user         0.01 sys
        2.05 real         0.13 user         0.00 sys
        1.39 real         0.13 user         0.00 sys
        1.42 real         0.13 user         0.01 sys
Analizing File:  Util.c
        1.44 real         0.15 user         0.01 sys
        1.38 real         0.14 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.45 real         0.14 user         0.01 sys
        1.38 real         0.14 user         0.01 sys
        1.39 real         0.14 user         0.00 sys
        1.49 real         0.15 user         0.01 sys
        1.45 real         0.15 user         0.01 sys
        1.49 real         0.15 user         0.01 sys
        1.71 real         0.16 user         0.01 sys
Analizing File:  FieldHash.c
        1.60 real         0.13 user         0.01 sys
        1.80 real         0.12 user         0.01 sys
        1.40 real         0.12 user         0.01 sys
        1.47 real         0.13 user         0.01 sys
        1.47 real         0.13 user         0.01 sys
        1.63 real         0.15 user         0.01 sys
        1.51 real         0.13 user         0.01 sys
        1.37 real         0.12 user         0.01 sys
        1.53 real         0.13 user         0.01 sys
        1.42 real         0.12 user         0.01 sys
Analizing File:  scalar.c
        1.34 real         0.10 user         0.01 sys
        1.32 real         0.10 user         0.01 sys
        1.39 real         0.11 user         0.01 sys
        1.35 real         0.11 user         0.01 sys
        1.29 real         0.11 user         0.01 sys
        1.43 real         0.11 user         0.01 sys
        1.28 real         0.10 user         0.01 sys
        1.33 real         0.10 user         0.01 sys
        1.36 real         0.10 user         0.01 sys
        1.33 real         0.11 user         0.01 sys
Analizing File:  via.c
        1.49 real         0.17 user         0.01 sys
        1.58 real         0.17 user         0.01 sys
        1.51 real         0.17 user         0.01 sys
        1.75 real         0.17 user         0.01 sys
        1.59 real         0.17 user         0.01 sys
        1.48 real         0.18 user         0.01 sys
        1.49 real         0.17 user         0.01 sys
        1.62 real         0.19 user         0.01 sys
        1.54 real         0.18 user         0.01 sys
        1.50 real         0.18 user         0.01 sys
Analizing File:  Hostname.c
        1.16 real         0.03 user         0.00 sys
        1.22 real         0.03 user         0.00 sys
        1.18 real         0.04 user         0.01 sys
        3.60 real         0.04 user         0.03 sys
        1.23 real         0.04 user         0.00 sys
        1.21 real         0.03 user         0.00 sys
        1.28 real         0.04 user         0.00 sys
        1.16 real         0.04 user         0.00 sys
        1.21 real         0.03 user         0.00 sys
        1.24 real         0.04 user         0.01 sys
Analizing File:  NamedCapture.c
        1.21 real         0.08 user         0.01 sys
        1.25 real         0.09 user         0.01 sys
        1.18 real         0.08 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.29 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.19 real         0.08 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.38 real         0.10 user         0.01 sys
        1.30 real         0.09 user         0.01 sys
Analizing File:  stdio.c
        0.27 real         0.04 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.16 real         0.03 user         0.01 sys
        0.16 real         0.04 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.13 real         0.03 user         0.00 sys
        0.14 real         0.03 user         0.00 sys
        0.11 real         0.03 user         0.00 sys
        0.11 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  arybase.c
        1.50 real         0.16 user         0.01 sys
        1.45 real         0.16 user         0.01 sys
        1.59 real         0.17 user         0.01 sys
        1.46 real         0.16 user         0.01 sys
        1.53 real         0.16 user         0.01 sys
        1.51 real         0.17 user         0.01 sys
        1.64 real         0.16 user         0.01 sys
        1.45 real         0.16 user         0.01 sys
        1.88 real         0.21 user         0.01 sys
        1.68 real         0.19 user         0.01 sys
Analizing File:  attributes.c
        1.40 real         0.10 user         0.01 sys
        1.41 real         0.11 user         0.01 sys
        1.32 real         0.10 user         0.01 sys
        1.26 real         0.10 user         0.01 sys
        1.28 real         0.09 user         0.00 sys
        1.29 real         0.10 user         0.00 sys
        1.32 real         0.10 user         0.01 sys
