FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
toke.c,Perl_scan_num-23,"set(['15', '156', '159', '31', '53', '52', '285', '290', '286'])",set(['31']),"set(['15', '156', '159', '53', '52', '285', '290', '286'])",set([]),subset
toke.c,Perl_scan_num-22,"set(['144', '142', '141', '159', '156', '53', '15', '139', '285', '290', '286'])","set(['144', '142', '156', '141', '53', '139', '290'])","set(['159', '285', '15', '286'])",set([]),subset
toke.c,Perl_scan_num-21,"set(['144', '142', '141', '159', '285', '156', '115', '114', '67', '100', '119', '139', '290', '286'])","set(['142', '141', '115', '114', '67', '100', '119', '139'])","set(['144', '156', '159', '285', '290', '286'])",set([]),subset
toke.c,Perl_scan_num-20,"set(['11', '12', '15', '156', '159', '53', '52', '285', '290', '286'])","set(['11', '12', '15', '156', '53', '52'])","set(['159', '285', '290', '286'])",set([]),subset
toke.c,S_checkcomma-2,"set(['15', '4', '22', '21'])","set(['15', '4'])","set(['21', '22'])",set([]),subset
toke.c,S_checkcomma-3,"set(['11', '12', '4', '22', '21'])","set(['11', '12', '4'])","set(['21', '22'])",set([]),subset
toke.c,S_checkcomma-0,"set(['123', '23', '30', '29', '63', '93'])","set(['123', '23', '30', '29', '63', '93'])",set([]),set([]),subset
toke.c,S_checkcomma-1,"set(['120', '115', '121', '117', '123', '118'])","set(['115', '121', '118'])","set(['120', '117', '123'])",set([]),subset
toke.c,S_scan_pat-0,"set(['13', '23'])",set(['13']),set(['23']),set([]),subset
toke.c,S_scan_pat-1,"set(['8', '7', '6'])",set(['6']),"set(['8', '7'])",set([]),subset
toke.c,S_regcurly-0,set(['15']),set(['15']),set([]),set([]),subset
toke.c,S_regcurly-1,"set(['11', '15', '14', '7'])","set(['11', '15', '14', '7'])",set([]),set([]),subset
toke.c,S_force_strict_version-3,set(['17']),set(['17']),set([]),set([]),subset
toke.c,S_force_strict_version-2,"set(['17', '16'])","set(['17', '16'])",set([]),set([]),subset
toke.c,S_force_strict_version-1,"set(['1', '15', '17', '16'])","set(['1', '15', '17', '16'])",set([]),set([]),subset
toke.c,S_force_strict_version-0,set(['17']),set(['17']),set([]),set([]),subset
toke.c,S_force_word-5,"set(['38', '37', '36'])","set(['38', '37', '36'])",set([]),set([]),subset
toke.c,S_force_word-4,"set(['26', '38', '37', '31'])",set(['26']),"set(['31', '38', '37'])",set([]),subset
toke.c,S_force_word-3,"set(['26', '38', '37', '31'])",set(['26']),"set(['31', '38', '37'])",set([]),subset
toke.c,S_force_word-2,"set(['31', '38', '37', '29'])","set(['38', '29'])","set(['31', '37'])",set([]),subset
toke.c,S_force_word-1,{},{},set([]),set([]),subset
toke.c,S_force_word-0,"set(['31', '38', '37', '29'])",set(['38']),"set(['31', '37', '29'])",set([]),subset
toke.c,S_pending_ident-2,set(['102']),set(['102']),set([]),set([]),subset
toke.c,S_pending_ident-0,set(['102']),set(['102']),set([]),set([]),subset
toke.c,S_pending_ident-1,"set(['33', '102', '59', '36'])","set(['33', '102', '59', '36'])",set([]),set([]),subset
toke.c,S_scan_str-2,set(['21']),set(['21']),set([]),set([]),subset
toke.c,S_scan_str-3,"set(['31', '45', '248', '120', '98', '108', '240', '128', '295', '118', '104'])","set(['98', '108', '104'])","set(['31', '45', '118', '120', '240', '128', '295', '248'])",set([]),subset
toke.c,S_scan_str-0,set(['295']),set(['295']),set([]),set([]),subset
toke.c,S_scan_trans-0,"set(['12', '5'])","set(['12', '5'])",set([]),set([]),subset
toke.c,S_scan_str-6,"set(['31', '45', '63', '240', '128', '295', '248'])",{},"set(['31', '45', '63', '240', '128', '295', '248'])",set([]),subset
toke.c,S_scan_str-7,"set(['31', '45', '248', '120', '117', '240', '128', '295', '118'])","set(['120', '128', '117', '45', '118'])","set(['31', '295', '248', '240'])",set([]),subset
toke.c,S_scan_str-4,"set(['31', '45', '120', '240', '128', '93', '295', '95', '248'])","set(['45', '120', '128', '93', '295', '95'])","set(['31', '240', '248'])",set([]),subset
