FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
Glob.c,XS_File__Glob_GLOB_ERROR-0,set([]),set(['22'])
IO.c,XS_IO__Handle_setbuf-0,set([]),set(['11'])
IO.c,XS_IO__Handle_sync-0,set([]),set(['11'])
IO.c,XS_IO__Handle_untaint-0,set([]),set(['25'])
IO.c,XS_IO__Handle_clearerr-0,set([]),set(['25'])
IO.c,XS_IO__Handle_setvbuf-0,set([]),set(['11'])
IO.c,XS_IO__Handle_flush-0,set([]),set(['14'])
IO.c,XS_IO__Seekable_getpos-0,set([]),set(['11'])
IO.c,XS_IO__Poll__poll-0,set([]),set(['28'])
IO.c,XS_IO__Handle__create_getline_subs-0,set([]),set(['9'])
IO.c,XS_IO__Handle_error-0,set([]),set(['25'])
IO.c,XS_IO__Seekable_setpos-0,set([]),set(['14'])
IO.c,XS_IO__File_new_tmpfile-0,set([]),set(['19'])
FieldHash.c,XS_Hash__Util__FieldHash_id_2obj-0,set([]),set(['9'])
FieldHash.c,XS_Hash__Util__FieldHash__fieldhash-0,set([]),set(['31'])
FieldHash.c,XS_Hash__Util__FieldHash_CLONE-0,set([]),set(['14'])
FieldHash.c,XS_Hash__Util__FieldHash__test_uvar_get-0,set([]),set(['12'])
FieldHash.c,XS_Hash__Util__FieldHash_register-0,set([]),set(['16'])
NamedCapture.c,XS_Tie__Hash__NamedCapture_TIEHASH-0,set([]),set(['55'])
mro.c,XS_mro_get_linear_isa-0,set([]),set(['8'])
Peek.c,XS_Devel__Peek_mstat-0,set([]),set(['16'])
Peek.c,XS_Devel__Peek_SvREFCNT-0,set([]),set(['28'])
Peek.c,XS_Devel__Peek_runops_debug-0,set([]),set(['13'])
Peek.c,XS_Devel__Peek_DeadCode-0,set([]),set(['6'])
Peek.c,XS_Devel__Peek_CvGV-0,set([]),set(['10'])
Peek.c,XS_Devel__Peek_mstats_fillhash-0,set([]),set(['16'])
Peek.c,XS_Devel__Peek_mstats2hash-0,set([]),set(['16'])
Peek.c,XS_Devel__Peek_fill_mstats-0,set([]),set(['16'])
universal.c,XS_universal_version-0,set([]),set(['60'])
universal.c,XS_utf8_encode-0,set([]),set(['16'])
universal.c,XS_Internals_SvREFCNT-0,set([]),set(['17'])
universal.c,XS_version_stringify-0,set([]),set(['13'])
universal.c,XS_PerlIO_get_layers-0,set([]),set(['221'])
universal.c,XS_utf8_upgrade-0,set([]),set(['23'])
universal.c,XS_version_boolean-0,set([]),set(['13'])
universal.c,XS_version_normal-0,set([]),set(['13'])
universal.c,XS_utf8_unicode_to_native-0,set([]),set(['9'])
universal.c,XS_version_noop-0,set([]),set(['13'])
universal.c,XS_utf8_native_to_unicode-0,set([]),set(['9'])
universal.c,XS_version_new-0,set([]),set(['63'])
universal.c,XS_re_regexp_pattern-0,set([]),set(['25'])
universal.c,XS_utf8_decode-0,set([]),set(['17'])
universal.c,XS_constant__make_const-0,set([]),set(['16'])
universal.c,XS_version_numify-0,set([]),set(['13'])
universal.c,XS_Internals_hv_clear_placehold-0,set([]),set(['7'])
universal.c,XS_utf8_downgrade-0,set([]),set(['48'])
universal.c,XS_version_vcmp-0,set([]),set(['27'])
perlio.c,XS_PerlIO__Layer__find-0,set([]),set(['48'])
perlio.c,XS_PerlIO__Layer__NoWarnings-0,set([]),set(['9'])
arybase.c,XS_arybase__mg_STORE-0,set([]),set(['63'])
re.c,XS_re_regmust-0,set([]),set(['26'])
MD5.c,XS_Digest__MD5_DESTROY-0,set([]),set(['9'])
MD5.c,XS_Digest__MD5_context-0,set([]),set(['18'])
Parser.c,XS_HTML__Parser_ignore_tags-0,set([]),set(['43'])
Parser.c,XS_HTML__Parser_strict_comment-0,set([]),set(['60'])
Parser.c,XS_HTML__Entities__probably_utf8_chunk-0,set([]),set(['9'])
Parser.c,XS_HTML__Entities__decode_entities-0,set([]),set(['62'])
Parser.c,XS_HTML__Entities_UNICODE_SUPPORT-0,set([]),set(['22'])
Parser.c,boot_HTML__Parser-0,set([]),set(['9'])
Parser.c,XS_HTML__Parser_boolean_attribute_value-0,set([]),set(['11'])
Parser.c,XS_HTML__Parser__alloc_pstate-0,set([]),set(['12'])
HiRes.c,XS_Time__HiRes_sleep-0,set([]),set(['35'])
HiRes.c,XS_Time__HiRes_clock_getres-0,set([]),set(['29'])
HiRes.c,XS_Time__HiRes_clock-0,set([]),set(['22'])
HiRes.c,XS_Time__HiRes_alarm-0,set([]),set(['32'])
HiRes.c,XS_Time__HiRes_time-0,set([]),set(['25'])
HiRes.c,XS_Time__HiRes_nanosleep-0,set([]),set(['25'])
HiRes.c,XS_Time__HiRes_clock_gettime-0,set([]),set(['29'])
HiRes.c,XS_Time__HiRes_clock_nanosleep-0,set([]),set(['23'])
HiRes.c,XS_Time__HiRes_usleep-0,set([]),set(['35'])
HiRes.c,XS_Time__HiRes_ualarm-0,set([]),set(['32'])
mro_core.c,XS_mro_method_changed_in-0,set([]),set(['11'])
Opcode.c,XS_Opcode_opmask_add-0,set([]),set(['11'])
Opcode.c,XS_Opcode_opmask-0,set([]),set(['14'])
Opcode.c,XS_Opcode_verify_opset-0,set([]),set(['29'])
Opcode.c,XS_Opcode_define_optag-0,set([]),set(['9'])
Opcode.c,XS_Opcode_opset-0,set([]),set(['16'])
Opcode.c,XS_Opcode_invert_opset-0,set([]),set(['11'])
Opcode.c,boot_Opcode-0,set([]),set(['11'])
Opcode.c,XS_Opcode_full_opset-0,set([]),set(['6'])
Opcode.c,XS_Opcode_empty_opset-0,set([]),set(['6'])
Opcode.c,XS_Opcode_permit_only-0,set([]),set(['32'])
perl.c,S_Internals_V-0,set([]),set(['15'])
Storable.c,XS_Storable_mretrieve-0,set([]),set(['6'])
Storable.c,XS_Storable_dclone-0,set([]),set(['6'])
Storable.c,XS_Storable_mstore-0,set([]),set(['8'])
Storable.c,XS_Storable_init_perinterp-0,set([]),set(['9'])
Storable.c,XS_Storable_pretrieve-0,set([]),set(['6'])
SHA.c,XS_Digest__SHA_sharewind-0,set([]),set(['9'])
SHA.c,XS_Digest__SHA_shawrite-0,set([]),set(['28'])
SHA.c,XS_Digest__SHA_DESTROY-0,set([]),set(['9'])
SHA.c,XS_Digest__SHA_shainit-0,set([]),set(['25'])
Base64.c,XS_MIME__Base64_encoded_base64_length-0,set([]),set(['32'])
Base64.c,XS_MIME__Base64_decoded_base64_length-0,set([]),set(['38'])
Base64.c,XS_MIME__QuotedPrint_encode_qp-0,set([]),set(['125'])
Base64.c,XS_MIME__QuotedPrint_decode_qp-0,set([]),set(['70'])
Base64.c,XS_MIME__Base64_decode_base64-0,set([]),set(['43'])
Base64.c,XS_MIME__Base64_encode_base64-0,set([]),set(['51'])
DynaLoader.c,XS_DynaLoader_dl_error-0,set([]),set(['19'])
DynaLoader.c,boot_DynaLoader-0,set([]),set(['9'])
Util.c,XS_Hash__Util_bucket_info-7,set([]),set(['75'])
Util.c,XS_Hash__Util_hash_value-0,set([]),set(['20'])
Dumper.c,XS_Data__Dumper__vstring-0,set([]),set(['10'])
FinalResults,Total,0
