Analizing File:  DynaLoader.c
        3.12 real         0.08 user         0.01 sys
        3.03 real         0.09 user         0.01 sys
        2.85 real         0.07 user         0.01 sys
        2.99 real         0.10 user         0.02 sys
        3.01 real         0.10 user         0.01 sys
        3.06 real         0.08 user         0.01 sys
        3.25 real         0.10 user         0.02 sys
        4.42 real         0.08 user         0.01 sys
        3.02 real         0.09 user         0.01 sys
        3.15 real         0.11 user         0.02 sys
Analizing File:  Opcode.c
        3.92 real         0.52 user         0.04 sys
        3.98 real         0.44 user         0.03 sys
        4.06 real         0.44 user         0.02 sys
        1.57 real         0.17 user         0.01 sys
        1.40 real         0.17 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.39 real         0.16 user         0.00 sys
        1.42 real         0.16 user         0.01 sys
        1.41 real         0.17 user         0.01 sys
        1.44 real         0.17 user         0.01 sys
Analizing File:  av.c
        1.60 real         0.17 user         0.01 sys
        1.56 real         0.16 user         0.01 sys
        1.51 real         0.15 user         0.01 sys
        1.45 real         0.15 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        2.52 real         0.15 user         0.01 sys
        1.58 real         0.15 user         0.01 sys
        1.64 real         0.16 user         0.01 sys
        1.53 real         0.16 user         0.01 sys
        1.55 real         0.15 user         0.00 sys
Analizing File:  CMakeCCompilerId.c
        0.09 real         0.04 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.04 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
Analizing File:  feature_tests.c
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
Analizing File:  caretx.c
        1.11 real         0.03 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
        1.29 real         0.03 user         0.00 sys
        1.15 real         0.03 user         0.00 sys
        1.19 real         0.03 user         0.00 sys
        1.10 real         0.03 user         0.00 sys
        1.12 real         0.03 user         0.00 sys
        1.11 real         0.03 user         0.00 sys
        1.13 real         0.03 user         0.00 sys
Analizing File:  MD5.c
        1.58 real         0.19 user         0.01 sys
        1.63 real         0.21 user         0.01 sys
        1.73 real         0.19 user         0.01 sys
        1.55 real         0.19 user         0.01 sys
        1.52 real         0.18 user         0.01 sys
        1.54 real         0.18 user         0.01 sys
        1.56 real         0.18 user         0.01 sys
        1.60 real         0.20 user         0.01 sys
        1.51 real         0.18 user         0.01 sys
        1.47 real         0.18 user         0.01 sys
Analizing File:  SHA.c
        2.88 real         0.51 user         0.01 sys
        3.22 real         0.52 user         0.01 sys
        3.24 real         0.53 user         0.02 sys
        3.52 real         0.60 user         0.02 sys
        3.33 real         0.63 user         0.02 sys
        2.94 real         0.52 user         0.02 sys
        3.09 real         0.52 user         0.02 sys
        3.07 real         0.51 user         0.01 sys
        3.37 real         0.61 user         0.02 sys
        2.89 real         0.53 user         0.02 sys
Analizing File:  sdf.c
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.05 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
Analizing File:  sha.c
        0.98 real         0.03 user         0.00 sys
        1.02 real         0.02 user         0.00 sys
        1.01 real         0.03 user         0.00 sys
        1.03 real         0.03 user         0.00 sys
        1.21 real         0.02 user         0.00 sys
        1.01 real         0.03 user         0.00 sys
        0.97 real         0.03 user         0.00 sys
        1.18 real         0.03 user         0.00 sys
        1.26 real         0.03 user         0.01 sys
        0.99 real         0.03 user         0.01 sys
Analizing File:  sha64bit.c
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.01 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
Analizing File:  Parser.c
        2.43 real         0.48 user         0.01 sys
        2.57 real         0.49 user         0.01 sys
        2.52 real         0.50 user         0.02 sys
        2.48 real         0.49 user         0.01 sys
        2.50 real         0.51 user         0.02 sys
        2.49 real         0.50 user         0.02 sys
        2.44 real         0.48 user         0.01 sys
        2.66 real         0.55 user         0.02 sys
        2.60 real         0.49 user         0.01 sys
        2.47 real         0.53 user         0.02 sys
Analizing File:  hparser.c
        0.17 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.19 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
Analizing File:  parser-util.c
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
Analizing File:  Base64.c
        1.57 real         0.14 user         0.01 sys
        1.48 real         0.13 user         0.01 sys
        1.43 real         0.13 user         0.01 sys
        1.51 real         0.12 user         0.01 sys
        1.46 real         0.13 user         0.01 sys
        1.87 real         0.13 user         0.01 sys
        1.52 real         0.14 user         0.01 sys
        1.48 real         0.13 user         0.01 sys
        1.49 real         0.13 user         0.01 sys
        1.59 real         0.13 user         0.02 sys
Analizing File:  ListUtil.c
        1.98 real         0.02 user         0.00 sys
        1.52 real         0.03 user         0.00 sys
        1.81 real         0.02 user         0.00 sys
        1.72 real         0.02 user         0.00 sys
        1.80 real         0.02 user         0.00 sys
        1.62 real         0.02 user         0.00 sys
        1.61 real         0.02 user         0.00 sys
        1.56 real         0.02 user         0.00 sys
        1.63 real         0.02 user         0.00 sys
        1.62 real         0.02 user         0.00 sys
Analizing File:  HiRes.c
        1.48 real         0.16 user         0.01 sys
        1.53 real         0.15 user         0.01 sys
        1.48 real         0.16 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.39 real         0.15 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.43 real         0.14 user         0.01 sys
Analizing File:  deb.c
        1.20 real         0.06 user         0.00 sys
        1.17 real         0.06 user         0.01 sys
        1.17 real         0.06 user         0.01 sys
        1.17 real         0.06 user         0.01 sys
        1.16 real         0.06 user         0.01 sys
        1.16 real         0.06 user         0.00 sys
        1.17 real         0.06 user         0.01 sys
        1.20 real         0.06 user         0.01 sys
        1.17 real         0.06 user         0.00 sys
        1.17 real         0.06 user         0.01 sys
Analizing File:  Dumper.c
        2.11 real         0.37 user         0.01 sys
        2.02 real         0.34 user         0.01 sys
        2.06 real         0.35 user         0.01 sys
        2.05 real         0.34 user         0.01 sys
        2.04 real         0.33 user         0.01 sys
        1.98 real         0.34 user         0.01 sys
        2.00 real         0.34 user         0.01 sys
        2.02 real         0.35 user         0.01 sys
        2.00 real         0.34 user         0.01 sys
        1.98 real         0.34 user         0.01 sys
Analizing File:  IO.c
        1.41 real         0.14 user         0.01 sys
        1.36 real         0.14 user         0.00 sys
        1.45 real         0.16 user         0.01 sys
        1.36 real         0.14 user         0.00 sys
        1.33 real         0.14 user         0.01 sys
        1.38 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.00 sys
        1.39 real         0.14 user         0.01 sys
        1.39 real         0.14 user         0.00 sys
        1.33 real         0.14 user         0.01 sys
Analizing File:  poll.c
        1.15 real         0.05 user         0.01 sys
        1.13 real         0.04 user         0.00 sys
        1.15 real         0.05 user         0.01 sys
        1.16 real         0.04 user         0.00 sys
        1.13 real         0.04 user         0.00 sys
        1.14 real         0.04 user         0.01 sys
        1.14 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.13 real         0.04 user         0.00 sys
        1.16 real         0.04 user         0.01 sys
Analizing File:  Cwd.c
        1.13 real         0.02 user         0.00 sys
        1.13 real         0.02 user         0.00 sys
        1.09 real         0.03 user         0.00 sys
        1.13 real         0.02 user         0.00 sys
        1.13 real         0.02 user         0.00 sys
        1.10 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.08 real         0.02 user         0.00 sys
        1.11 real         0.02 user         0.00 sys
Analizing File:  Storable.c
        5.35 real         1.40 user         0.03 sys
        5.46 real         1.40 user         0.03 sys
        5.33 real         1.34 user         0.02 sys
        5.39 real         1.38 user         0.03 sys
        5.35 real         1.36 user         0.03 sys
        5.34 real         1.36 user         0.03 sys
        5.30 real         1.35 user         0.03 sys
        5.34 real         1.37 user         0.03 sys
        5.32 real         1.36 user         0.03 sys
        5.32 real         1.34 user         0.03 sys
Analizing File:  doio.c
        2.01 real         0.29 user         0.01 sys
        1.99 real         0.30 user         0.01 sys
        2.00 real         0.29 user         0.01 sys
        2.03 real         0.29 user         0.01 sys
        2.00 real         0.29 user         0.01 sys
        1.98 real         0.29 user         0.01 sys
        1.96 real         0.29 user         0.01 sys
        2.01 real         0.31 user         0.01 sys
        2.00 real         0.29 user         0.01 sys
