Analizing File:  DynaLoader.c
        3.30 real         0.10 user         0.01 sys
        2.83 real         0.09 user         0.01 sys
        2.93 real         0.07 user         0.01 sys
        3.18 real         0.07 user         0.01 sys
        2.89 real         0.09 user         0.01 sys
        3.19 real         0.11 user         0.02 sys
        4.90 real         0.09 user         0.02 sys
        3.82 real         0.09 user         0.01 sys
        3.12 real         0.11 user         0.01 sys
        3.40 real         0.08 user         0.01 sys
Analizing File:  Opcode.c
        4.72 real         0.45 user         0.04 sys
        3.98 real         0.45 user         0.02 sys
        3.71 real         0.44 user         0.02 sys
        1.46 real         0.17 user         0.00 sys
        1.42 real         0.17 user         0.00 sys
        1.41 real         0.18 user         0.01 sys
        1.41 real         0.18 user         0.01 sys
        1.46 real         0.17 user         0.01 sys
        1.41 real         0.17 user         0.01 sys
        1.41 real         0.17 user         0.01 sys
Analizing File:  av.c
        1.56 real         0.16 user         0.01 sys
        1.55 real         0.15 user         0.01 sys
        1.50 real         0.16 user         0.01 sys
        1.46 real         0.16 user         0.01 sys
        1.48 real         0.17 user         0.01 sys
        1.54 real         0.15 user         0.03 sys
        1.47 real         0.16 user         0.01 sys
        1.58 real         0.16 user         0.01 sys
        2.98 real         0.20 user         0.01 sys
        1.50 real         0.16 user         0.01 sys
Analizing File:  CMakeCCompilerId.c
        0.07 real         0.04 user         0.00 sys
        0.08 real         0.04 user         0.01 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.11 real         0.04 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
Analizing File:  feature_tests.c
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.06 real         0.04 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
Analizing File:  caretx.c
        1.16 real         0.03 user         0.00 sys
        1.13 real         0.03 user         0.01 sys
        1.11 real         0.03 user         0.00 sys
        1.20 real         0.03 user         0.00 sys
        1.29 real         0.03 user         0.00 sys
        1.26 real         0.03 user         0.00 sys
        1.09 real         0.03 user         0.00 sys
        1.13 real         0.03 user         0.00 sys
        1.10 real         0.03 user         0.00 sys
        1.22 real         0.03 user         0.00 sys
Analizing File:  MD5.c
        1.56 real         0.20 user         0.01 sys
        1.65 real         0.19 user         0.01 sys
        1.70 real         0.21 user         0.01 sys
        1.71 real         0.22 user         0.01 sys
        1.76 real         0.20 user         0.01 sys
        1.61 real         0.21 user         0.01 sys
        1.61 real         0.20 user         0.01 sys
        1.59 real         0.19 user         0.01 sys
        1.62 real         0.19 user         0.01 sys
        1.51 real         0.19 user         0.01 sys
Analizing File:  SHA.c
        2.98 real         0.54 user         0.02 sys
        2.97 real         0.53 user         0.01 sys
        2.92 real         0.52 user         0.02 sys
        3.47 real         0.55 user         0.02 sys
        3.50 real         0.63 user         0.02 sys
        2.88 real         0.54 user         0.01 sys
        3.08 real         0.57 user         0.02 sys
        3.11 real         0.55 user         0.02 sys
        3.33 real         0.54 user         0.02 sys
        2.87 real         0.51 user         0.01 sys
Analizing File:  sdf.c
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
Analizing File:  sha.c
        1.03 real         0.03 user         0.00 sys
        1.00 real         0.02 user         0.00 sys
