Analizing File:  DynaLoader.c
        3.26 real         0.07 user         0.01 sys
        2.95 real         0.11 user         0.02 sys
        3.32 real         0.09 user         0.05 sys
        5.04 real         0.07 user         0.01 sys
        3.80 real         0.07 user         0.01 sys
        3.19 real         0.11 user         0.02 sys
        4.35 real         0.09 user         0.01 sys
        2.84 real         0.11 user         0.02 sys
        6.32 real         0.10 user         0.02 sys
        3.19 real         0.09 user         0.01 sys
Analizing File:  Opcode.c
        6.28 real         0.48 user         0.08 sys
        4.04 real         0.47 user         0.02 sys
        4.19 real         0.48 user         0.04 sys
        1.41 real         0.17 user         0.01 sys
        1.42 real         0.17 user         0.01 sys
        1.44 real         0.17 user         0.00 sys
        1.42 real         0.18 user         0.01 sys
        1.41 real         0.18 user         0.01 sys
        1.42 real         0.17 user         0.01 sys
        1.41 real         0.17 user         0.01 sys
Analizing File:  av.c
        1.51 real         0.16 user         0.01 sys
        1.51 real         0.17 user         0.01 sys
        1.58 real         0.16 user         0.01 sys
        1.45 real         0.16 user         0.01 sys
        1.65 real         0.17 user         0.01 sys
        1.80 real         0.19 user         0.01 sys
        1.64 real         0.19 user         0.01 sys
        1.61 real         0.16 user         0.01 sys
        2.63 real         0.17 user         0.01 sys
        1.78 real         0.16 user         0.01 sys
Analizing File:  CMakeCCompilerId.c
        0.08 real         0.04 user         0.00 sys
        0.07 real         0.04 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
Analizing File:  feature_tests.c
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
Analizing File:  caretx.c
        1.17 real         0.03 user         0.00 sys
        1.11 real         0.03 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
        3.28 real         0.03 user         0.00 sys
        1.12 real         0.03 user         0.00 sys
        1.25 real         0.03 user         0.00 sys
        1.11 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.19 real         0.03 user         0.00 sys
        1.15 real         0.03 user         0.01 sys
Analizing File:  MD5.c
        1.76 real         0.20 user         0.01 sys
        1.62 real         0.20 user         0.01 sys
        1.89 real         0.22 user         0.01 sys
        1.63 real         0.20 user         0.01 sys
        1.64 real         0.19 user         0.01 sys
        1.55 real         0.19 user         0.01 sys
        1.61 real         0.20 user         0.01 sys
        1.69 real         0.19 user         0.01 sys
        1.77 real         0.19 user         0.01 sys
        1.52 real         0.19 user         0.01 sys
Analizing File:  SHA.c
        2.97 real         0.53 user         0.01 sys
        3.00 real         0.51 user         0.01 sys
        2.98 real         0.54 user         0.02 sys
        2.84 real         0.52 user         0.01 sys
        3.48 real         0.52 user         0.01 sys
        3.01 real         0.54 user         0.02 sys
        3.05 real         0.52 user         0.01 sys
        6.07 real         0.79 user         0.02 sys
        2.88 real         0.52 user         0.02 sys
        2.90 real         0.53 user         0.01 sys
Analizing File:  sdf.c
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
Analizing File:  sha.c
        0.96 real         0.02 user         0.00 sys
        0.99 real         0.02 user         0.00 sys
        0.96 real         0.02 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        0.96 real         0.02 user         0.00 sys
        0.98 real         0.02 user         0.00 sys
        0.97 real         0.02 user         0.00 sys
        1.24 real         0.03 user         0.01 sys
        1.20 real         0.03 user         0.01 sys
        0.95 real         0.03 user         0.00 sys
Analizing File:  sha64bit.c
        0.05 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
Analizing File:  Parser.c
        2.69 real         0.68 user         0.01 sys
        2.79 real         0.73 user         0.02 sys
        2.76 real         0.71 user         0.02 sys
        2.77 real         0.69 user         0.01 sys
        2.68 real         0.68 user         0.02 sys
        2.70 real         0.71 user         0.02 sys
        3.14 real         0.77 user         0.02 sys
        2.89 real         0.71 user         0.04 sys
        2.68 real         0.69 user         0.02 sys
        2.68 real         0.69 user         0.01 sys
Analizing File:  hparser.c
        0.19 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
        0.19 real         0.02 user         0.00 sys
        0.19 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.17 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.18 real         0.03 user         0.00 sys
Analizing File:  parser-util.c
        0.08 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.08 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.10 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
Analizing File:  Base64.c
        1.47 real         0.15 user         0.01 sys
        1.42 real         0.15 user         0.00 sys
        1.37 real         0.15 user         0.01 sys
        1.55 real         0.15 user         0.00 sys
        1.50 real         0.15 user         0.01 sys
        1.51 real         0.15 user         0.01 sys
        1.62 real         0.16 user         0.01 sys
        1.50 real         0.15 user         0.01 sys
        1.58 real         0.16 user         0.01 sys
        1.49 real         0.15 user         0.01 sys
Analizing File:  ListUtil.c
        1.65 real         0.02 user         0.00 sys
        1.68 real         0.03 user         0.00 sys
        1.99 real         0.02 user         0.00 sys
        4.71 real         0.03 user         0.03 sys
        1.72 real         0.02 user         0.00 sys
        1.72 real         0.02 user         0.00 sys
        1.77 real         0.03 user         0.01 sys
        1.64 real         0.02 user         0.00 sys
        1.62 real         0.02 user         0.00 sys
        1.68 real         0.02 user         0.00 sys
Analizing File:  HiRes.c
        1.51 real         0.16 user         0.01 sys
        1.47 real         0.17 user         0.01 sys
        1.93 real         0.20 user         0.01 sys
        1.39 real         0.16 user         0.01 sys
        1.39 real         0.16 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.38 real         0.16 user         0.01 sys
        1.38 real         0.15 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
Analizing File:  deb.c
        1.21 real         0.07 user         0.01 sys
        1.21 real         0.07 user         0.00 sys
        1.19 real         0.07 user         0.01 sys
        1.18 real         0.07 user         0.01 sys
        1.17 real         0.07 user         0.00 sys
        1.21 real         0.07 user         0.00 sys
        1.17 real         0.07 user         0.00 sys
        1.19 real         0.07 user         0.00 sys
        1.18 real         0.07 user         0.01 sys
        1.19 real         0.07 user         0.00 sys
Analizing File:  Dumper.c
        2.80 real         1.06 user         0.02 sys
        2.75 real         1.05 user         0.02 sys
        2.76 real         1.04 user         0.02 sys
        2.71 real         1.05 user         0.01 sys
        2.83 real         1.05 user         0.01 sys
        2.72 real         1.06 user         0.01 sys
        2.73 real         1.04 user         0.01 sys
        2.72 real         1.07 user         0.01 sys
        2.76 real         1.03 user         0.01 sys
        2.73 real         1.07 user         0.01 sys
Analizing File:  IO.c
        1.34 real         0.15 user         0.00 sys
        1.41 real         0.16 user         0.01 sys
