FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
toke.c,Perl_scan_num-23,"set(['15', '156', '159', '53', '52', '285', '290', '286'])",set([])
toke.c,Perl_scan_num-22,"set(['159', '285', '15', '286'])",set([])
toke.c,Perl_scan_num-21,"set(['144', '156', '159', '285', '290', '286'])",set([])
toke.c,Perl_scan_num-20,"set(['159', '285', '290', '286'])",set([])
toke.c,S_checkcomma-2,"set(['21', '22'])",set([])
toke.c,S_checkcomma-3,"set(['21', '22'])",set([])
toke.c,S_checkcomma-1,"set(['120', '117', '123'])",set([])
toke.c,S_scan_pat-0,set(['23']),set([])
toke.c,S_scan_pat-1,"set(['8', '7'])",set([])
toke.c,S_force_word-4,"set(['31', '38', '37'])",set([])
toke.c,S_force_word-3,"set(['31', '38', '37'])",set([])
toke.c,S_force_word-2,"set(['31', '37'])",set([])
toke.c,S_force_word-0,"set(['31', '37', '29'])",set([])
toke.c,S_scan_str-3,"set(['31', '45', '118', '120', '240', '128', '295', '248'])",set([])
toke.c,S_scan_str-6,"set(['31', '45', '63', '240', '128', '295', '248'])",set([])
toke.c,S_scan_str-7,"set(['31', '295', '248', '240'])",set([])
toke.c,S_scan_str-4,"set(['31', '240', '248'])",set([])
toke.c,S_scan_str-5,"set(['31', '45', '120', '240', '128', '295', '95', '248'])",set([])
toke.c,Perl_yylex-0,"set(['1070', '70'])",set([])
toke.c,Perl_yylex-2,set(['1070']),set([])
toke.c,Perl_lex_next_chunk-10,set(['60']),set([])
toke.c,Perl_yylex-4,set(['3224']),set([])
toke.c,S_get_and_check_backslash_N_name-0,"set(['50', '48'])",set([])
toke.c,Perl_yylex-12,"set(['3141', '3224'])",set([])
toke.c,Perl_yylex-13,set(['3224']),set([])
toke.c,Perl_yylex-10,set(['3224']),set([])
toke.c,Perl_yylex-11,set(['1070']),set([])
toke.c,Perl_yylex-16,"set(['3224', '2879'])",set([])
toke.c,Perl_yylex-17,"set(['3224', '2879'])",set([])
toke.c,Perl_yylex-14,set(['3224']),set([])
toke.c,Perl_yylex-15,set(['3224']),set([])
toke.c,Perl_yylex-18,set(['3224']),set([])
toke.c,Perl_yylex-19,"set(['3224', '2790'])",set([])
toke.c,Perl_lex_next_chunk-8,set(['60']),set([])
toke.c,Perl_lex_next_chunk-3,set(['60']),set([])
toke.c,Perl_lex_next_chunk-2,set(['60']),set([])
toke.c,Perl_lex_next_chunk-7,set(['60']),set([])
toke.c,S_find_in_my_stash-1,set(['28']),set([])
toke.c,S_find_in_my_stash-0,"set(['26', '28'])",set([])
toke.c,S_scan_const-2,"set(['450', '451', '449'])",set([])
toke.c,S_find_in_my_stash-2,set(['15']),set([])
toke.c,Perl_yylex-42,"set(['1947', '1070', '272', '274', '275', '162'])",set([])
toke.c,S_no_op-0,"set(['82', '83', '84'])",set([])
toke.c,Perl_scan_num-8,"set(['285', '290'])",set([])
toke.c,Perl_scan_num-0,set(['290']),set([])
toke.c,Perl_scan_num-1,"set(['144', '142', '156', '159', '141', '139', '285', '290', '286'])",set([])
toke.c,Perl_scan_num-2,"set(['144', '142', '141', '159', '156', '285', '290', '286'])",set([])
toke.c,Perl_scan_num-4,"set(['285', '290'])",set([])
toke.c,Perl_scan_num-5,"set(['144', '156', '159', '95', '97', '67', '100', '96', '285', '290', '286'])",set([])
toke.c,Perl_scan_num-6,"set(['279', '290', '286'])",set([])
toke.c,S_intuit_more-3,set(['157']),set([])
toke.c,S_intuit_more-2,"set(['154', '157'])",set([])
toke.c,Perl_scan_num-16,"set(['159', '285', '290', '286'])",set([])
toke.c,Perl_scan_num-17,"set(['159', '285', '290', '286'])",set([])
toke.c,Perl_scan_num-18,"set(['159', '286', '285', '290', '156'])",set([])
