FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
toke.c,S_force_word-0,set(['29']),set([])
toke.c,Perl_yylex-0,set(['70']),set([])
toke.c,S_get_and_check_backslash_N_name-0,"set(['50', '48'])",set([])
toke.c,S_find_in_my_stash-0,set(['26']),set([])
toke.c,Perl_scan_num-0,set(['290']),set([])
toke.c,Perl_filter_read-0,"set(['56', '43'])",set([])
toke.c,S_intuit_method-0,set(['33']),set([])
toke.c,Perl_yylex-41,"set(['272', '274', '275', '162'])",set([])
toke.c,S_utf16_textfilter-4,"set(['8', '50'])",set([])
toke.c,S_utf16_textfilter-0,"set(['8', '50'])",set([])
toke.c,Perl_scan_vstring-0,set(['22']),set([])
toke.c,S_grok_bslash_x-0,set(['14']),set([])
toke.c,S_scan_const-0,set(['451']),set([])
op.c,Perl_ck_length-0,"set(['19', '20', '17'])",set([])
op.c,Perl_rv2cv_op_cv-2,set(['27']),set([])
op.c,Perl_ck_entersub_args_proto-0,"set(['131', '35'])",set([])
op.c,S_op_const_sv-0,set(['1']),set([])
op.c,S_aassign_common_vars-0,"set(['1', '61', '66'])",set([])
op.c,Perl_Slab_Alloc-0,set(['38']),set([])
op.c,Perl_newATTRSUB_x-0,set(['436']),set([])
op.c,S_maybe_multideref-21,"set(['1', '174', '118', '135', '16'])",set([])
op.c,S_maybe_targlex-0,set(['9']),set([])
op.c,Perl_newMYSUB-0,set(['210']),set([])
op.c,Perl_ck_eval-0,set(['8']),set([])
op.c,Perl_ck_join-0,set(['25']),set([])
op.c,Perl_ck_spair-0,"set(['24', '23'])",set([])
op.c,S_assignment_type-4,set(['21']),set([])
op.c,S_assignment_type-0,set(['21']),set([])
op.c,Perl_newASSIGNOP-0,set(['84']),set([])
op.c,Perl_ck_sassign-0,set(['16']),set([])
op.c,Perl_rv2cv_op_cv-0,set(['27']),set([])
op.c,Perl_rv2cv_op_cv-3,set(['27']),set([])
op.c,Perl_ck_ftst-0,set(['23']),set([])
op.c,S_pmtrans-0,set(['216']),set([])
Glob.c,S_is_safe_syscall-0,set(['6']),set([])
Glob.c,doglob_iter_wrapper-0,set(['19']),set([])
Glob.c,csh_glob-0,set(['112']),set([])
Glob.c,XS_File__Glob_GLOB_ERROR-0,set([]),set(['22'])
attributes.c,modify_SV_attributes-4,"set(['1', '3'])",set([])
regexec.c,Perl_regexec_flags-0,"set(['31', '29'])",set([])
regexec.c,S_backup_one_WB-0,"set(['21', '17'])",set([])
regexec.c,S_backup_one_WB-3,set(['11']),set([])
regexec.c,S_backup_one_SB-0,"set(['10', '6'])",set([])
regexec.c,S_isSB-0,set(['56']),set([])
