Analizing File:  implicit.c
        0.64 real         0.14 user         0.01 sys
        0.62 real         0.14 user         0.01 sys
        0.61 real         0.13 user         0.00 sys
        0.59 real         0.13 user         0.00 sys
        0.59 real         0.13 user         0.01 sys
        0.59 real         0.13 user         0.00 sys
        0.59 real         0.13 user         0.01 sys
        0.59 real         0.13 user         0.00 sys
        0.59 real         0.13 user         0.01 sys
        0.59 real         0.13 user         0.00 sys
Analizing File:  mcf.c
        0.35 real         0.02 user         0.00 sys
        0.37 real         0.02 user         0.00 sys
        0.36 real         0.02 user         0.00 sys
        0.35 real         0.02 user         0.00 sys
        0.35 real         0.02 user         0.00 sys
        0.35 real         0.02 user         0.00 sys
        0.35 real         0.02 user         0.00 sys
        0.35 real         0.02 user         0.00 sys
        0.35 real         0.02 user         0.00 sys
        0.35 real         0.02 user         0.00 sys
Analizing File:  mcfutil.c
        0.39 real         0.02 user         0.00 sys
        0.39 real         0.02 user         0.00 sys
        0.37 real         0.02 user         0.00 sys
        0.37 real         0.02 user         0.00 sys
        0.39 real         0.02 user         0.00 sys
        0.38 real         0.02 user         0.00 sys
        0.44 real         0.02 user         0.00 sys
        0.40 real         0.03 user         0.00 sys
        0.38 real         0.03 user         0.00 sys
        0.39 real         0.02 user         0.00 sys
Analizing File:  output.c
        0.36 real         0.04 user         0.00 sys
        0.36 real         0.04 user         0.00 sys
        0.37 real         0.04 user         0.00 sys
        0.43 real         0.04 user         0.00 sys
        0.37 real         0.04 user         0.00 sys
        0.36 real         0.03 user         0.00 sys
        0.37 real         0.03 user         0.00 sys
        0.38 real         0.04 user         0.00 sys
        0.37 real         0.04 user         0.00 sys
        0.35 real         0.03 user         0.00 sys
Analizing File:  pbeampp.c
        0.40 real         0.05 user         0.00 sys
        0.38 real         0.04 user         0.00 sys
        0.38 real         0.05 user         0.00 sys
        0.44 real         0.05 user         0.00 sys
        0.47 real         0.05 user         0.00 sys
        0.42 real         0.05 user         0.00 sys
        0.45 real         0.05 user         0.00 sys
        0.40 real         0.05 user         0.00 sys
        0.45 real         0.05 user         0.00 sys
        0.45 real         0.05 user         0.01 sys
Analizing File:  pbla.c
        0.40 real         0.04 user         0.01 sys
        0.35 real         0.03 user         0.00 sys
        0.35 real         0.03 user         0.00 sys
        1.06 real         0.04 user         0.01 sys
        0.42 real         0.04 user         0.00 sys
        0.36 real         0.04 user         0.00 sys
        0.36 real         0.04 user         0.00 sys
        0.41 real         0.04 user         0.00 sys
        0.38 real         0.04 user         0.01 sys
        0.38 real         0.03 user         0.00 sys
Analizing File:  pflowup.c
        0.33 real         0.03 user         0.00 sys
        0.37 real         0.03 user         0.00 sys
        0.33 real         0.03 user         0.00 sys
        0.34 real         0.03 user         0.00 sys
        0.35 real         0.03 user         0.00 sys
        0.33 real         0.03 user         0.00 sys
        0.48 real         0.03 user         0.00 sys
        0.35 real         0.03 user         0.00 sys
        0.38 real         0.03 user         0.00 sys
        0.37 real         0.03 user         0.00 sys
Analizing File:  psimplex.c
        0.44 real         0.06 user         0.00 sys
        0.45 real         0.06 user         0.01 sys
        0.42 real         0.06 user         0.00 sys
        0.42 real         0.06 user         0.00 sys
        0.43 real         0.06 user         0.01 sys
        0.46 real         0.07 user         0.01 sys
        0.43 real         0.06 user         0.01 sys
        0.42 real         0.06 user         0.00 sys
        0.42 real         0.06 user         0.00 sys
        0.42 real         0.06 user         0.00 sys
Analizing File:  pstart.c
        0.39 real         0.04 user         0.00 sys
        0.36 real         0.04 user         0.00 sys
        0.40 real         0.04 user         0.00 sys
        0.37 real         0.04 user         0.00 sys
        0.46 real         0.04 user         0.00 sys
        0.64 real         0.05 user         0.01 sys
        0.42 real         0.04 user         0.00 sys
        0.35 real         0.04 user         0.00 sys
        0.35 real         0.03 user         0.00 sys
        0.56 real         0.04 user         0.00 sys
Analizing File:  readmin.c
        0.46 real         0.06 user         0.01 sys
        0.43 real         0.06 user         0.00 sys
        0.50 real         0.06 user         0.01 sys
        0.47 real         0.06 user         0.00 sys
        0.43 real         0.06 user         0.00 sys
        0.43 real         0.06 user         0.00 sys
        0.42 real         0.06 user         0.00 sys
        0.41 real         0.06 user         0.00 sys
        0.41 real         0.06 user         0.00 sys
        0.45 real         0.06 user         0.01 sys
Analizing File:  spec_qsort.c
        0.28 real         0.08 user         0.00 sys
        0.28 real         0.08 user         0.00 sys
        0.27 real         0.07 user         0.00 sys
        0.29 real         0.08 user         0.00 sys
        0.28 real         0.08 user         0.00 sys
        0.28 real         0.08 user         0.00 sys
        0.27 real         0.08 user         0.00 sys
        0.27 real         0.07 user         0.00 sys
        0.28 real         0.08 user         0.00 sys
        0.29 real         0.08 user         0.01 sys
Analizing File:  treeup.c
        0.43 real         0.05 user         0.01 sys
        0.38 real         0.04 user         0.00 sys
        0.41 real         0.04 user         0.00 sys
        0.49 real         0.04 user         0.02 sys
        0.43 real         0.05 user         0.00 sys
        0.52 real         0.06 user         0.01 sys
        0.42 real         0.05 user         0.00 sys
        0.40 real         0.04 user         0.00 sys
        0.39 real         0.05 user         0.00 sys
        0.41 real         0.05 user         0.01 sys
