FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
psimplex.c,master-8,"set(['5', '20'])",set([])
psimplex.c,master-3,"set(['45', '5', '43'])",set([])
psimplex.c,master-2,"set(['45', '5', '43'])",set([])
psimplex.c,master-5,"set(['45', '5'])",set([])
psimplex.c,master-4,"set(['45', '5'])",set([])
psimplex.c,master-7,"set(['45', '5', '43'])",set([])
psimplex.c,master-6,set(['5']),set([])
psimplex.c,markBaskets-2,"set(['1', '19'])",set([])
treeup.c,update_tree-5,set(['13']),set([])
treeup.c,update_tree-0,set(['23']),set([])
pbeampp.c,primal_bea_mpp-5,"set(['16', '41'])",set([])
pbeampp.c,primal_bea_mpp-6,"set(['16', '41'])",set([])
pbeampp.c,primal_bea_mpp-3,set(['1']),set([])
pbeampp.c,primal_bea_mpp-2,set(['1']),set([])
output.c,write_circulations-5,"set(['25', '3', '22'])",set([])
output.c,write_circulations-4,set(['25']),set([])
output.c,write_circulations-2,"set(['25', '3', '22', '6'])",set([])
implicit.c,price_out_impl-9,set(['88']),set([])
implicit.c,price_out_impl-3,set(['88']),set([])
implicit.c,price_out_impl-11,set(['88']),set([])
implicit.c,price_out_impl-13,set(['88']),set([])
implicit.c,price_out_impl-10,set(['88']),set([])
implicit.c,price_out_impl-2,set(['88']),set([])
implicit.c,refreshPositions-1,set(['1']),set([])
implicit.c,suspend_impl-0,set(['20']),set([])
implicit.c,suspend_impl-1,set(['20']),set([])
implicit.c,suspend_impl-2,"set(['20', '6'])",set([])
implicit.c,price_out_impl-5,set(['88']),set([])
implicit.c,price_out_impl-6,"set(['61', '88', '29'])",set([])
implicit.c,price_out_impl-7,"set(['88', '38', '29'])",set([])
implicit.c,resize_prob-3,set(['14']),set([])
implicit.c,switch_arcs-1,set(['1']),set([])
implicit.c,price_out_impl-8,set(['88']),set([])
spec_qsort.c,swapfunc-6,set(['15']),set([])
spec_qsort.c,swapfunc-7,set(['15']),set([])
spec_qsort.c,swapfunc-4,"set(['15', '14'])",set([])
spec_qsort.c,swapfunc-5,set(['15']),set([])
spec_qsort.c,swapfunc-2,"set(['15', '14'])",set([])
spec_qsort.c,swapfunc-3,"set(['15', '14'])",set([])
spec_qsort.c,swapfunc-0,"set(['15', '14'])",set([])
spec_qsort.c,swapfunc-1,"set(['15', '14'])",set([])
spec_qsort.c,swapfunc-8,"set(['15', '14'])",set([])
spec_qsort.c,spec_qsort-10,set(['1']),set([])
spec_qsort.c,spec_qsort-11,"set(['1', '38', '106'])",set([])
spec_qsort.c,spec_qsort-12,"set(['1', '106'])",set([])
spec_qsort.c,spec_qsort-8,"set(['1', '31'])",set([])
spec_qsort.c,spec_qsort-9,set(['1']),set([])
spec_qsort.c,spec_qsort-3,set(['1']),set([])
spec_qsort.c,spec_qsort-6,"set(['1', '106'])",set([])
spec_qsort.c,spec_qsort-7,"set(['1', '106'])",set([])
spec_qsort.c,spec_qsort-4,"set(['1', '106'])",set([])
spec_qsort.c,spec_qsort-5,"set(['1', '106'])",set([])
FinalResults,Total,88
