FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
psimplex.c,worker-1,set(['1']),set(['1']),set([]),set([]),subset
psimplex.c,worker-0,set(['1']),set(['1']),set([]),set([]),subset
psimplex.c,master-8,"set(['20', '5'])",{},"set(['5', '20'])",set([]),subset
psimplex.c,master-1,"set(['1', '7'])","set(['1', '7'])",set([]),set([]),subset
psimplex.c,master-0,set(['1']),set(['1']),set([]),set([]),subset
psimplex.c,master-3,set(['42']),set(['42']),set([]),set([]),subset
psimplex.c,master-2,set(['39']),set(['39']),set([]),set([]),subset
psimplex.c,master-5,"set(['24', '33'])","set(['24', '33'])",set([]),set([]),subset
psimplex.c,master-4,"set(['24', '33'])","set(['24', '33'])",set([]),set([]),subset
psimplex.c,master-7,set(['36']),set(['36']),set([]),set([]),subset
psimplex.c,master-6,set(['20']),set(['20']),set([]),set([]),subset
psimplex.c,markBaskets-2,set(['6']),set(['6']),set([]),set([]),subset
psimplex.c,markBaskets-3,"set(['1', '11', '12', '5', '6'])","set(['1', '11', '12', '5', '6'])",set([]),set([]),subset
psimplex.c,markBaskets-0,set(['19']),set(['19']),set([]),set([]),subset
psimplex.c,markBaskets-1,set(['1']),set(['1']),set([]),set([]),subset
treeup.c,update_tree-8,set(['12']),set(['12']),set([]),set([]),subset
treeup.c,update_tree-4,set(['23']),set(['23']),set([]),set([]),subset
treeup.c,update_tree-5,"set(['15', '23', '44', '56', '37', '52'])","set(['15', '23', '44', '56', '37', '52'])",set([]),set([]),subset
treeup.c,update_tree-6,"set(['13', '17', '23'])","set(['13', '17', '23'])",set([]),set([]),subset
treeup.c,update_tree-7,set(['23']),set(['23']),set([]),set([]),subset
treeup.c,update_tree-0,set(['34']),set(['34']),set([]),set([]),subset
treeup.c,update_tree-1,set(['23']),set(['23']),set([]),set([]),subset
treeup.c,update_tree-2,set(['23']),set(['23']),set([]),set([]),subset
treeup.c,update_tree-3,set(['23']),set(['23']),set([]),set([]),subset
pbla.c,primal_iminus-1,"set(['1', '23'])","set(['1', '23'])",set([]),set([]),subset
pbla.c,primal_iminus-0,"set(['11', '10', '12', '20', '21', '22', '16', '23', '1', '6'])","set(['11', '10', '12', '20', '21', '22', '16', '23', '1', '6'])",set([]),set([]),subset
pbla.c,primal_iminus-2,"set(['1', '23'])","set(['1', '23'])",set([]),set([]),subset
pstart.c,primal_start_artificial-3,{},{},set([]),set([]),subset
pstart.c,primal_start_artificial-2,{},{},set([]),set([]),subset
pstart.c,primal_start_artificial-1,{},{},set([]),set([]),subset
pstart.c,primal_start_artificial-0,"set(['1', '7'])","set(['1', '7'])",set([]),set([]),subset
pbeampp.c,primal_bea_mpp-5,set(['34']),set(['34']),set([]),set([]),subset
pbeampp.c,primal_bea_mpp-4,"set(['1', '13'])","set(['1', '13'])",set([]),set([]),subset
pbeampp.c,primal_bea_mpp-7,set(['1']),set(['1']),set([]),set([]),subset
