FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
mc_direct.c,update_direct_mv_info_spatial_4x4-0,"set(['47', '42', '50', '2', '5', '7'])",set(['42']),"set(['47', '2', '5', '50', '7'])",set([]),subset
mc_direct.c,update_direct_mv_info_spatial_4x4-1,"set(['47', '2', '5', '50', '7'])",set(['7']),"set(['47', '2', '5', '50'])",set([]),subset
mc_direct.c,update_direct_mv_info_spatial_4x4-2,"set(['2', '50'])",set(['2']),set(['50']),set([]),subset
mc_direct.c,update_direct_mv_info_spatial_4x4-3,"set(['47', '2', '5', '50'])",set(['5']),"set(['47', '2', '50'])",set([]),subset
mc_direct.c,update_direct_mv_info_spatial_8x8-0,"set(['2', '41', '38'])","set(['2', '38'])",set(['41']),set([]),subset
mc_direct.c,update_direct_mv_info_spatial_8x8-1,"set(['2', '41'])",set(['2']),set(['41']),set([]),subset
mc_direct.c,get_colocated_info_4x4-0,set(['11']),set(['11']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-2,"set(['10', '186', '178', '183', '5', '90', '8', '80', '97'])","set(['90', '80', '97'])","set(['10', '178', '183', '5', '186', '8'])",set([]),subset
mc_direct.c,update_direct_mv_info_temporal-3,"set(['10', '186', '99', '183', '5', '178', '177', '8'])",set(['99']),"set(['10', '183', '5', '8', '178', '177', '186'])",set([]),subset
mc_direct.c,update_direct_mv_info_temporal-0,"set(['10', '183', '186', '178', '99', '177', '5', '165', '164', '8', '101'])","set(['164', '165'])","set(['10', '99', '183', '186', '8', '178', '177', '5', '101'])",set([]),subset
mc_direct.c,get_colocated_info_8x8-1,"set(['47', '38', '48'])",set(['38']),"set(['47', '48'])",set([]),subset
mc_direct.c,update_direct_mv_info_temporal-10,"set(['10', '183', '186', '99', '61', '63', '5', '178', '177', '8', '101'])","set(['99', '61', '63', '178', '177', '101'])","set(['10', '5', '186', '8', '183'])",set([]),subset
mc_direct.c,update_direct_mv_info_temporal-11,"set(['10', '183', '186', '99', '61', '5', '178', '177', '8'])","set(['99', '61', '177', '178'])","set(['10', '5', '186', '8', '183'])",set([]),subset
mc_direct.c,update_direct_mv_info_temporal-6,"set(['10', '59', '58', '42', '57', '56', '28', '29', '183', '5', '186', '8'])","set(['59', '58', '28', '57', '56', '42', '29'])","set(['186', '10', '5', '8', '183'])",set([]),subset
mc_direct.c,update_direct_mv_info_temporal-7,"set(['10', '186', '99', '183', '5', '178', '177', '8', '101'])","set(['10', '99', '183', '5', '178', '177', '8', '101'])",set(['186']),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-4,"set(['186', '5'])",set(['5']),set(['186']),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-5,"set(['10', '186', '178', '183', '88', '5', '90', '8', '80', '97', '96'])","set(['88', '178', '90', '80', '97', '96'])","set(['10', '5', '186', '8', '183'])",set([]),subset
mc_direct.c,get_colocated_info_8x8-2,"set(['47', '48'])",set(['47']),set(['48']),set([]),subset
mc_direct.c,get_colocated_info_8x8-3,"set(['24', '25', '26', '14', '48', '47'])","set(['24', '25', '26', '14'])","set(['47', '48'])",set([]),subset
mc_direct.c,get_colocated_info_8x8-0,"set(['47', '48'])","set(['47', '48'])",set([]),set([]),subset
