FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
mc_direct.c,update_direct_mv_info_spatial_4x4-0,"set(['47', '2', '5', '50', '7'])",set([])
mc_direct.c,update_direct_mv_info_spatial_4x4-1,"set(['47', '2', '5', '50'])",set([])
mc_direct.c,update_direct_mv_info_spatial_4x4-2,set(['50']),set([])
mc_direct.c,update_direct_mv_info_spatial_4x4-3,"set(['47', '2', '50'])",set([])
mc_direct.c,update_direct_mv_info_spatial_8x8-0,set(['41']),set([])
mc_direct.c,update_direct_mv_info_spatial_8x8-1,set(['41']),set([])
mc_direct.c,update_direct_mv_info_temporal-2,"set(['10', '178', '183', '5', '186', '8'])",set([])
mc_direct.c,update_direct_mv_info_temporal-3,"set(['10', '183', '5', '8', '178', '177', '186'])",set([])
mc_direct.c,update_direct_mv_info_temporal-0,"set(['10', '99', '183', '186', '8', '178', '177', '5', '101'])",set([])
mc_direct.c,get_colocated_info_8x8-1,"set(['47', '48'])",set([])
mc_direct.c,update_direct_mv_info_temporal-10,"set(['10', '5', '186', '8', '183'])",set([])
mc_direct.c,update_direct_mv_info_temporal-11,"set(['10', '5', '186', '8', '183'])",set([])
mc_direct.c,update_direct_mv_info_temporal-6,"set(['186', '10', '5', '8', '183'])",set([])
mc_direct.c,update_direct_mv_info_temporal-7,set(['186']),set([])
mc_direct.c,update_direct_mv_info_temporal-4,set(['186']),set([])
mc_direct.c,update_direct_mv_info_temporal-5,"set(['10', '5', '186', '8', '183'])",set([])
mc_direct.c,get_colocated_info_8x8-2,set(['48']),set([])
mc_direct.c,get_colocated_info_8x8-3,"set(['47', '48'])",set([])
mc_direct.c,update_direct_mv_info_temporal-1,"set(['10', '99', '183', '5', '8', '178', '177', '186', '101'])",set([])
mc_direct.c,update_direct_mv_info_temporal-8,"set(['8', '5', '186', '183'])",set([])
mc_direct.c,update_direct_mv_info_temporal-9,"set(['5', '186', '183'])",set([])
lookahead.c,x264_lookahead_init-2,"set(['28', '29'])",set([])
lookahead.c,x264_lookahead_encoder_shift-0,set(['6']),set([])
ImageValidator.c,read_yuv_file-3,set(['17']),set([])
ImageValidator.c,read_tga_file-3,set(['22']),set([])
ImageValidator.c,read_tga_file-0,set(['25']),set([])
ImageValidator.c,read_tga_file-1,set(['25']),set([])
ImageValidator.c,read_yuv_file-5,set(['51']),set([])
ImageValidator.c,read_yuv_file-1,"set(['32', '27'])",set([])
ImageValidator.c,computeSSIM-11,"set(['151', '14'])",set([])
ImageValidator.c,dump_tga-0,set(['3']),set([])
ImageValidator.c,dump_tga-1,set(['3']),set([])
ImageValidator.c,computeSSIM-10,"set(['151', '14', '17'])",set([])
ImageValidator.c,computeSSIM-13,set(['151']),set([])
ImageValidator.c,computeSSIM-12,set(['151']),set([])
ImageValidator.c,computeSSIM-15,set(['151']),set([])
ImageValidator.c,computeSSIM-14,set(['151']),set([])
ImageValidator.c,main-4,set(['105']),set([])
ImageValidator.c,computeSSIM-16,set(['151']),set([])
ImageValidator.c,computeSSIM-5,"set(['151', '87', '14', '17', '72'])",set([])
ImageValidator.c,computeSSIM-4,"set(['151', '14', '17', '75', '72', '87'])",set([])
ImageValidator.c,computeSSIM-7,"set(['151', '26', '14', '17'])",set([])
ImageValidator.c,computeSSIM-6,"set(['151', '87', '17', '14'])",set([])
ImageValidator.c,computeSSIM-1,"set(['151', '150'])",set([])
ImageValidator.c,computeSSIM-3,set(['151']),set([])
ImageValidator.c,computeSSIM-2,set(['151']),set([])
ImageValidator.c,computeSSIM-9,"set(['151', '14', '17'])",set([])
ImageValidator.c,computeSSIM-8,set(['14']),set([])
analyse.c,x264_macroblock_analyse-34,"set(['468', '464', '467', '466', '461', '305', '463', '274', '490', '492'])",set([])
analyse.c,x264_macroblock_analyse-35,"set(['468', '464', '467', '466', '461', '463', '360', '355', '362', '492', '342', '490', '363', '359', '361'])",set([])
analyse.c,x264_macroblock_analyse-36,"set(['468', '464', '467', '466', '461', '463', '490', '362', '363', '492', '361'])",set([])
analyse.c,x264_macroblock_analyse-37,"set(['468', '464', '467', '466', '461', '463', '362', '360', '490', '363', '492', '361'])",set([])
analyse.c,x264_macroblock_analyse-30,"set(['468', '464', '467', '466', '461', '305', '463', '274', '490', '492'])",set([])
analyse.c,x264_macroblock_analyse-31,"set(['468', '464', '467', '466', '461', '305', '463', '274', '490', '492'])",set([])
analyse.c,x264_macroblock_analyse-32,"set(['468', '464', '467', '466', '461', '305', '463', '274', '490', '492'])",set([])
analyse.c,x264_macroblock_analyse-33,"set(['468', '464', '467', '466', '461', '305', '463', '274', '490', '492'])",set([])
analyse.c,x264_slicetype_decide-2,set(['133']),set([])
analyse.c,x264_slicetype_decide-3,set(['133']),set([])
analyse.c,x264_slicetype_decide-0,set(['133']),set([])
analyse.c,x264_slicetype_decide-1,"set(['120', '133'])",set([])
analyse.c,x264_slicetype_decide-6,"set(['133', '23'])",set([])
analyse.c,x264_slicetype_decide-7,"set(['133', '38'])",set([])
analyse.c,x264_slicetype_decide-4,set(['23']),set([])
analyse.c,x264_slicetype_decide-5,set(['133']),set([])
analyse.c,x264_slicetype_analyse-10,"set(['150', '152', '58', '149', '99', '121'])",set([])
analyse.c,x264_slicetype_analyse-13,"set(['82', '61', '58', '68'])",set([])
