FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
encoder.c,x264_encoder_frame_end-0,"set(['4', '6'])",set([])
encoder.c,x264_threaded_slices_write-0,set(['19']),set([])
encoder.c,x264_nal_check_buffer-0,set(['4']),set([])
encoder.c,x264_encoder_encapsulate_nals-0,set(['16']),set([])
encoder.c,x264_validate_parameters-0,set(['33']),set([])
encoder.c,x264_encoder_encode-0,set(['52']),set([])
encoder.c,x264_slice_write-0,"set(['12', '127'])",set([])
matroska.c,gcd-0,"set(['1', '4'])",set([])
timecode.c,try_mkv_timebase_den-0,"set(['1', '11', '14'])",set([])
timecode.c,gcd-0,"set(['1', '4'])",set([])
frame.c,x264_frame_copy_picture-0,"set(['18', '15', '4'])",set([])
flv_bytestream.c,flv_append_data-0,set(['7']),set([])
common.c,parse_cqm-0,"set(['1', '6'])",set([])
common.c,parse_enum-0,set(['7']),set([])
mvpred.c,x264_mb_predict_mv_direct16x16_temporal-0,"set(['21', '6'])",set([])
mvpred.c,x264_mb_predict_mv_direct16x16-0,set(['17']),set([])
matroska_ebml.c,mk_append_context_data-0,set(['10']),set([])
x264.c,Encode-0,set(['31']),set([])
x264.c,Parse-0,"set(['11', '1'])",set([])
x264.c,parse_enum_value-0,set(['7']),set([])
x264.c,gcd-0,"set(['1', '4'])",set([])
x264.c,parse_enum_name-0,set(['7']),set([])
quant.c,x264_decimate_score_internal-0,"set(['9', '18'])",set([])
ratecontrol.c,x264_macroblock_tree_read-0,set(['21']),set([])
ratecontrol.c,parse_zone-0,"set(['17', '23'])",set([])
ratecontrol.c,x264_ratecontrol_new-0,"set(['76', '211'])",set([])
ratecontrol.c,get_zone-0,"set(['1', '10', '7'])",set([])
ratecontrol.c,parse_zones-0,"set(['25', '27', '22', '17', '29'])",set([])
macroblock.c,array_non_zero_int-0,set(['13']),set([])
macroblock.c,x264_macroblock_probe_skip-0,"set(['19', '3', '14'])",set([])
FinalResults,Total,53
