FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
mc_direct.c,update_direct_mv_info_spatial_4x4-0,{},{},set([]),set([]),subset
mc_direct.c,update_direct_mv_info_spatial_4x4-1,set(['7']),set(['7']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_spatial_4x4-2,set(['2']),set(['2']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_spatial_4x4-3,set(['5']),set(['5']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_spatial_8x8-0,{},{},set([]),set([]),subset
mc_direct.c,update_direct_mv_info_spatial_8x8-1,set(['2']),set(['2']),set([]),set([]),subset
mc_direct.c,get_colocated_info_4x4-0,set(['11']),set(['11']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-2,"set(['90', '80'])","set(['90', '80'])",set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-3,set(['99']),set(['99']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-0,"set(['164', '165'])","set(['164', '165'])",set([]),set([]),subset
mc_direct.c,get_colocated_info_8x8-1,set(['38']),set(['38']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-10,"set(['63', '101'])","set(['63', '101'])",set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-11,set(['61']),set(['61']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-6,"set(['59', '58', '28', '57', '56', '42', '29'])","set(['59', '58', '28', '57', '56', '42', '29'])",set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-7,{},{},set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-4,set(['5']),set(['5']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-5,"set(['90', '80', '88', '97', '96'])","set(['90', '80', '88', '97', '96'])",set([]),set([]),subset
mc_direct.c,get_colocated_info_8x8-2,{},{},set([]),set([]),subset
mc_direct.c,get_colocated_info_8x8-3,"set(['24', '25', '26', '14'])","set(['24', '25', '26', '14'])",set([]),set([]),subset
mc_direct.c,get_colocated_info_8x8-0,"set(['47', '48'])","set(['47', '48'])",set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-1,"set(['150', '133', '147', '148', '149', '120', '119'])","set(['150', '133', '147', '148', '149', '120', '119'])",set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-8,set(['10']),set(['10']),set([]),set([]),subset
mc_direct.c,update_direct_mv_info_temporal-9,set(['8']),set(['8']),set([]),set([]),subset
lookahead.c,x264_lookahead_init-0,set(['29']),set(['29']),set([]),set([]),subset
lookahead.c,x264_lookahead_init-1,{},{},set([]),set([]),subset
lookahead.c,x264_lookahead_init-2,set(['9']),set(['9']),set([]),set([]),subset
lookahead.c,x264_lookahead_encoder_shift-0,set(['3']),set(['3']),set([]),set([]),subset
lookahead.c,x264_lookahead_shift-0,set(['1']),set(['1']),set([]),set([]),subset
ImageValidator.c,variance-0,set(['1']),set(['1']),set([]),set([]),subset
ImageValidator.c,variance-1,set(['1']),set(['1']),set([]),set([]),subset
ImageValidator.c,read_yuv_file-3,"set(['33', '45', '21', '53'])","set(['33', '45', '21', '53'])",set([]),set([]),subset
ImageValidator.c,read_tga_file-2,set(['25']),set(['25']),set([]),set([]),subset
ImageValidator.c,read_tga_file-3,set(['8']),set(['8']),set([]),set([]),subset
ImageValidator.c,read_tga_file-0,set(['30']),set(['30']),set([]),set([]),subset
