Analizing File:  ImageValidator.c
        1.10 real         0.35 user         0.01 sys
        1.09 real         0.36 user         0.01 sys
        1.09 real         0.36 user         0.01 sys
        1.02 real         0.34 user         0.01 sys
        1.16 real         0.35 user         0.01 sys
        1.04 real         0.34 user         0.01 sys
        1.04 real         0.35 user         0.01 sys
        1.03 real         0.34 user         0.01 sys
        1.03 real         0.34 user         0.01 sys
        1.02 real         0.34 user         0.01 sys
Analizing File:  annexb.c
        0.69 real         0.13 user         0.01 sys
        0.68 real         0.13 user         0.01 sys
        0.73 real         0.14 user         0.01 sys
        0.73 real         0.14 user         0.01 sys
        0.68 real         0.14 user         0.01 sys
        0.70 real         0.14 user         0.01 sys
        0.68 real         0.14 user         0.01 sys
        0.68 real         0.13 user         0.01 sys
        0.67 real         0.14 user         0.01 sys
        0.69 real         0.13 user         0.01 sys
Analizing File:  biaridecod.c
        0.61 real         0.07 user         0.01 sys
        0.59 real         0.07 user         0.00 sys
        0.59 real         0.07 user         0.00 sys
        0.59 real         0.07 user         0.00 sys
        0.59 real         0.07 user         0.00 sys
        0.59 real         0.07 user         0.00 sys
        0.59 real         0.07 user         0.00 sys
        0.59 real         0.07 user         0.01 sys
        0.59 real         0.07 user         0.00 sys
        0.60 real         0.07 user         0.00 sys
Analizing File:  blk_prediction.c
        0.55 real         0.05 user         0.00 sys
        0.55 real         0.05 user         0.00 sys
        0.56 real         0.05 user         0.00 sys
        0.55 real         0.05 user         0.00 sys
        0.55 real         0.05 user         0.00 sys
        0.57 real         0.05 user         0.01 sys
        0.55 real         0.05 user         0.00 sys
        0.54 real         0.05 user         0.00 sys
        0.55 real         0.05 user         0.00 sys
        0.55 real         0.05 user         0.01 sys
Analizing File:  block.c
        1.25 real         0.39 user         0.01 sys
        1.25 real         0.40 user         0.01 sys
        1.28 real         0.43 user         0.01 sys
        1.24 real         0.39 user         0.01 sys
        1.24 real         0.39 user         0.01 sys
        1.25 real         0.39 user         0.01 sys
        1.23 real         0.39 user         0.01 sys
        1.24 real         0.39 user         0.01 sys
        1.23 real         0.39 user         0.01 sys
        1.24 real         0.39 user         0.01 sys
Analizing File:  cabac.c
        1.74 real         0.59 user         0.01 sys
        1.70 real         0.59 user         0.01 sys
        1.75 real         0.60 user         0.01 sys
        1.73 real         0.60 user         0.01 sys
        1.70 real         0.58 user         0.01 sys
        1.69 real         0.58 user         0.01 sys
        1.70 real         0.58 user         0.01 sys
        1.74 real         0.59 user         0.01 sys
        1.72 real         0.58 user         0.01 sys
        1.70 real         0.59 user         0.01 sys
Analizing File:  config_common.c
        0.66 real         0.10 user         0.00 sys
        0.64 real         0.10 user         0.01 sys
        0.63 real         0.10 user         0.01 sys
        0.63 real         0.10 user         0.01 sys
        0.63 real         0.10 user         0.01 sys
        0.65 real         0.10 user         0.01 sys
        0.64 real         0.10 user         0.01 sys
        0.67 real         0.10 user         0.01 sys
        0.63 real         0.10 user         0.01 sys
        0.63 real         0.10 user         0.01 sys
Analizing File:  configfile.c
        0.62 real         0.08 user         0.00 sys
        0.60 real         0.08 user         0.01 sys
        0.60 real         0.08 user         0.00 sys
