Analizing File:  tga.c
        1.16 real         0.20 user         0.01 sys
        1.17 real         0.20 user         0.01 sys
        1.21 real         0.21 user         0.01 sys
        1.40 real         0.20 user         0.01 sys
        1.22 real         0.19 user         0.01 sys
        1.23 real         0.21 user         0.01 sys
        1.22 real         0.21 user         0.01 sys
        1.18 real         0.20 user         0.01 sys
        1.18 real         0.22 user         0.01 sys
        1.23 real         0.20 user         0.01 sys
Analizing File:  analyze.c
        0.83 real         0.08 user         0.01 sys
        0.85 real         0.07 user         0.01 sys
        0.75 real         0.07 user         0.01 sys
        0.78 real         0.06 user         0.01 sys
        0.75 real         0.06 user         0.01 sys
        0.77 real         0.06 user         0.01 sys
        1.23 real         0.09 user         0.01 sys
        0.90 real         0.08 user         0.01 sys
        0.91 real         0.07 user         0.01 sys
        0.78 real         0.06 user         0.01 sys
Analizing File:  ImageValidator.c
        1.01 real         0.32 user         0.01 sys
        0.94 real         0.29 user         0.01 sys
        0.93 real         0.30 user         0.01 sys
        0.93 real         0.30 user         0.01 sys
        0.93 real         0.31 user         0.01 sys
        0.92 real         0.29 user         0.01 sys
        0.92 real         0.28 user         0.01 sys
        0.97 real         0.29 user         0.01 sys
        1.60 real         0.36 user         0.01 sys
        1.06 real         0.29 user         0.01 sys
Analizing File:  accelerate.c
        0.83 real         0.04 user         0.01 sys
        0.86 real         0.04 user         0.01 sys
        0.88 real         0.04 user         0.01 sys
        0.98 real         0.04 user         0.01 sys
        0.85 real         0.04 user         0.01 sys
        0.85 real         0.04 user         0.01 sys
        0.88 real         0.04 user         0.01 sys
        0.89 real         0.04 user         0.01 sys
        0.86 real         0.03 user         0.01 sys
        0.84 real         0.04 user         0.01 sys
Analizing File:  animate.c
        0.77 real         0.03 user         0.01 sys
        0.76 real         0.04 user         0.01 sys
        0.76 real         0.03 user         0.00 sys
        0.74 real         0.03 user         0.01 sys
        0.74 real         0.03 user         0.01 sys
        0.74 real         0.03 user         0.01 sys
        0.74 real         0.04 user         0.00 sys
        0.76 real         0.04 user         0.01 sys
        0.75 real         0.04 user         0.01 sys
        0.80 real         0.03 user         0.01 sys
Analizing File:  annotate.c
        1.27 real         0.19 user         0.01 sys
        1.31 real         0.24 user         0.01 sys
        1.30 real         0.20 user         0.01 sys
        1.49 real         0.26 user         0.01 sys
        1.74 real         0.20 user         0.01 sys
        1.25 real         0.23 user         0.01 sys
        1.38 real         0.22 user         0.01 sys
        1.31 real         0.20 user         0.01 sys
        1.33 real         0.20 user         0.01 sys
        1.34 real         0.21 user         0.01 sys
Analizing File:  artifact.c
        0.77 real         0.06 user         0.01 sys
        0.81 real         0.06 user         0.01 sys
        0.83 real         0.06 user         0.01 sys
        0.81 real         0.07 user         0.01 sys
        1.11 real         0.08 user         0.01 sys
        1.03 real         0.08 user         0.01 sys
        0.83 real         0.07 user         0.01 sys
        0.81 real         0.06 user         0.01 sys
        1.05 real         0.06 user         0.01 sys
        0.81 real         0.06 user         0.01 sys
Analizing File:  attribute.c
        1.29 real         0.17 user         0.01 sys
        1.37 real         0.20 user         0.01 sys
        1.33 real         0.19 user         0.01 sys
        1.24 real         0.17 user         0.01 sys
        1.30 real         0.20 user         0.01 sys
        1.30 real         0.18 user         0.01 sys
        1.30 real         0.18 user         0.01 sys
        1.30 real         0.18 user         0.01 sys
        1.25 real         0.17 user         0.01 sys
        1.30 real         0.18 user         0.01 sys
Analizing File:  blob.c
        1.92 real         0.41 user         0.01 sys
        1.96 real         0.42 user         0.03 sys
        1.87 real         0.41 user         0.01 sys
        2.23 real         0.45 user         0.02 sys
        1.80 real         0.39 user         0.01 sys
        1.84 real         0.40 user         0.01 sys
        1.83 real         0.41 user         0.01 sys
        1.89 real         0.42 user         0.01 sys
        1.83 real         0.39 user         0.01 sys
        1.84 real         0.39 user         0.01 sys
Analizing File:  cache-view.c
        0.86 real         0.10 user         0.01 sys
        0.89 real         0.10 user         0.01 sys
        0.86 real         0.13 user         0.01 sys
        0.86 real         0.10 user         0.01 sys
        0.86 real         0.11 user         0.01 sys
        0.86 real         0.11 user         0.01 sys
        0.85 real         0.10 user         0.01 sys
        0.88 real         0.11 user         0.01 sys
        0.87 real         0.10 user         0.01 sys
        0.89 real         0.11 user         0.01 sys
Analizing File:  cache.c
        2.81 real         0.62 user         0.01 sys
        2.61 real         0.62 user         0.01 sys
        2.57 real         0.61 user         0.01 sys
        2.72 real         0.64 user         0.02 sys
        2.68 real         0.68 user         0.02 sys
        2.99 real         0.66 user         0.02 sys
        2.76 real         0.64 user         0.02 sys
        2.58 real         0.62 user         0.02 sys
        2.75 real         0.67 user         0.02 sys
        2.57 real         0.63 user         0.01 sys
Analizing File:  channel.c
        1.15 real         0.17 user         0.01 sys
        1.14 real         0.17 user         0.01 sys
        1.25 real         0.20 user         0.01 sys
        1.14 real         0.17 user         0.01 sys
        1.13 real         0.17 user         0.01 sys
        1.36 real         0.18 user         0.01 sys
        1.14 real         0.17 user         0.01 sys
        1.28 real         0.18 user         0.01 sys
        1.09 real         0.17 user         0.01 sys
        1.07 real         0.16 user         0.01 sys
Analizing File:  cipher.c
        0.69 real         0.04 user         0.01 sys
        0.69 real         0.05 user         0.01 sys
        0.67 real         0.04 user         0.01 sys
        0.68 real         0.04 user         0.01 sys
        0.70 real         0.04 user         0.01 sys
        0.69 real         0.04 user         0.01 sys
        0.71 real         0.04 user         0.01 sys
        0.73 real         0.04 user         0.01 sys
        0.68 real         0.04 user         0.01 sys
        0.73 real         0.04 user         0.00 sys
Analizing File:  client.c
        0.46 real         0.03 user         0.00 sys
        0.45 real         0.03 user         0.01 sys
        0.46 real         0.03 user         0.01 sys
        0.46 real         0.03 user         0.01 sys
        0.48 real         0.03 user         0.01 sys
        0.45 real         0.03 user         0.00 sys
        0.45 real         0.03 user         0.00 sys
        0.49 real         0.04 user         0.01 sys
        0.48 real         0.03 user         0.01 sys
        0.46 real         0.03 user         0.00 sys
Analizing File:  coder.c
        0.84 real         0.11 user         0.01 sys
        0.88 real         0.11 user         0.01 sys
        0.89 real         0.11 user         0.01 sys
        0.89 real         0.11 user         0.01 sys
        0.90 real         0.11 user         0.01 sys
        0.87 real         0.11 user         0.01 sys
        0.88 real         0.13 user         0.01 sys
        0.87 real         0.11 user         0.01 sys
        0.89 real         0.11 user         0.01 sys
        0.88 real         0.11 user         0.01 sys
Analizing File:  color.c
        1.90 real         0.33 user         0.01 sys
        1.87 real         0.33 user         0.01 sys
        1.85 real         0.33 user         0.01 sys
        1.89 real         0.34 user         0.01 sys
        1.89 real         0.35 user         0.01 sys
        1.95 real         0.35 user         0.01 sys
        1.91 real         0.33 user         0.01 sys
        1.93 real         0.33 user         0.01 sys
        1.86 real         0.32 user         0.01 sys
        1.87 real         0.33 user         0.01 sys
Analizing File:  colormap.c
        0.85 real         0.07 user         0.00 sys
        0.82 real         0.07 user         0.01 sys
        0.89 real         0.07 user         0.01 sys
        0.84 real         0.07 user         0.01 sys
        0.81 real         0.07 user         0.01 sys
        0.93 real         0.08 user         0.01 sys
        0.89 real         0.08 user         0.01 sys
        0.89 real         0.07 user         0.01 sys
        0.94 real         0.08 user         0.01 sys
        0.93 real         0.07 user         0.01 sys
Analizing File:  colorspace.c
        2.26 real         0.62 user         0.02 sys
        2.15 real         0.60 user         0.02 sys
        2.11 real         0.64 user         0.02 sys
        2.16 real         0.64 user         0.01 sys
        2.26 real         0.65 user         0.02 sys
        2.38 real         0.63 user         0.02 sys
        2.22 real         0.62 user         0.01 sys
        2.14 real         0.65 user         0.01 sys
        2.08 real         0.60 user         0.02 sys
        2.11 real         0.63 user         0.02 sys
Analizing File:  compare.c
        1.79 real         0.43 user         0.01 sys
        1.71 real         0.40 user         0.01 sys
        1.70 real         0.41 user         0.01 sys
        1.74 real         0.39 user         0.01 sys
        1.79 real         0.39 user         0.01 sys
        1.63 real         0.39 user         0.01 sys
        1.79 real         0.39 user         0.01 sys
        1.63 real         0.37 user         0.01 sys
        1.68 real         0.38 user         0.01 sys
        1.68 real         0.38 user         0.01 sys
Analizing File:  composite.c
        2.65 real         0.95 user         0.02 sys
        2.94 real         0.96 user         0.02 sys
        2.58 real         0.93 user         0.02 sys
        2.56 real         0.93 user         0.02 sys
        2.83 real         0.98 user         0.03 sys
        2.48 real         0.92 user         0.02 sys
        2.50 real         0.94 user         0.02 sys
        3.25 real         1.06 user         0.04 sys
        4.13 real         1.00 user         0.03 sys
        2.77 real         1.03 user         0.03 sys
Analizing File:  compress.c
        1.31 real         0.29 user         0.01 sys
        1.33 real         0.29 user         0.01 sys
        1.31 real         0.31 user         0.01 sys
        1.29 real         0.28 user         0.01 sys
        1.45 real         0.31 user         0.01 sys
        1.30 real         0.28 user         0.01 sys
        1.31 real         0.28 user         0.01 sys
        1.29 real         0.28 user         0.01 sys
        1.29 real         0.28 user         0.01 sys
        1.29 real         0.28 user         0.01 sys
Analizing File:  configure.c
        0.93 real         0.12 user         0.01 sys
        0.90 real         0.11 user         0.01 sys
        0.89 real         0.11 user         0.01 sys
        0.90 real         0.12 user         0.01 sys
        0.90 real         0.12 user         0.01 sys
        0.89 real         0.11 user         0.01 sys
        0.90 real         0.12 user         0.01 sys
        0.91 real         0.12 user         0.01 sys
        0.91 real         0.12 user         0.01 sys
        0.90 real         0.11 user         0.01 sys
Analizing File:  constitute.c
        1.22 real         0.21 user         0.01 sys
        1.22 real         0.24 user         0.01 sys
        1.23 real         0.22 user         0.01 sys
        1.22 real         0.22 user         0.01 sys
        1.22 real         0.24 user         0.01 sys
        1.23 real         0.22 user         0.01 sys
        1.25 real         0.22 user         0.01 sys
        1.24 real         0.23 user         0.01 sys
        1.22 real         0.22 user         0.01 sys
        1.43 real         0.28 user         0.01 sys
Analizing File:  decorate.c
        1.20 real         0.26 user         0.01 sys
        1.19 real         0.25 user         0.01 sys
        1.19 real         0.25 user         0.01 sys
        1.19 real         0.25 user         0.01 sys
        1.20 real         0.26 user         0.01 sys
        1.21 real         0.26 user         0.01 sys
        1.21 real         0.28 user         0.01 sys
        1.21 real         0.26 user         0.01 sys
        1.20 real         0.25 user         0.01 sys
        1.20 real         0.25 user         0.01 sys
Analizing File:  delegate.c
        1.10 real         0.19 user         0.01 sys
        1.11 real         0.19 user         0.01 sys
        1.10 real         0.19 user         0.01 sys
        1.13 real         0.19 user         0.01 sys
        1.11 real         0.21 user         0.01 sys
        1.18 real         0.22 user         0.01 sys
        1.10 real         0.20 user         0.01 sys
        1.09 real         0.18 user         0.01 sys
        1.09 real         0.18 user         0.01 sys
        1.09 real         0.18 user         0.01 sys
Analizing File:  deprecate.c
        2.57 real         0.62 user         0.02 sys
        2.50 real         0.62 user         0.02 sys
        2.49 real         0.63 user         0.02 sys
        2.47 real         0.64 user         0.02 sys
        2.52 real         0.63 user         0.01 sys
        2.51 real         0.63 user         0.01 sys
        2.50 real         0.62 user         0.02 sys
        2.53 real         0.63 user         0.02 sys
        2.53 real         0.64 user         0.02 sys
        2.54 real         0.64 user         0.02 sys
Analizing File:  display.c
        0.80 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
