FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
drawing-wand.c,PushDrawingWand-0,set(['13']),set(['13']),set([]),set([]),subset
drawing-wand.c,CloneDrawingWand-0,set(['15']),set(['15']),set([]),set([]),subset
drawing-wand.c,DrawSetFillPatternURL-0,set(['23']),set(['23']),set([]),set([]),subset
drawing-wand.c,DrawGetClipPath-0,set(['13']),set(['13']),set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-4,set(['139']),{},set(['139']),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-5,set(['139']),set(['139']),set([]),set([]),subset
drawing-wand.c,DrawSetStrokeDashArray-1,set(['58']),set(['58']),set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-0,set(['139']),set(['139']),set([]),set([]),subset
drawing-wand.c,DrawGetVectorGraphics-2,set(['80']),set(['80']),set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-2,"set(['99', '98', '100', '139', '78'])",set(['78']),"set(['99', '98', '100', '139'])",set([]),subset
drawing-wand.c,DrawSetVectorGraphics-3,"set(['132', '62', '116', '136', '66', '112', '139', '24', '20', '46', '120', '108', '124', '70', '128', '100', '104', '38', '58', '54', '30', '50', '34'])","set(['24', '38', '58', '46', '54', '30', '112', '50', '34', '120', '132', '62', '116', '124', '136', '66', '70', '128', '108', '100', '104'])","set(['139', '20'])",set([]),subset
drawing-wand.c,DrawAnnotation-0,set(['16']),set(['16']),set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-1,"set(['139', '99', '98', '93', '86', '100', '97'])","set(['93', '86', '97'])","set(['99', '98', '139', '100'])",set([]),subset
drawing-wand.c,DrawSetStrokePatternURL-1,set(['23']),set(['23']),set([]),set([]),subset
drawing-wand.c,IsColorEqual-0,set(['9']),set(['9']),set([]),set([]),subset
drawing-wand.c,IsDrawingWand-0,set(['7']),set(['7']),set([]),set([]),subset
drawing-wand.c,DrawGetFontFamily-0,set(['13']),set(['13']),set([]),set([]),subset
