FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
drawing-wand.c,DrawSetVectorGraphics-4,set(['139']),set([])
drawing-wand.c,DrawSetVectorGraphics-2,"set(['99', '98', '100', '139'])",set([])
drawing-wand.c,DrawSetVectorGraphics-3,"set(['139', '20'])",set([])
drawing-wand.c,DrawSetVectorGraphics-1,"set(['99', '98', '139', '100'])",set([])
drawing-wand.c,DrawSetStrokeDashArray-5,"set(['31', '30', '29'])",set([])
drawing-wand.c,MvgPrintf-1,set(['35']),set([])
drawing-wand.c,DrawSetStrokeDashArray-3,"set(['31', '30', '29'])",set([])
drawing-wand.c,DrawGetVectorGraphics-3,"set(['57', '80'])",set([])
drawing-wand.c,DrawGetVectorGraphics-4,set(['80']),set([])
drawing-wand.c,DrawGetStrokeDashArray-1,set(['25']),set([])
drawing-wand.c,DrawGetStrokeDashArray-4,set(['25']),set([])
drawing-wand.c,DrawComposite-3,set(['29']),set([])
drawing-wand.c,DrawComposite-6,set(['29']),set([])
drawing-wand.c,DrawComposite-4,set(['29']),set([])
ImageValidator.c,read_yuv_file-3,set(['17']),set([])
ImageValidator.c,read_tga_file-3,set(['22']),set([])
ImageValidator.c,read_tga_file-0,set(['25']),set([])
ImageValidator.c,read_tga_file-1,set(['25']),set([])
ImageValidator.c,read_yuv_file-5,set(['51']),set([])
ImageValidator.c,read_yuv_file-1,"set(['32', '27'])",set([])
ImageValidator.c,computeSSIM-11,"set(['14', '157'])",set([])
ImageValidator.c,dump_tga-0,set(['3']),set([])
ImageValidator.c,dump_tga-1,set(['3']),set([])
ImageValidator.c,computeSSIM-10,"set(['17', '14', '157'])",set([])
ImageValidator.c,computeSSIM-13,set(['157']),set([])
ImageValidator.c,computeSSIM-12,set(['157']),set([])
ImageValidator.c,computeSSIM-15,set(['157']),set([])
ImageValidator.c,computeSSIM-14,set(['157']),set([])
ImageValidator.c,main-4,set(['105']),set([])
ImageValidator.c,computeSSIM-16,set(['157']),set([])
ImageValidator.c,computeSSIM-5,"set(['93', '17', '14', '157', '78'])",set([])
ImageValidator.c,computeSSIM-4,"set(['14', '157', '17', '93', '81', '78'])",set([])
ImageValidator.c,computeSSIM-7,"set(['26', '17', '14', '157'])",set([])
ImageValidator.c,computeSSIM-6,"set(['93', '17', '14', '157'])",set([])
ImageValidator.c,computeSSIM-1,"set(['157', '156'])",set([])
ImageValidator.c,computeSSIM-3,set(['157']),set([])
ImageValidator.c,computeSSIM-2,set(['157']),set([])
ImageValidator.c,computeSSIM-9,"set(['17', '14', '157'])",set([])
ImageValidator.c,computeSSIM-8,set(['14']),set([])
policy.c,ListPolicyInfo-4,set(['33']),set([])
policy.c,ListPolicyInfo-3,set(['33']),set([])
policy.c,LoadPolicyCache-3,set(['76']),set([])
policy.c,LoadPolicyCache-1,"set(['76', '39', '40', '22', '3'])",set([])
policy.c,GetPolicyInfoList-2,set(['19']),set([])
policy.c,GetPolicyList-2,set(['19']),set([])
policy.c,IsRightsAuthorized-3,set(['20']),set([])
policy.c,IsRightsAuthorized-2,set(['20']),set([])
policy.c,GetPolicyInfo-2,set(['25']),set([])
policy.c,AcquirePolicyCache-0,set(['6']),set([])
policy.c,LoadPolicyCache-4,set(['76']),set([])
policy.c,LoadPolicyCache-5,set(['76']),set([])
profile.c,ProfileImage-3,set(['48']),set([])
profile.c,ProfileImage-1,"set(['48', '49'])",set([])
profile.c,ProfileImage-0,"set(['46', '48'])",set([])
profile.c,ProfileImage-5,set(['49']),set([])
profile.c,ProfileImage-4,"set(['19', '35', '49'])",set([])
profile.c,WriteTo8BimProfile-6,"set(['12', '34'])",set([])
profile.c,WriteTo8BimProfile-4,set(['34']),set([])
profile.c,WriteTo8BimProfile-5,set(['34']),set([])
profile.c,WriteTo8BimProfile-2,"set(['33', '34'])",set([])
profile.c,WriteTo8BimProfile-3,set(['33']),set([])
profile.c,WriteTo8BimProfile-0,"set(['33', '34'])",set([])
profile.c,WriteTo8BimProfile-1,"set(['33', '34'])",set([])
profile.c,SyncExifProfile-8,set(['83']),set([])
profile.c,SyncExifProfile-4,set(['83']),set([])
profile.c,SyncExifProfile-5,"set(['80', '37', '34'])",set([])
profile.c,SyncExifProfile-6,set(['83']),set([])
profile.c,SyncExifProfile-1,"set(['77', '83', '80', '37', '34'])",set([])
profile.c,SyncExifProfile-9,set(['83']),set([])
profile.c,GetProfilesFromResourceBlock-0,set(['1']),set([])
profile.c,SyncExifProfile-2,"set(['83', '80', '37', '34'])",set([])
profile.c,Sync8BimProfile-2,set(['1']),set([])
analyze.c,analyzeImage-10,"set(['13', '42'])",set([])
analyze.c,analyzeImage-11,"set(['13', '42'])",set([])
analyze.c,analyzeImage-12,"set(['13', '42'])",set([])
analyze.c,analyzeImage-13,"set(['13', '42'])",set([])
analyze.c,analyzeImage-14,"set(['13', '42'])",set([])
analyze.c,analyzeImage-15,"set(['13', '42'])",set([])
analyze.c,analyzeImage-16,"set(['13', '42'])",set([])
analyze.c,analyzeImage-17,"set(['13', '42'])",set([])
analyze.c,analyzeImage-18,"set(['13', '42'])",set([])
analyze.c,analyzeImage-19,"set(['13', '42'])",set([])
analyze.c,analyzeImage-8,"set(['13', '42'])",set([])
analyze.c,analyzeImage-9,"set(['13', '42'])",set([])
analyze.c,analyzeImage-2,"set(['42', '13', '15', '43'])",set([])
analyze.c,analyzeImage-3,"set(['13', '42'])",set([])
analyze.c,analyzeImage-0,"set(['13', '42'])",set([])
analyze.c,analyzeImage-1,"set(['25', '13', '42', '15', '43'])",set([])
analyze.c,analyzeImage-6,"set(['13', '42'])",set([])
analyze.c,analyzeImage-7,"set(['13', '42'])",set([])
analyze.c,analyzeImage-4,"set(['13', '42'])",set([])
analyze.c,analyzeImage-5,"set(['13', '42'])",set([])
analyze.c,analyzeImage-20,"set(['13', '42'])",set([])
analyze.c,analyzeImage-23,"set(['13', '42'])",set([])
analyze.c,analyzeImage-22,"set(['13', '42'])",set([])
mogrify.c,MogrifyImage-13,"set(['826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-12,"set(['21', '823'])",set([])
mogrify.c,MogrifyImage-17,"set(['826', '21', '823'])",set([])
mogrify.c,MogrifyImage-16,"set(['21', '823'])",set([])
mogrify.c,MogrifyImage-19,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-18,"set(['21', '562', '826', '820', '823', '817'])",set([])
mogrify.c,MagickCommandGenesis-4,set(['77']),set([])
mogrify.c,MagickCommandGenesis-2,"set(['77', '31'])",set([])
mogrify.c,MagickCommandGenesis-1,"set(['77', '31'])",set([])
mogrify.c,MagickCommandGenesis-9,set(['77']),set([])
mogrify.c,PixelGetCurrentIteratorRow-2,set(['29']),set([])
mogrify.c,MogrifyImageInfo-8,"set(['407', '13'])",set([])
mogrify.c,MogrifyImageInfo-7,set(['409']),set([])
mogrify.c,MogrifyImageInfo-6,"set(['407', '13', '409', '408'])",set([])
mogrify.c,MogrifyImageInfo-5,"set(['407', '406', '13', '409'])",set([])
mogrify.c,MogrifyImageInfo-4,"set(['407', '406', '13', '409'])",set([])
mogrify.c,MogrifyImageInfo-3,"set(['407', '406', '13', '409', '227'])",set([])
mogrify.c,MogrifyImageInfo-2,"set(['407', '406', '13', '409', '286'])",set([])
mogrify.c,MogrifyImageInfo-1,"set(['407', '406', '13', '409'])",set([])
mogrify.c,MogrifyImage-39,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-38,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-35,"set(['21', '183', '826', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-34,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-37,"set(['21', '183', '826', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-36,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-31,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-30,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-33,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-32,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-28,"set(['21', '122', '136', '135', '826', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-29,"set(['21', '136', '826', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-22,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-23,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-20,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-21,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-26,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-27,"set(['21', '136', '826', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-24,"set(['21', '562', '826', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-25,"set(['21', '136', '826', '820', '823', '817'])",set([])
mogrify.c,PixelSyncIterator-2,set(['27']),set([])
mogrify.c,MogrifyImage-56,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-55,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-54,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-53,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-52,"set(['21', '322', '826', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-51,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-50,"set(['21', '322', '826', '820', '823', '817'])",set([])
mogrify.c,PixelGetNextIteratorRow-2,set(['36']),set([])
mogrify.c,MogrifyImage-48,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-49,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-44,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-45,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-46,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-47,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-40,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-41,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-42,"set(['21', '826', '230', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-43,"set(['21', '826', '230', '820', '823', '817'])",set([])
mogrify.c,MogrifyImage-8,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-3,"set(['817', '826', '21', '823', '820'])",set([])
mogrify.c,MogrifyImage-2,"set(['817', '826', '21', '823', '820'])",set([])
