FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
drawing-wand.c,PushDrawingWand-0,set(['13']),set(['13']),set([]),set([]),subset
drawing-wand.c,CloneDrawingWand-0,set(['15']),set(['15']),set([]),set([]),subset
drawing-wand.c,DrawSetFillPatternURL-0,set(['23']),set(['23']),set([]),set([]),subset
drawing-wand.c,DrawGetClipPath-0,set(['13']),set(['13']),set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-4,{},{},set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-5,{},{},set([]),set([]),subset
drawing-wand.c,DrawSetStrokeDashArray-1,{},{},set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-0,set(['139']),set(['139']),set([]),set([]),subset
drawing-wand.c,DrawGetVectorGraphics-2,{},{},set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-2,set(['78']),set(['78']),set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-3,{},{},set([]),set([]),subset
drawing-wand.c,DrawAnnotation-0,{},{},set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-1,"set(['93', '86', '97'])","set(['93', '86', '97'])",set([]),set([]),subset
drawing-wand.c,DrawSetStrokePatternURL-1,{},{},set([]),set([]),subset
drawing-wand.c,IsColorEqual-0,set(['9']),set(['9']),set([]),set([]),subset
drawing-wand.c,IsDrawingWand-0,set(['7']),set(['7']),set([]),set([]),subset
drawing-wand.c,DrawGetFontFamily-0,set(['13']),set(['13']),set([]),set([]),subset
drawing-wand.c,DrawPopPattern-0,set(['17']),set(['17']),set([]),set([]),subset
drawing-wand.c,DrawPopPattern-1,{},{},set([]),set([]),subset
drawing-wand.c,DrawSetVectorGraphics-6,{},{},set([]),set([]),subset
drawing-wand.c,DrawSetStrokeDashArray-5,set(['23']),set(['23']),set([]),set([]),subset
drawing-wand.c,MvgPrintf-1,set(['23']),set(['23']),set([]),set([]),subset
