FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
profile.c,ProfileImage-0,set(['46']),set([])
profile.c,SyncExifProfile-2,"set(['80', '37', '34'])",set([])
threshold.c,OrderedPosterizeImageChannel-0,set(['37']),set([])
deprecate.c,RandomChannelThresholdImage-0,"set(['47', '111'])",set([])
deprecate.c,GetImageAttribute-0,set(['7']),set([])
deprecate.c,MatteFloodfillImage-0,set(['43']),set([])
deprecate.c,ColorFloodfillImage-0,set(['51']),set([])
layer.c,DisposeImages-0,set(['21']),set([])
identify.c,IdentifyImage-0,set(['110']),set([])
distort.c,SparseColorImage-0,set(['37']),set([])
distort.c,GenerateCoefficients-0,set(['239']),set([])
distort.c,DistortResizeImage-4,set(['34']),set([])
distort.c,SparseColorImage-7,set(['37']),set([])
distort.c,DistortImage-0,"set(['76', '64', '126'])",set([])
tga.c,WriteTGAImage-0,set(['58']),set([])
tga.c,ReadTGAImage-0,"set(['88', '87', '85'])",set([])
quantize.c,SetGrayscaleImage-0,set(['46']),set([])
module.c,InvokeDynamicImageFilter-0,"set(['25', '26', '23'])",set([])
string.c,ConfigureFileToStringInfo-0,set(['26']),set([])
paint.c,FloodfillPaintImage-0,set(['54']),set([])
cache.c,SetPixelCacheNexusPixels-0,set(['25']),set([])
cache.c,PersistPixelCache-0,set(['43']),set([])
property.c,InterpretImageProperties-0,set(['20']),set([])
property.c,GetEXIFProperty-21,"set(['76', '73', '243'])",set([])
histogram.c,GetNodeInfo-0,set(['4']),set([])
registry.c,SetImageRegistry-0,"set(['10', '14'])",set([])
channel.c,SetImageAlphaChannel-0,"set(['82', '45'])",set([])
token.c,GlobExpression-0,set(['11']),set([])
draw.c,DrawClipPath-0,set(['20']),set([])
hashmap.c,GetValueFromHashmap-0,"set(['19', '12', '21'])",set([])
hashmap.c,RemoveEntryFromHashmap-0,"set(['25', '12'])",set([])
hashmap.c,RemoveElementByValueFromLinkedList-0,set(['27']),set([])
resize.c,ThumbnailImage-0,set(['26']),set([])
resize.c,ThumbnailImage-3,set(['26']),set([])
feature.c,TraceEdges-0,set(['9']),set([])
morphology.c,MorphologyImageChannel-0,set(['11']),set([])
morphology.c,AcquireKernelBuiltIn-0,"set(['316', '60', '74', '92', '107', '254'])",set([])
composite.c,CompositeImageChannel-0,set(['164']),set([])
fx.c,PlasmaImageProxy-0,set(['21']),set([])
fx.c,MorphImages-0,"set(['33', '35'])",set([])
fx.c,PolaroidImage-0,set(['27']),set([])
stream.c,WriteStreamImage-0,set(['19']),set([])
attribute.c,IsGrayPixel-0,set(['4']),set([])
attribute.c,IsMonochromePixel-0,set(['6']),set([])
log.c,LogMagickEventList-0,"set(['32', '31'])",set([])
FinalResults,Total,68
