Analizing File:  binpos.c
        0.23 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.31 real         0.05 user         0.01 sys
        0.23 real         0.04 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.24 real         0.03 user         0.00 sys
        0.24 real         0.03 user         0.00 sys
Analizing File:  chirvol.c
        0.20 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.20 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.22 real         0.05 user         0.00 sys
        0.26 real         0.05 user         0.01 sys
        0.34 real         0.05 user         0.01 sys
        0.20 real         0.04 user         0.00 sys
        0.26 real         0.05 user         0.00 sys
Analizing File:  database.c
        1.10 real         0.31 user         0.01 sys
        0.97 real         0.26 user         0.01 sys
        0.94 real         0.26 user         0.01 sys
        1.15 real         0.26 user         0.01 sys
        0.97 real         0.28 user         0.01 sys
        1.43 real         0.30 user         0.01 sys
        0.98 real         0.26 user         0.01 sys
        1.11 real         0.28 user         0.01 sys
        0.87 real         0.25 user         0.01 sys
        0.87 real         0.25 user         0.01 sys
Analizing File:  eff.c
        0.13 real         0.02 user         0.00 sys
        0.13 real         0.02 user         0.00 sys
        0.13 real         0.02 user         0.00 sys
        0.13 real         0.02 user         0.00 sys
        0.14 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.14 real         0.03 user         0.00 sys
        0.12 real         0.02 user         0.00 sys
        0.12 real         0.02 user         0.00 sys
        0.12 real         0.02 user         0.00 sys
Analizing File:  errormsg.c
        0.14 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  gbsa.c
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.01 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
Analizing File:  intersect.c
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.11 real         0.03 user         0.01 sys
