Analizing File:  binpos.c
        0.23 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.26 real         0.04 user         0.00 sys
        0.23 real         0.04 user         0.00 sys
        0.24 real         0.03 user         0.00 sys
        0.30 real         0.05 user         0.01 sys
        0.26 real         0.04 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.24 real         0.03 user         0.00 sys
Analizing File:  chirvol.c
        0.22 real         0.05 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.29 real         0.06 user         0.01 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.22 real         0.04 user         0.00 sys
        0.20 real         0.04 user         0.00 sys
        0.20 real         0.04 user         0.00 sys
Analizing File:  database.c
        0.95 real         0.27 user         0.01 sys
        1.14 real         0.30 user         0.01 sys
        0.99 real         0.26 user         0.01 sys
        0.92 real         0.26 user         0.01 sys
        0.92 real         0.26 user         0.01 sys
        1.18 real         0.29 user         0.01 sys
        0.90 real         0.25 user         0.01 sys
        0.93 real         0.27 user         0.01 sys
        0.87 real         0.25 user         0.01 sys
        0.87 real         0.25 user         0.01 sys
Analizing File:  eff.c
        0.13 real         0.02 user         0.00 sys
        0.12 real         0.02 user         0.00 sys
        0.13 real         0.02 user         0.00 sys
        0.13 real         0.02 user         0.00 sys
        0.13 real         0.02 user         0.00 sys
        0.13 real         0.03 user         0.00 sys
        0.14 real         0.03 user         0.00 sys
        0.12 real         0.02 user         0.00 sys
        0.12 real         0.02 user         0.00 sys
        0.12 real         0.02 user         0.00 sys
Analizing File:  errormsg.c
        0.14 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  gbsa.c
        0.05 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.01 sys
        0.04 real         0.02 user         0.01 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.03 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.00 sys
Analizing File:  intersect.c
        0.09 real         0.03 user         0.00 sys
        0.08 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.08 real         0.03 user         0.00 sys
        0.08 real         0.03 user         0.00 sys
