FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
database.c,bDBGetTableType-2,set(['42']),set([])
database.c,bDBGetTableType-3,set(['42']),set([])
database.c,bDBGetTableType-4,set(['42']),set([])
database.c,bDBGetTableType-5,set(['42']),set([])
database.c,vPDictFind-2,set(['9']),set([])
database.c,vPDictFind-3,set(['9']),set([])
database.c,DBPutTable-1,set(['60']),set([])
database.c,vPDictDelete-4,"set(['18', '17'])",set([])
database.c,sStripString-2,set(['4']),set([])
database.c,bDBGetTable-2,"set(['8', '64'])",set([])
database.c,zPutValue-0,set(['24']),set([])
database.c,vPDictDelete-2,"set(['18', '17'])",set([])
database.c,vPDictDelete-3,set(['18']),set([])
database.c,sDBRemoveControlAndPadding-0,set(['18']),set([])
molutil.c,delete_atom-6,"set(['36', '4'])",set([])
molutil.c,set_cons_mask-3,set(['1']),set([])
molutil.c,set_belly_mask-14,"set(['51', '72', '71', '107'])",set([])
molutil.c,set_belly_mask-13,"set(['51', '72', '71', '107'])",set([])
molutil.c,set_belly_mask-12,set(['107']),set([])
molutil.c,freeresidue-3,set(['31']),set([])
molutil.c,freeresidue-2,set(['31']),set([])
molutil.c,freeresidue-4,set(['31']),set([])
molutil.c,countmolatoms-2,set(['1']),set([])
molutil.c,cvt_p2hb-1,"set(['18', '20'])",set([])
molutil.c,freemolecule-3,"set(['25', '3'])",set([])
molutil.c,freemolecule-2,set(['25']),set([])
molutil.c,addstrand-2,"set(['19', '18'])",set([])
molutil.c,set_cons_mask-4,"set(['1', '3'])",set([])
molutil.c,addresidue-2,"set(['19', '18'])",set([])
molutil.c,set_belly_mask-3,"set(['107', '17'])",set([])
molutil.c,set_belly_mask-2,"set(['51', '107'])",set([])
molutil.c,set_belly_mask-1,"set(['51', '107'])",set([])
molutil.c,set_belly_mask-5,"set(['31', '107'])",set([])
molutil.c,set_belly_mask-4,"set(['107', '17'])",set([])
molutil.c,set_belly_mask-9,"set(['1', '3'])",set([])
molutil.c,set_belly_mask-8,set(['1']),set([])
molutil.c,concat_mat-0,"set(['1', '3'])",set([])
molutil.c,concat_mat-1,set(['1']),set([])
molutil.c,add_atom-3,set(['28']),set([])
molutil.c,NAB_arc-2,set(['25']),set([])
molutil.c,setxyz_from_mol-3,set(['4']),set([])
molutil.c,setxyz_from_mol-2,"set(['4', '6'])",set([])
molutil.c,delete_atom-5,set(['36']),set([])
molutil.c,transformres-0,set(['1']),set([])
molutil.c,countmolatoms-3,"set(['1', '3'])",set([])
molutil.c,delete_atom-4,"set(['19', '4', '36'])",set([])
molutil.c,set_belly_mask-7,set(['107']),set([])
molutil.c,set_belly_mask-6,"set(['51', '107'])",set([])
molutil.c,connectres-3,set(['39']),set([])
molutil.c,connectres-2,set(['39']),set([])
molutil.c,connectres-5,"set(['18', '13'])",set([])
molutil.c,setmol_from_xyz-3,set(['4']),set([])
molutil.c,setmol_from_xyz-2,"set(['4', '6'])",set([])
molutil.c,xfm_xyz-0,set(['5']),set([])
molutil.c,countmolres-2,set(['1']),set([])
molutil.c,add_atom-2,set(['28']),set([])
molutil.c,copy_mat-0,set(['1']),set([])
molutil.c,NAB_rnext-5,set(['27']),set([])
molutil.c,NAB_rnext-2,set(['27']),set([])
molutil.c,add_he2o3-3,set(['13']),set([])
molutil.c,add_he2o3-2,set(['13']),set([])
molutil.c,add_he2o3-1,set(['13']),set([])
molutil.c,add_he2o3-7,set(['13']),set([])
molutil.c,add_he2o3-6,set(['13']),set([])
