Analizing File:  tuklib_cpucores.c
        0.27 real         0.04 user         0.01 sys
        0.22 real         0.04 user         0.01 sys
        0.35 real         0.04 user         0.01 sys
        0.20 real         0.03 user         0.01 sys
        0.21 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.00 sys
        0.20 real         0.03 user         0.00 sys
        0.21 real         0.03 user         0.01 sys
        0.21 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.01 sys
Analizing File:  tuklib_exit.c
        0.26 real         0.04 user         0.01 sys
        0.29 real         0.03 user         0.01 sys
        0.24 real         0.03 user         0.00 sys
        0.24 real         0.03 user         0.01 sys
        0.24 real         0.03 user         0.01 sys
        0.42 real         0.03 user         0.01 sys
        0.24 real         0.03 user         0.01 sys
        0.24 real         0.03 user         0.01 sys
        0.23 real         0.03 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
Analizing File:  tuklib_mbstr_fw.c
        0.24 real         0.03 user         0.01 sys
        0.21 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.01 sys
        0.28 real         0.04 user         0.03 sys
        0.35 real         0.04 user         0.01 sys
        0.22 real         0.04 user         0.01 sys
        0.25 real         0.04 user         0.01 sys
        0.27 real         0.04 user         0.03 sys
        0.25 real         0.04 user         0.01 sys
        0.26 real         0.04 user         0.01 sys
Analizing File:  tuklib_mbstr_width.c
        0.22 real         0.04 user         0.01 sys
        0.20 real         0.03 user         0.01 sys
        0.25 real         0.04 user         0.01 sys
        0.24 real         0.03 user         0.01 sys
        0.22 real         0.03 user         0.01 sys
        0.22 real         0.03 user         0.01 sys
        0.22 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.00 sys
        0.36 real         0.04 user         0.01 sys
        0.24 real         0.04 user         0.01 sys
Analizing File:  tuklib_open_stdxxx.c
        0.36 real         0.03 user         0.01 sys
        0.34 real         0.03 user         0.01 sys
        0.34 real         0.03 user         0.01 sys
        0.33 real         0.04 user         0.01 sys
        0.38 real         0.03 user         0.01 sys
        0.26 real         0.03 user         0.00 sys
        0.26 real         0.03 user         0.00 sys
        0.65 real         0.03 user         0.01 sys
        0.50 real         0.04 user         0.01 sys
        0.43 real         0.03 user         0.01 sys
Analizing File:  tuklib_physmem.c
        0.28 real         0.04 user         0.01 sys
        0.20 real         0.03 user         0.01 sys
        0.22 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.00 sys
        0.25 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.01 sys
        0.21 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.00 sys
        0.25 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.01 sys
Analizing File:  tuklib_progname.c
        0.22 real         0.03 user         0.01 sys
        0.21 real         0.03 user         0.00 sys
        0.21 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.01 sys
        0.26 real         0.03 user         0.01 sys
        0.22 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.00 sys
        0.21 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.00 sys
        0.21 real         0.03 user         0.00 sys
Analizing File:  check.c
        0.30 real         0.04 user         0.01 sys
        0.35 real         0.04 user         0.01 sys
        0.33 real         0.04 user         0.01 sys
        0.33 real         0.04 user         0.01 sys
        0.32 real         0.05 user         0.01 sys
        0.35 real         0.05 user         0.01 sys
        0.38 real         0.05 user         0.01 sys
        0.40 real         0.05 user         0.01 sys
        0.34 real         0.05 user         0.01 sys
        0.39 real         0.05 user         0.01 sys
Analizing File:  crc32_fast.c
        0.38 real         0.05 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.35 real         0.05 user         0.00 sys
        0.30 real         0.04 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
        0.31 real         0.05 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.33 real         0.05 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
Analizing File:  crc32_small.c
        0.33 real         0.03 user         0.01 sys
        0.29 real         0.03 user         0.00 sys
        0.34 real         0.03 user         0.01 sys
        0.29 real         0.03 user         0.00 sys
        0.35 real         0.03 user         0.00 sys
        0.32 real         0.03 user         0.01 sys
        0.29 real         0.02 user         0.00 sys
        0.28 real         0.03 user         0.01 sys
        0.29 real         0.02 user         0.00 sys
        0.28 real         0.02 user         0.00 sys
