FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
stream_decoder.c,stream_decode-1,"set(['54', '44', '52', '1', '114', '113'])",set(['44']),"set(['1', '54', '114', '113', '52'])",set([]),subset
stream_decoder.c,stream_decode-0,"set(['60', '20', '22', '54', '51', '52', '1', '114', '108', '64', '72', '113', '70', '91', '93', '34', '85'])","set(['20', '22', '54', '51', '52', '60', '114', '108', '64', '72', '113', '70', '91', '93', '34', '85'])",set(['1']),set([]),subset
stream_decoder.c,stream_decode-3,"set(['60', '20', '22', '54', '51', '52', '1', '114', '108', '64', '72', '113', '70', '91', '93', '34', '85'])","set(['20', '22', '54', '51', '52', '60', '114', '108', '64', '72', '113', '70', '91', '93', '34', '85'])",set(['1']),set([]),subset
stream_decoder.c,stream_decode-2,"set(['54', '42', '43', '52', '1', '114', '113'])","set(['42', '43'])","set(['1', '54', '114', '113', '52'])",set([]),subset
stream_decoder.c,stream_decoder_reset-1,set(['3']),set(['3']),set([]),set([]),subset
stream_decoder.c,stream_decoder_memconfig-1,set(['5']),set(['5']),set([]),set([]),subset
stream_decoder.c,stream_decoder_reset-0,set(['3']),set(['3']),set([]),set([]),subset
stream_decoder.c,lzma_stream_decoder-0,"set(['10', '13', '5', '14'])","set(['10', '13', '14'])",set(['5']),set([]),subset
stream_decoder.c,lzma_stream_decoder-1,"set(['10', '13', '5', '14'])","set(['10', '13', '5', '14'])",set([]),set([]),subset
stream_decoder.c,stream_decoder_memconfig-0,set(['5']),set(['5']),set([]),set([]),subset
stream_decoder.c,lzma_stream_decoder_init-0,set(['13']),set(['13']),set([]),set([]),subset
delta_common.c,lzma_delta_coder_memusage-0,set(['6']),set(['6']),set([]),set([]),subset
delta_common.c,lzma_delta_coder_memusage-1,set(['6']),set(['6']),set([]),set([]),subset
delta_common.c,lzma_delta_coder_init-0,set(['7']),set(['7']),set([]),set([]),subset
simple_coder.c,copy_or_code-0,"set(['12', '15', '14'])",set(['15']),"set(['12', '14'])",set([]),subset
simple_coder.c,copy_or_code-1,"set(['12', '15', '14'])","set(['12', '15'])",set(['14']),set([]),subset
