FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
stream_decoder.c,stream_decode-1,"set(['1', '54', '114', '113', '52'])",set([])
stream_decoder.c,stream_decode-0,set(['1']),set([])
stream_decoder.c,stream_decode-3,set(['1']),set([])
stream_decoder.c,stream_decode-2,"set(['1', '54', '114', '113', '52'])",set([])
stream_decoder.c,lzma_stream_decoder-0,set(['5']),set([])
simple_coder.c,copy_or_code-0,"set(['12', '14'])",set([])
simple_coder.c,copy_or_code-1,set(['14']),set([])
simple_coder.c,simple_code-0,"set(['25', '13'])",set([])
simple_coder.c,simple_code-1,set(['25']),set([])
simple_coder.c,lzma_simple_coder_init-1,"set(['17', '16'])",set([])
simple_coder.c,lzma_simple_coder_init-0,"set(['13', '16'])",set([])
block_encoder.c,lzma_block_encoder-0,set(['5']),set([])
block_encoder.c,block_encode-1,"set(['11', '19'])",set([])
block_encoder.c,block_encode-0,"set(['11', '19'])",set([])
file_io.c,is_sparse-0,set(['7']),set([])
file_io.c,io_read-0,"set(['1', '13'])",set([])
file_io.c,io_write_buf-1,"set(['1', '14'])",set([])
file_io.c,io_write_buf-0,set(['1']),set([])
file_io.c,io_pread-1,set(['8']),set([])
file_io.c,io_read-1,"set(['1', '13'])",set([])
file_io.c,io_open_dest_real-1,set(['6']),set([])
vli_size.c,lzma_vli_size-2,set(['6']),set([])
powerpc.c,powerpc_code-0,"set(['1', '8'])",set([])
filter_encoder.c,lzma_raw_encoder-0,set(['5']),set([])
filter_encoder.c,encoder_find-0,set(['7']),set([])
filter_encoder.c,lzma_filters_update-2,set(['13']),set([])
filter_encoder.c,lzma_filters_update-1,set(['13']),set([])
lzma2_encoder.c,lzma2_encode-1,"set(['1', '27', '36', '38'])",set([])
lzma2_encoder.c,lzma2_encode-2,"set(['1', '27', '36'])",set([])
lzma2_encoder.c,lzma2_encode-0,"set(['1', '27', '36'])",set([])
lzma2_encoder.c,lzma2_encoder_init-1,set(['17']),set([])
lzma2_encoder.c,lzma2_encoder_init-0,set(['12']),set([])
common.c,lzma_code-1,set(['58']),set([])
x86.c,x86_code-8,set(['5']),set([])
x86.c,x86_code-3,"set(['44', '5', '43', '17', '40'])",set([])
x86.c,x86_code-2,"set(['39', '5', '43', '40'])",set([])
x86.c,x86_code-1,"set(['39', '22', '44', '43', '40', '5'])",set([])
x86.c,x86_code-5,set(['43']),set([])
x86.c,x86_code-4,"set(['5', '43'])",set([])
util.c,uint64_to_nicestr-0,set(['12']),set([])
util.c,str_to_uint64-1,"set(['45', '50', '49'])",set([])
util.c,str_to_uint64-3,set(['11']),set([])
crc64_small.c,crc64_init-2,set(['1']),set([])
crc64_small.c,crc64_init-3,set(['1']),set([])
crc64_small.c,crc64_init-1,set(['1']),set([])
fastpos_tablegen.c,main-4,set(['1']),set([])
fastpos_tablegen.c,main-5,set(['1']),set([])
vli_decoder.c,lzma_vli_decode-1,set(['13']),set([])
vli_decoder.c,lzma_vli_decode-0,set(['13']),set([])
alone_decoder.c,lzma_alone_decoder-0,set(['5']),set([])
alone_decoder.c,alone_decode-1,set(['1']),set([])
alone_decoder.c,alone_decode-0,set(['1']),set([])
sha256.c,lzma_sha256_update-2,set(['1']),set([])
price_tablegen.c,init_price_table-4,set(['1']),set([])
price_tablegen.c,init_price_table-1,set(['1']),set([])
price_tablegen.c,init_price_table-2,set(['1']),set([])
price_tablegen.c,init_price_table-3,set(['1']),set([])
index.c,lzma_index_stream_flags-0,set(['7']),set([])
index.c,lzma_index_stream_padding-1,set(['8']),set([])
index.c,index_tree_append-0,set(['13']),set([])
index.c,lzma_index_iter_next-3,set(['45']),set([])
index.c,lzma_index_iter_next-2,set(['45']),set([])
index.c,lzma_index_iter_next-1,set(['45']),set([])
index.c,lzma_index_iter_next-4,set(['45']),set([])
index.c,lzma_index_iter_locate-1,set(['9']),set([])
index.c,lzma_index_iter_locate-3,set(['9']),set([])
index.c,lzma_index_append-1,set(['23']),set([])
index.c,lzma_index_append-2,set(['23']),set([])
index.c,lzma_index_dup-0,"set(['3', '6'])",set([])
index.c,lzma_index_dup-1,set(['11']),set([])
index.c,lzma_index_dup-2,set(['3']),set([])
index.c,lzma_index_cat-0,set(['6']),set([])
index.c,index_dup_stream-1,"set(['11', '13', '12'])",set([])
index.c,index_dup_stream-2,"set(['11', '13', '12'])",set([])
index.c,index_dup_stream-3,set(['13']),set([])
coder.c,is_format_lzma-0,"set(['11', '9'])",set([])
coder.c,coder_init-3,"set(['36', '41'])",set([])
coder.c,coder_init-1,set(['36']),set([])
coder.c,coder_init-0,"set(['36', '34'])",set([])
coder.c,is_format_lzma-2,"set(['21', '22', '23'])",set([])
coder.c,is_format_lzma-1,"set(['11', '23'])",set([])
coder.c,coder_set_compression_settings-1,set(['49']),set([])
coder.c,is_format_lzma-3,"set(['21', '22', '23'])",set([])
coder.c,coder_set_compression_settings-0,set(['19']),set([])
coder.c,coder_normal-2,set(['1']),set([])
coder.c,coder_normal-0,"set(['1', '42', '41'])",set([])
coder.c,coder_run-0,set(['14']),set([])
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-9,set(['9']),set([])
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-8,set(['92']),set([])
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-1,"set(['91', '90', '92'])",set([])
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-0,"set(['69', '91', '90', '92', '87', '84'])",set([])
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-3,"set(['9', '26', '92', '29'])",set([])
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-2,"set(['91', '92'])",set([])
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-5,set(['92']),set([])
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-4,set(['92']),set([])
list.c,list_file-1,set(['19']),set([])
list.c,list_file-0,"set(['19', '18', '17'])",set([])
list.c,parse_check_value-2,"set(['15', '14', '17'])",set([])
list.c,parse_check_value-1,"set(['15', '14', '17', '16'])",set([])
list.c,parse_indexes-1,"set(['1', '52', '77', '76', '72', '71', '70'])",set([])
list.c,parse_indexes-2,"set(['77', '1', '72', '71', '76'])",set([])
list.c,parse_indexes-3,"set(['77', '1', '76'])",set([])
list.c,parse_indexes-6,"set(['77', '1', '76'])",set([])
list.c,parse_indexes-7,"set(['77', '1', '72', '4', '76'])",set([])
list.c,parse_indexes-8,"set(['1', '76'])",set([])
list.c,parse_indexes-9,"set(['77', '1', '72', '76'])",set([])
list.c,parse_indexes-10,"set(['77', '1', '72', '71', '76'])",set([])
list.c,get_ratio-1,set(['6']),set([])
list.c,print_info_adv-1,set(['22']),set([])
list.c,parse_block_header-2,"set(['36', '35'])",set([])
list.c,parse_block_header-3,set(['35']),set([])
list.c,parse_block_header-1,set(['36']),set([])
list.c,print_info_robot-0,"set(['13', '15'])",set([])
list.c,print_info_robot-1,set(['15']),set([])
list.c,print_info_adv-0,"set(['20', '22'])",set([])
options.c,parse_options-0,"set(['4', '40', '41'])",set([])
options.c,parse_options-4,set(['41']),set([])
options.c,parse_options-2,"set(['4', '40', '41'])",set([])
options.c,parse_options-3,"set(['4', '40', '41'])",set([])
options.c,set_lzma-0,set(['22']),set([])
options.c,parse_options-1,"set(['35', '4', '40', '41'])",set([])
lz_encoder.c,lz_encode-1,set(['1']),set([])
lz_encoder.c,lz_encode-0,set(['1']),set([])
lz_encoder.c,lz_encoder_prepare-1,"set(['42', '40', '41'])",set([])
lz_encoder.c,lz_encoder_prepare-2,set(['42']),set([])
lz_encoder.c,lz_encoder_prepare-3,set(['42']),set([])
lz_encoder.c,lz_encoder_init-1,set(['16']),set([])
lz_encoder.c,lz_encoder_update-0,set(['6']),set([])
lz_encoder.c,lzma_lz_encoder_init-0,set(['8']),set([])
lz_encoder.c,lzma_lz_encoder_init-1,set(['17']),set([])
block_util.c,lzma_block_compressed_size-1,set(['10']),set([])
block_util.c,lzma_block_unpadded_size-1,set(['16']),set([])
lzma2_decoder.c,lzma_lzma2_props_decode-1,set(['13']),set([])
lzma2_decoder.c,lzma2_decode-0,set(['1']),set([])
lzma2_decoder.c,lzma2_decode-1,set(['1']),set([])
block_buffer_decoder.c,lzma_block_buffer_decode-1,set(['20']),set([])
filter_decoder.c,decoder_find-0,set(['7']),set([])
filter_decoder.c,lzma_raw_decoder-0,set(['5']),set([])
