FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
stream_decoder.c,stream_decode-0,set(['1']),set([])
stream_decoder.c,lzma_stream_decoder-0,set(['5']),set([])
simple_coder.c,copy_or_code-0,set(['12']),set([])
simple_coder.c,simple_code-0,"set(['25', '13'])",set([])
simple_coder.c,lzma_simple_coder_init-0,set(['13']),set([])
block_encoder.c,lzma_block_encoder-0,set(['5']),set([])
file_io.c,is_sparse-0,set(['7']),set([])
file_io.c,io_read-0,set(['1']),set([])
file_io.c,io_write_buf-0,set(['1']),set([])
filter_encoder.c,lzma_raw_encoder-0,set(['5']),set([])
filter_encoder.c,encoder_find-0,set(['7']),set([])
lzma2_encoder.c,lzma2_encode-0,"set(['1', '27', '36'])",set([])
lzma2_encoder.c,lzma2_encoder_init-0,set(['12']),set([])
vli_decoder.c,lzma_vli_decode-0,set(['13']),set([])
alone_decoder.c,lzma_alone_decoder-0,set(['5']),set([])
alone_decoder.c,alone_decode-0,set(['1']),set([])
index.c,lzma_index_stream_flags-0,set(['7']),set([])
index.c,lzma_index_dup-0,"set(['3', '6'])",set([])
index.c,lzma_index_cat-0,set(['6']),set([])
coder.c,is_format_lzma-0,set(['9']),set([])
coder.c,coder_init-0,set(['34']),set([])
list.c,print_info_robot-0,set(['13']),set([])
list.c,print_info_adv-0,set(['20']),set([])
lz_encoder.c,lz_encode-0,set(['1']),set([])
lz_encoder.c,lz_encoder_update-0,set(['6']),set([])
lz_encoder.c,lzma_lz_encoder_init-0,set(['8']),set([])
lzma2_decoder.c,lzma2_decode-0,set(['1']),set([])
filter_decoder.c,decoder_find-0,set(['7']),set([])
filter_decoder.c,lzma_raw_decoder-0,set(['5']),set([])
filter_buffer_decoder.c,lzma_raw_buffer_decode-0,set(['11']),set([])
alone_encoder.c,lzma_alone_encoder-0,set(['5']),set([])
index_encoder.c,lzma_index_encoder-0,set(['5']),set([])
auto_decoder.c,lzma_auto_decoder-0,set(['5']),set([])
auto_decoder.c,auto_decode-0,"set(['25', '8', '16'])",set([])
stream_buffer_encoder.c,lzma_stream_buffer_encode-0,"set(['19', '23'])",set([])
block_header_encoder.c,lzma_block_header_size-0,"set(['9', '7'])",set([])
block_header_encoder.c,lzma_block_header_encode-0,"set(['9', '13'])",set([])
filter_flags_decoder.c,lzma_filter_flags_decode-0,set(['4']),set([])
block_buffer_encoder.c,block_encode_normal-0,set(['6']),set([])
block_buffer_encoder.c,lzma_block_buffer_encode-0,set(['23']),set([])
filter_buffer_encoder.c,lzma_raw_buffer_encode-0,set(['10']),set([])
index_hash.c,lzma_index_hash_append-0,set(['9']),set([])
index_hash.c,lzma_index_hash_decode-0,"set(['3', '58'])",set([])
block_decoder.c,lzma_block_decoder-0,set(['5']),set([])
index_decoder.c,lzma_index_decoder-0,set(['5']),set([])
index_decoder.c,lzma_index_buffer_decode-0,set(['10']),set([])
index_decoder.c,index_decode-0,"set(['1', '47'])",set([])
lz_encoder_mf.c,hc_find_func-0,set(['1']),set([])
lz_encoder_mf.c,lzma_mf_bt2_find-2,set([]),set(['10'])
lz_encoder_mf.c,bt_find_func-0,set(['1']),set([])
spec_mem_io.c,compare_sum-0,set(['10']),set([])
filter_common.c,lzma_filters_copy-4,"set(['20', '4'])",set([])
filter_common.c,lzma_raw_coder_memusage-0,set(['3']),set([])
filter_common.c,validate_chain-0,set(['4']),set([])
filter_common.c,lzma_raw_coder_init-0,set(['4']),set([])
lz_decoder.c,lzma_lz_decoder_init-0,set(['8']),set([])
lz_decoder.c,decode_buffer-0,set(['1']),set([])
lz_decoder.c,lz_decode-0,set(['3']),set([])
filter_flags_encoder.c,lzma_filter_flags_size-0,set(['6']),set([])
filter_flags_encoder.c,lzma_filter_flags_encode-0,set(['6']),set([])
stream_encoder.c,lzma_stream_encoder_init-0,set(['16']),set([])
stream_encoder.c,lzma_stream_encoder-0,set(['5']),set([])
stream_encoder.c,stream_encode-0,set(['1']),set([])
stream_encoder.c,stream_encoder_update-0,"set(['11', '4'])",set([])
stream_encoder.c,block_encoder_init-0,set(['4']),set([])
block_header_decoder.c,lzma_block_header_decode-0,"set(['24', '17'])",set([])
FinalResults,Total,79
