FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
stream_decoder.c,stream_decode-1,set(['44']),set(['44']),set([]),set([]),subset
stream_decoder.c,stream_decode-0,"set(['60', '20', '22', '54', '51', '52', '1', '114', '108', '64', '72', '113', '70', '91', '93', '34', '85'])","set(['60', '20', '22', '54', '51', '52', '1', '114', '108', '64', '72', '113', '70', '91', '93', '34', '85'])",set([]),set([]),subset
stream_decoder.c,stream_decode-3,"set(['20', '51', '52', '60', '108', '64', '70', '91', '34', '85'])","set(['20', '51', '52', '60', '108', '64', '70', '91', '34', '85'])",set([]),set([]),subset
stream_decoder.c,stream_decode-2,"set(['42', '43'])","set(['42', '43'])",set([]),set([]),subset
stream_decoder.c,stream_decoder_reset-1,{},{},set([]),set([]),subset
stream_decoder.c,stream_decoder_memconfig-1,{},{},set([]),set([]),subset
stream_decoder.c,stream_decoder_reset-0,set(['3']),set(['3']),set([]),set([]),subset
stream_decoder.c,lzma_stream_decoder-0,"set(['10', '13', '5'])","set(['10', '13', '5'])",set([]),set([]),subset
stream_decoder.c,lzma_stream_decoder-1,"set(['10', '5'])","set(['10', '5'])",set([]),set([]),subset
stream_decoder.c,stream_decoder_memconfig-0,set(['5']),set(['5']),set([]),set([]),subset
stream_decoder.c,lzma_stream_decoder_init-0,set(['13']),set(['13']),set([]),set([]),subset
delta_common.c,lzma_delta_coder_memusage-0,set(['6']),set(['6']),set([]),set([]),subset
delta_common.c,lzma_delta_coder_memusage-1,{},{},set([]),set([]),subset
delta_common.c,lzma_delta_coder_init-0,set(['7']),set(['7']),set([]),set([]),subset
simple_coder.c,copy_or_code-0,"set(['12', '15'])","set(['12', '15'])",set([]),set([]),subset
simple_coder.c,copy_or_code-1,set(['12']),set(['12']),set([]),set([]),subset
simple_coder.c,simple_code-0,"set(['25', '13', '38', '37', '29'])","set(['25', '13', '38', '37', '29'])",set([]),set([]),subset
simple_coder.c,simple_code-1,"set(['13', '20', '29'])","set(['13', '20', '29'])",set([]),set([]),subset
simple_coder.c,lzma_simple_coder_init-1,set(['13']),set(['13']),set([]),set([]),subset
simple_coder.c,lzma_simple_coder_init-0,"set(['13', '17'])","set(['13', '17'])",set([]),set([]),subset
block_encoder.c,block_encoder_update-1,{},{},set([]),set([]),subset
block_encoder.c,block_encoder_update-0,set(['3']),set(['3']),set([]),set([]),subset
block_encoder.c,lzma_block_encoder-0,"set(['10', '13', '5'])","set(['10', '13', '5'])",set([]),set([]),subset
block_encoder.c,lzma_block_encoder_init-0,set(['17']),set(['17']),set([]),set([]),subset
block_encoder.c,lzma_block_encoder-1,"set(['10', '5'])","set(['10', '5'])",set([]),set([]),subset
block_encoder.c,block_encode-1,set(['9']),set(['9']),set([]),set([]),subset
block_encoder.c,block_encode-0,"set(['9', '24', '22'])","set(['9', '24', '22'])",set([]),set([]),subset
file_io.c,is_sparse-2,set(['1']),set(['1']),set([]),set([]),subset
file_io.c,is_sparse-1,set(['7']),set(['7']),set([]),set([]),subset
file_io.c,is_sparse-0,"set(['9', '7'])","set(['9', '7'])",set([]),set([]),subset
file_io.c,io_close-0,"set(['9', '8', '7', '11'])","set(['9', '8', '7', '11'])",set([]),set([]),subset
file_io.c,io_read-0,"set(['1', '11', '14'])","set(['1', '11', '14'])",set([]),set([]),subset
file_io.c,io_read-3,"set(['1', '11'])","set(['1', '11'])",set([]),set([]),subset
file_io.c,io_read-2,"set(['1', '11', '13'])","set(['1', '11', '13'])",set([]),set([]),subset
file_io.c,io_write_buf-3,"set(['1', '11'])","set(['1', '11'])",set([]),set([]),subset
file_io.c,io_write_buf-2,"set(['1', '11'])","set(['1', '11'])",set([]),set([]),subset
file_io.c,io_write_buf-1,set(['11']),set(['11']),set([]),set([]),subset
file_io.c,io_write_buf-0,"set(['1', '11', '14'])","set(['1', '11', '14'])",set([]),set([]),subset
file_io.c,io_write-0,set(['14']),set(['14']),set([]),set([]),subset
