FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
SDL_blit_1.c,Blit1to4Key-0,set(['1']),set([])
SDL_blit_1.c,Blit1toNAlphaKey-11,"set(['1', '166', '4'])",set([])
SDL_blit_1.c,Blit1toNAlphaKey-10,"set(['1', '166', '4'])",set([])
SDL_blit_1.c,Blit1to4-0,set(['1']),set([])
SDL_blit_1.c,Blit1to2Key-0,set(['1']),set([])
SDL_blit_1.c,Blit1toNAlpha-9,"set(['1', '4', '78'])",set([])
SDL_blit_1.c,Blit1toNAlpha-8,"set(['1', '4', '78'])",set([])
SDL_blit_1.c,Blit1toNAlphaKey-9,"set(['1', '166', '4'])",set([])
SDL_blit_1.c,Blit1toNAlphaKey-8,"set(['1', '166', '4'])",set([])
SDL_blit_1.c,Blit1toNAlphaKey-4,"set(['1', '166', '4'])",set([])
SDL_blit_1.c,Blit1toNAlpha-1,"set(['1', '4', '78'])",set([])
SDL_blit_1.c,Blit1toNAlphaKey-6,"set(['1', '166', '4'])",set([])
SDL_blit_1.c,Blit1toNAlphaKey-1,"set(['1', '166', '4'])",set([])
SDL_blit_1.c,Blit1toNAlphaKey-0,set(['1']),set([])
SDL_blit_1.c,Blit1toNAlpha-0,set(['1']),set([])
SDL_blit_1.c,Blit1to2-0,set(['1']),set([])
SDL_blit_1.c,Blit1toNAlpha-6,"set(['1', '4', '78'])",set([])
SDL_blit_1.c,Blit1to1-0,set(['1']),set([])
SDL_blit_1.c,Blit1to3-1,"set(['1', '14', '4'])",set([])
SDL_blit_1.c,Blit1toNAlpha-4,"set(['1', '4', '78'])",set([])
SDL_blit_1.c,Blit1to3-0,set(['1']),set([])
SDL_blit_1.c,Blit1to3Key-1,"set(['1', '30', '4'])",set([])
SDL_blit_1.c,Blit1toNAlphaKey-7,"set(['1', '166', '4'])",set([])
SDL_blit_1.c,Blit1toNAlpha-11,"set(['1', '4', '78'])",set([])
SDL_blit_1.c,Blit1toNAlpha-10,"set(['1', '4', '78'])",set([])
SDL_blit_1.c,Blit1to3Key-0,set(['1']),set([])
SDL_blit_1.c,Blit1to1Key-1,"set(['2', '65'])",set([])
SDL_blit_1.c,Blit1to1Key-0,"set(['65', '34'])",set([])
SDL_blit_1.c,Blit1toNAlpha-7,"set(['1', '4', '78'])",set([])
e_pow.c,SDL_uclibc_pow-21,set(['163']),set([])
e_pow.c,SDL_uclibc_pow-20,"set(['33', '32', '34'])",set([])
e_pow.c,SDL_uclibc_pow-22,set(['120']),set([])
e_pow.c,SDL_uclibc_pow-17,set(['120']),set([])
e_pow.c,SDL_uclibc_pow-11,set(['163']),set([])
e_pow.c,SDL_uclibc_pow-12,set(['120']),set([])
e_pow.c,SDL_uclibc_pow-13,"set(['120', '163'])",set([])
e_pow.c,SDL_uclibc_pow-19,"set(['33', '32', '30', '34'])",set([])
e_pow.c,SDL_uclibc_pow-6,"set(['120', '163'])",set([])
e_pow.c,SDL_uclibc_pow-7,set(['120']),set([])
e_pow.c,SDL_uclibc_pow-5,"set(['120', '163'])",set([])
e_pow.c,SDL_uclibc_pow-2,"set(['120', '163'])",set([])
e_pow.c,SDL_uclibc_pow-1,"set(['120', '163'])",set([])
e_pow.c,SDL_uclibc_pow-8,"set(['120', '163'])",set([])
e_pow.c,SDL_uclibc_pow-9,set(['163']),set([])
e_exp.c,SDL_uclibc_exp-6,"set(['24', '31', '49'])",set([])
SDL_cocoavulkan.m,Cocoa_Vulkan_LoadLibrary-8,"set(['45', '22'])",set([])
SDL_cocoavulkan.m,Cocoa_Vulkan_LoadLibrary-9,"set(['45', '22'])",set([])
SDL_cocoavulkan.m,Cocoa_Vulkan_LoadLibrary-6,set(['22']),set([])
SDL_cocoavulkan.m,Cocoa_Vulkan_LoadLibrary-7,"set(['45', '22'])",set([])
SDL_cocoavulkan.m,Cocoa_Vulkan_LoadLibrary-0,"set(['20', '22'])",set([])
SDL_cocoavulkan.m,Cocoa_Vulkan_LoadLibrary-1,"set(['44', '45'])",set([])
SDL_cocoavulkan.m,Cocoa_Vulkan_LoadLibrary-10,"set(['45', '22'])",set([])
SDL_yuv.c,SDL_ConvertPixels_SwapNV-3,set(['1']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Packed4-9,"set(['11', '29'])",set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Packed4-8,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Packed4-3,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Packed4-2,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Packed4-5,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Packed4-4,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_Planar2x2_to_Packed4-6,set(['29']),set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-2,"set(['115', '116'])",set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-3,"set(['115', '116'])",set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-0,"set(['115', '112'])",set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-1,set(['115']),set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-6,"set(['115', '116'])",set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-7,"set(['115', '116'])",set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-4,"set(['115', '116'])",set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-5,"set(['115', '116'])",set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-8,"set(['109', '112'])",set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-9,"set(['109', '99', '75', '2', '112', '87'])",set([])
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-4,set(['19']),set([])
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-7,set(['8']),set([])
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-6,"set(['19', '20'])",set([])
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-1,"set(['19', '20'])",set([])
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-0,"set(['19', '8'])",set([])
