FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
SDL_cocoavulkan.m,Cocoa_Vulkan_LoadLibrary-0,set(['20']),set([])
SDL_yuv.c,SDL_ConvertPixels_ARGB8888_to_YUV-0,set(['112']),set([])
SDL_yuv.c,SDL_ConvertPixels_SwapUVPlanes-0,set(['8']),set([])
SDL_egl.c,SDL_EGL_InitializeOffscreen-0,set(['27']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOne_UpdateRumble-0,"set(['9', '4'])",set([])
SDL_hidapi_xboxone.c,SendControllerInit-0,set(['1']),set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-71,set(['167']),set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-30,set(['36']),set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-65,set(['143']),set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-106,set(['286']),set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-49,set(['422']),set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-49,set(['422']),set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-99,set(['260']),set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-71,set(['387']),set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-72,set(['167']),set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-29,set(['36']),set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-36,set(['60']),set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-37,set(['60']),set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-64,set(['143']),set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-100,set(['260']),set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-107,set(['286']),set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-73,set(['387']),set([])
SDL_hidapi.c,SDL_hid_enumerate_REAL-0,"set(['13', '4'])",set([])
SDL_hidapi.c,PLATFORM_hid_open_path-0,"set(['8', '3', '10'])",set([])
SDL_hidapi.c,cond_wait-0,set(['1']),set([])
SDL_hidapi.c,cond_timedwait-0,set(['1']),set([])
SDL_audio.c,open_audio_device-0,set(['120']),set([])
SDL_audio.c,add_audio_device-0,set(['23']),set([])
SDL_joystick.c,SDL_SetJoystickIDForPlayerIndex-0,set(['4']),set([])
SDL_joystick.c,GetControllerTypeOverride-0,set(['8']),set([])
SDL_joystick.c,SDL_PrivateJoystickAxis-0,set(['17']),set([])
SDL_render.c,SDL_UpdateTextureNVPlanar-0,"set(['9', '24', '22', '25'])",set([])
SDL_render.c,SDL_UpdateTextureYUVPlanar-0,"set(['9', '24', '22', '25'])",set([])
SDL_render.c,SDL_RenderGeometryRaw_REAL-0,"set(['38', '45', '49'])",set([])
SDL_render.c,SDL_AllocateRenderVertices-0,set(['14']),set([])
SDL_render.c,SDL_UpdateTextureNative-0,"set(['20', '7', '22', '23'])",set([])
SDL_render.c,SDL_RenderSetViewport_REAL-0,set(['8']),set([])
SDL_render.c,SDL_SW_RenderGeometryRaw-0,set(['118']),set([])
SDL_render.c,SDL_UpdateTextureYUV-0,"set(['19', '21', '22', '6'])",set([])
SDL_render.c,GetClosestSupportedFormat-0,set(['62']),set([])
SDL_render.c,remap_indices-0,"set(['3', '7'])",set([])
SDL_cocoaevents.m,FindSDLWindowForNSWindow-0,"set(['3', '7'])",set([])
SDL_cocoaevents.m,Cocoa_PumpEventsUntilDate-0,"set(['1', '8'])",set([])
SDL_cocoamodes.m,GetDisplayMode-0,"set(['55', '8', '51'])",set([])
SDL_render_metal.m,ChoosePipelineState-0,set(['7']),set([])
SDL_render_metal.m,ChooseShaderPipelines-0,set(['7']),set([])
SDL_render_metal.m,METAL_ActivateRenderCommandEncoder-0,set(['24']),set([])
SDL_render_metal.m,GetWindowView-0,set(['7']),set([])
SDL_render_metal.m,METAL_UpdateTexture-0,set(['10']),set([])
SDL_hidapijoystick.c,HIDAPI_IsEquivalentToDevice-0,set(['15']),set([])
SDL_hidapijoystick.c,HIDAPI_GetDeviceDriver-0,"set(['18', '13'])",set([])
SDL_hidapijoystick.c,HIDAPI_IsDeviceSupported-0,"set(['1', '6'])",set([])
SDL_video.c,SDL_CreateWindowTexture-0,set(['35']),set([])
SDL_video.c,SDL_GL_ExtensionSupported_REAL-0,"set(['13', '17'])",set([])
SDL_video.c,SDL_GL_GetAttribute_REAL-0,"set(['61', '67'])",set([])
SDL_video.c,SDL_UpdateFullscreenMode-0,"set(['71', '69', '72', '40'])",set([])
SDL_video.c,SDL_GetDisplayBounds_REAL-0,set(['14']),set([])
SDL_video.c,SDL_GetWindowDisplayIndex_REAL-0,"set(['20', '16'])",set([])
SDL_mfijoystick.m,IOS_SupportedHIDDevice-0,set(['11']),set([])
SDL_mfijoystick.m,IOS_JoystickInit-0,set(['13']),set([])
SDL_mfijoystick.m,IOS_JoystickGetCapabilities-0,set(['22']),set([])
SDL_mfijoystick.m,IOS_JoystickSetLED-0,"set(['8', '6'])",set([])
SDL_mfijoystick.m,IOS_AddMFIJoystickDevice-0,set(['61']),set([])
SDL_mfijoystick.m,IOS_JoystickInitRumble-0,"set(['8', '5', '7'])",set([])
SDL_mfijoystick.m,IOS_JoystickSetSensorsEnabled-0,"set(['8', '6'])",set([])
SDL_surface.c,SDL_CreateRGBSurfaceWithFormat_REAL-0,"set(['19', '17'])",set([])
SDL_surface.c,SDL_ConvertSurface_REAL-0,set(['16']),set([])
SDL_syshaptic.c,HIDGetDeviceProduct-0,set(['14']),set([])
SDL_gamecontroller.c,SDL_GameControllerSetSensorEnabled_REAL-0,set(['3']),set([])
SDL_gamecontroller.c,SDL_PrivateGameControllerAddMapping-0,"set(['24', '25', '22'])",set([])
SDL_gamecontroller.c,SDL_GameControllerGetButton_REAL-0,set(['3']),set([])
SDL_gamecontroller.c,SDL_GameControllerMappingForDeviceIndex_REAL-0,set(['4']),set([])
SDL_gamecontroller.c,SDL_GameControllerGetSensorDataRate_REAL-0,"set(['3', '7'])",set([])
SDL_gamecontroller.c,SDL_ShouldIgnoreGameController-0,set(['10']),set([])
SDL_gamecontroller.c,SDL_GameControllerGetSensorData_REAL-0,"set(['10', '3'])",set([])
SDL_gamecontroller.c,SDL_GameControllerGetAxis_REAL-0,"set(['3', '45', '42', '44'])",set([])
SDL_vulkan_utils.c,SDL_Vulkan_GetInstanceExtensions_Helper-0,set(['8']),set([])
SDL_iokitjoystick.c,DARWIN_JoystickRumble-0,set(['8']),set([])
SDL_cocoamouse.m,SDL_FindWindowAtPoint-0,"set(['1', '5'])",set([])
SDL_cocoamouse.m,Cocoa_WarpMouseGlobal-0,set(['7']),set([])
SDL_hidapi_ps5.c,HIDAPI_DriverPS5_SendJoystickEffect-0,set(['18']),set([])
SDL_wave.c,WaveLoad-0,set(['24']),set([])
SDL_wave.c,MS_ADPCM_DecodeBlockHeader-0,"set(['1', '9'])",set([])
SDL_wave.c,MS_ADPCM_Init-0,"set(['30', '23'])",set([])
SDL_cpuinfo.c,CPU_have3DNow-0,set(['4']),set([])
SDL_mouse.c,SDL_SendMouseMotion-0,set(['5']),set([])
SDL_mouse.c,SDL_PrivateSendMouseMotion-0,set(['24']),set([])
SDL_mouse.c,GetMouseClickState-0,set(['8']),set([])
SDL_render_gles2.c,GLES2_CreateTexture-0,set(['30']),set([])
SDL_render_gles2.c,GLES2_QueueGeometry-0,"set(['29', '49'])",set([])
SDL_hidapi_xbox360.c,HIDAPI_DriverXbox360_RumbleJoystick-0,"set(['9', '4'])",set([])
SDL_hidapi_switch.c,WriteProprietary-0,set(['1']),set([])
SDL_hidapi_switch.c,ReadSubcommandReply-0,"set(['1', '8', '12', '10'])",set([])
SDL_bmp.c,readRlePixels-0,set(['1']),set([])
SDL_bmp.c,SDL_LoadBMP_RW_REAL-0,set(['152']),set([])
SDL_yuv_sw.c,SDL_SW_CreateYUVTexture-0,set(['16']),set([])
SDL_dataqueue.c,SDL_ReserveSpaceInDataQueue-0,set(['12']),set([])
SDL_dataqueue.c,SDL_ReadFromDataQueue-2,"set(['3', '5'])",set([])
SDL_dataqueue.c,SDL_WriteToDataQueue-0,"set(['9', '25'])",set([])
SDL_triangle.c,SDL_SW_FillTriangle-10,set(['26']),set([])
SDL_triangle.c,SDL_SW_FillTriangle-8,set(['26']),set([])
SDL_triangle.c,SDL_SW_FillTriangle-9,set(['26']),set([])
SDL_render_gl.c,GL_CreateTexture-0,set(['24']),set([])
SDL_blendfillrect.c,SDL_BlendFillRect_ARGB8888-43,"set(['33', '30', '43', '53', '75', '63'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_ARGB8888-47,"set(['33', '30', '43', '53', '75', '63'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_RGBA-27,"set(['89', '82', '103', '93', '97', '85'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_RGBA-29,"set(['89', '82', '103', '93', '97', '85'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_RGBA-45,"set(['54', '31', '34', '76', '64', '44'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_RGBA-41,"set(['54', '31', '34', '76', '64', '44'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_RGBA-30,"set(['89', '82', '103', '93', '97', '85'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_ARGB8888-28,"set(['81', '88', '102', '92', '84', '96'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_RGBA-35,"set(['54', '31', '34', '76', '64', '44'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_ARGB8888-33,"set(['33', '30', '43', '53', '75', '63'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_RGBA-28,"set(['89', '82', '103', '93', '97', '85'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_RGBA-49,"set(['54', '31', '34', '76', '64', '44'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_ARGB8888-39,"set(['33', '30', '43', '53', '75', '63'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_ARGB8888-26,"set(['81', '88', '102', '92', '84', '96'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_ARGB8888-27,"set(['81', '88', '102', '92', '84', '96'])",set([])
SDL_blendfillrect.c,SDL_BlendFillRect_ARGB8888-25,"set(['81', '88', '102', '92', '84', '96'])",set([])
SDL_thread.c,SDL_Generic_GetTLSData-0,set(['5']),set([])
SDL_audiocvt.c,SDL_AudioStreamPut_REAL-0,set(['16']),set([])
SDL_audiocvt.c,SDL_AudioStreamFlush_REAL-0,"set(['15', '16'])",set([])
SDL_audiocvt.c,SDL_BuildAudioCVT_REAL-0,"set(['102', '100'])",set([])
SDL_blit_A.c,BlitRGBtoBGRPixelAlpha-3,"set(['10', '30', '22', '16'])","set(['File:', 'SDL_blit_N.c'])"
SDL_dropevents.c,SDL_SendDrop-0,set(['26']),set([])
SDL_events.c,SDL_WaitEventTimeout_Device-0,"set(['1', '32', '31'])",set([])
SDL_events.c,SDL_WaitEventTimeout_REAL-0,"set(['16', '34'])",set([])
SDL_cocoawindow.m,AdjustCoordinatesForGrab-0,"set(['25', '23'])",set([])
SDL_gesture.c,SDL_LoadDollarTemplates_REAL-0,"set(['13', '28'])",set([])
SDL_gesture.c,SDL_SaveDollarTemplate_REAL-0,"set(['1', '9'])",set([])
SDL_iconv.c,SDL_iconv_string_REAL-0,"set(['25', '28', '21', '16'])",set([])
FinalResults,Total,278
