FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
e_log.c,SDL_uclibc_log-2,{},{},set([]),set([]),subset
e_log.c,SDL_uclibc_log-3,{},{},set([]),set([]),subset
e_log.c,SDL_uclibc_log-0,set(['32']),set(['32']),set([]),set([]),subset
e_log.c,SDL_uclibc_log-1,set(['12']),set(['12']),set([]),set([]),subset
e_log.c,SDL_uclibc_log-6,{},{},set([]),set([]),subset
e_log.c,SDL_uclibc_log-7,{},{},set([]),set([]),subset
e_log.c,SDL_uclibc_log-4,set(['12']),set(['12']),set([]),set([]),subset
e_log.c,SDL_uclibc_log-5,set(['12']),set(['12']),set([]),set([]),subset
SDL_blit_1.c,Blit1to4Key-4,"set(['10', '13', '22', '16', '19', '30', '1', '4', '7', '25'])","set(['10', '13', '22', '16', '19', '30', '1', '4', '7', '25'])",set([]),set([]),subset
SDL_blit_1.c,Blit1to2-3,"set(['11', '10', '14', '1', '5', '4', '7', '6', '9', '8'])","set(['11', '10', '14', '1', '5', '4', '7', '6', '9', '8'])",set([]),set([]),subset
SDL_blit_1.c,Blit1to4Key-2,set(['1']),set(['1']),set([]),set([]),subset
SDL_blit_1.c,Blit1to4Key-3,"set(['10', '13', '22', '16', '19', '30', '1', '4', '7', '25'])","set(['10', '13', '22', '16', '19', '30', '1', '4', '7', '25'])",set([]),set([]),subset
SDL_blit_1.c,Blit1to4Key-0,"set(['10', '13', '22', '16', '19', '4', '7', '25'])","set(['10', '13', '22', '16', '19', '4', '7', '25'])",set([]),set([]),subset
SDL_blit_1.c,Blit1to4Key-1,{},{},set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlphaKey-11,{},{},set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlphaKey-10,{},{},set([]),set([]),subset
SDL_blit_1.c,Blit1to4-0,"set(['11', '10', '5', '4', '7', '6', '9', '8'])","set(['11', '10', '5', '4', '7', '6', '9', '8'])",set([]),set([]),subset
SDL_blit_1.c,Blit1to4-1,"set(['11', '10', '14', '1', '5', '4', '7', '6', '9', '8'])","set(['11', '10', '14', '1', '5', '4', '7', '6', '9', '8'])",set([]),set([]),subset
SDL_blit_1.c,Blit1to2Key-0,"set(['10', '13', '22', '16', '19', '4', '7', '25'])","set(['10', '13', '22', '16', '19', '4', '7', '25'])",set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlpha-3,"set(['58', '22', '40', '1', '4', '78'])","set(['58', '22', '40', '1', '4', '78'])",set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlpha-9,{},{},set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlpha-8,{},{},set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlphaKey-9,{},{},set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlphaKey-8,{},{},set([]),set([]),subset
SDL_blit_1.c,Blit1to4-2,set(['1']),set(['1']),set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlpha-2,set(['1']),set(['1']),set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlphaKey-5,"set(['24', '104', '144', '44', '1', '64', '4', '124', '166', '84'])","set(['24', '104', '144', '44', '1', '64', '4', '124', '166', '84'])",set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlphaKey-4,"set(['12', '32', '52', '132', '152', '72', '112', '92'])","set(['12', '32', '52', '132', '152', '72', '112', '92'])",set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlpha-1,"set(['11', '47', '29', '65'])","set(['11', '47', '29', '65'])",set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlphaKey-6,"set(['12', '32', '52', '132', '152', '72', '112', '92'])","set(['12', '32', '52', '132', '152', '72', '112', '92'])",set([]),set([]),subset
SDL_blit_1.c,Blit1toNAlphaKey-1,"set(['12', '32', '52', '132', '152', '72', '112', '92'])","set(['12', '32', '52', '132', '152', '72', '112', '92'])",set([]),set([]),subset
