FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
"('s_cos.c', 47)",59,59,2,2,0,0
"('e_atan2.c', 193)",155,155,5,5,0,0
"('SDL_surface.c', 107)",3078,3001,250,174,0,0
"('SDL_diskaudio.c', 276)",233,233,6,6,0,0
"('e_sqrt.c', 40)",240,229,59,47,0,0
"('SDL_cocoamouse.m', 148)",976,955,68,45,0,0
"('SDL_cocoamessagebox.m', 145)",385,384,5,4,0,0
"('SDL_blit_auto.c', 96)",19369,17583,3572,1786,0,0
"('SDL_spinlock.c', 10)",22,22,2,2,0,0
"('SDL_strtokr.c', 88)",2,2,0,0,0,0
"('SDL_clipboardevents.c', 179)",17,17,1,1,0,0
"('SDL_hidapi_stadia.c', 289)",446,437,23,14,0,0
"('SDL_locale.c', 53)",132,130,20,18,0,0
"('SDL_egl.c', 101)",2359,2336,150,126,0,0
"('SDL_render_sw.c', 234)",2386,2346,136,97,0,0
"('SDL_sysfilesystem.m', 302)",140,135,16,11,0,0
"('SDL_drawline.c', 72)",1936,1549,588,201,0,0
"('SDL_gamecontroller.c', 273)",4458,4353,371,258,0,0
"('SDL_joystick.c', 113)",4025,3980,316,266,0,0
"('e_pow.c', 198)",717,691,79,53,0,0
"('e_sqrt.c', 200)",240,229,59,47,0,0
"('SDL_dynapi.c', 178)",6904,6904,6,6,0,0
"('SDL_events.c', 22)",2584,2553,104,70,0,0
"('SDL.c', 3)",394,393,33,32,0,0
"('SDL_coreaudio.m', 122)",1753,1696,134,77,0,0
"('k_cos.c', 201)",76,75,4,3,0,0
"('SDL_blit_A.c', 255)",19519,-1,1367,-1,0,-1
"('SDL_iconv.c', 83)",153,146,32,25,0,0
"('k_rem_pio2.c', 202)",654,636,91,73,0,0
"('SDL_render_sw.c', 74)",2386,2346,136,97,0,0
"('SDL_audiocvt.c', 172)",3446,3402,239,188,0,0
"('SDL_cocoakeyboard.m', 305)",810,804,23,17,0,0
"('SDL_blendline.c', 70)",22671,19459,4807,1595,0,0
"('SDL_haptic.c', 31)",825,813,70,58,0,0
"('SDL_sysmutex.c', 157)",79,78,9,8,0,0
"('SDL_audiotypecvt.c', 174)",1443,1436,124,117,0,0
"('SDL_events.c', 182)",2584,2553,104,70,0,0
"('SDL_hidapi_ps5.c', 126)",1891,1877,54,38,0,0
"('SDL_getenv.c', 242)",25,25,2,2,0,0
"('SDL_cocoamessagebox.m', 306)",385,384,5,4,0,0
"('SDL_hidapi_xbox360.c', 131)",479,477,21,19,0,0
"('SDL_sensor.c', 80)",605,596,52,43,0,0
"('SDL_cocoawindow.m', 154)",5341,5292,158,107,0,0
"('SDL_vulkan_utils.c', 270)",710,656,106,50,0,0
"('SDL_hidapi_gamecube.c', 284)",1702,1688,38,24,0,0
"('SDL_hidapi.c', 32)",2162,2131,159,130,0,0
"('SDL_video.c', 108)",8416,8344,413,337,0,0
"('SDL_yuv_sw.c', 58)",1139,1118,75,52,0,0
"('SDL_render_gl.c', 223)",4383,4347,169,134,0,0
"('SDL_video.c', 269)",8416,8344,413,337,0,0
"('s_copysign.c', 46)",45,45,0,0,0,0
"('SDL_cocoamodes.m', 308)",1253,1216,93,57,0,0
"('SDL_malloc.c', 244)",96,96,5,5,0,0
"('SDL_crc32.c', 81)",34,34,4,4,0,0
"('SDL_blit_1.c', 254)",7173,7106,617,550,0,0
"('SDL_egl.c', 262)",2359,2336,150,126,0,0
"('SDL_diskaudio.c', 115)",233,233,6,6,0,0
"('SDL_blendline.c', 230)",22671,19459,4807,1595,0,0
"('SDL_hidapijoystick.c', 134)",1440,1421,92,70,0,0
"('SDL_surface.c', 268)",3078,3001,250,174,0,0
"('SDL_hidapi_xboxone.c', 133)",1704,1683,81,56,0,0
"('SDL_mfijoystick.m', 136)",3563,3535,188,150,0,0
"('s_atan.c', 45)",156,155,15,14,0,0
"('SDL_stdlib.c', 246)",184,184,0,0,0,0
"('SDL_gesture.c', 183)",1613,1574,139,100,0,0
"('SDL_pixels.c', 103)",2319,2306,95,82,0,0
"('SDL_hidapi_xboxone.c', 294)",1704,1683,81,56,0,0
"('SDL_hidapi.c', 192)",2162,2131,159,130,0,0
"('s_fabs.c', 208)",30,30,0,0,0,0
"('SDL_hidapi_ps4.c', 286)",1701,1671,83,53,0,0
"('SDL_fillrect.c', 102)",599,575,104,80,0,0
"('SDL_syshaptic.c', 137)",2034,2028,119,113,0,0
"('SDL_touch.c', 27)",791,764,72,45,0,0
"('SDL_rwops.c', 190)",651,647,45,41,0,0
"('SDL_getenv.c', 82)",25,25,2,2,0,0
"('SDL_cocoavideo.m', 152)",384,382,11,9,0,0
"('SDL_crc32.c', 241)",34,34,4,4,0,0
"('SDL_blit.c', 92)",594,594,23,23,0,0
"('s_fabs.c', 48)",30,30,0,0,0,0
"('SDL_hidapi_xbox360w.c', 132)",563,563,9,9,0,0
"('SDL_qsort.c', 85)",2,2,0,0,0,0
"('SDL_cocoaopengles.m', 311)",141,141,7,7,0,0
"('SDL_render_gles2.c', 66)",4716,4644,254,181,0,0
"('SDL_stdlib.c', 86)",184,184,0,0,0,0
"('SDL_keyboard.c', 24)",870,863,47,40,0,0
"('SDL_blit_A.c', 95)",19519,19120,1367,968,0,0
"('SDL_assert.c', 4)",359,356,22,19,0,0
"('SDL_blit_0.c', 253)",1736,1680,183,129,0,0
"('SDL_hidapi_switch.c', 291)",2560,2530,114,84,0,0
"('e_log.c', 36)",169,169,11,11,0,0
"('SDL_drawpoint.c', 73)",204,203,5,4,0,0
"('SDL_wave.c', 16)",3473,3419,196,142,0,0
"('SDL_windowevents.c', 28)",330,329,10,9,0,0
"('SDL_sysfilesystem.m', 141)",140,135,16,11,0,0
"('SDL_cocoaopengles.m', 150)",141,141,7,7,0,0
"('SDL_render.c', 217)",9996,9787,699,484,0,0
"('SDL_blendpoint.c', 71)",3235,3158,157,80,0,0
"('SDL_cocoamodes.m', 147)",1253,1216,93,57,0,0
"('SDL_cocoavideo.m', 313)",384,382,11,9,0,0
"('SDL_mixer.c', 15)",403,375,79,51,0,0
"('SDL_systimer.c', 140)",143,143,3,3,0,0
"('SDL_gamecontroller.c', 112)",4458,4353,371,258,0,0
"('SDL_drawpoint.c', 233)",204,203,5,4,0,0
"('SDL_cocoaevents.m', 143)",1037,1022,45,30,0,0
"('SDL_rect.c', 265)",830,802,149,125,0,0
"('SDL_render_gl.c', 63)",4383,4347,169,134,0,0
"('SDL_power.c', 215)",44,44,5,5,0,0
"('SDL_url.c', 54)",8,8,1,1,0,0
"('SDL_dummy_main.c', 322)",1,1,0,0,0,0
"('SDL_syshaptic.c', 298)",2034,2028,119,113,0,0
"('SDL_RLEaccel.c', 251)",8751,7351,2453,1052,0,0
"('SDL_blendpoint.c', 231)",3235,3158,157,80,0,0
"('SDL_hidapi_gamecube.c', 123)",1702,1688,38,24,0,0
"('SDL_displayevents.c', 20)",45,44,4,3,0,0
"('e_log.c', 196)",169,169,11,11,0,0
"('SDL_hints.c', 167)",314,309,23,18,0,0
"('s_atan.c', 205)",156,155,15,14,0,0
"('SDL_hidapijoystick.c', 295)",1440,1421,92,70,0,0
"('SDL_cocoashape.m', 312)",210,210,0,0,0,0
"('SDL_audiocvt.c', 12)",3446,3402,239,188,0,0
"('SDL_audio.c', 11)",2318,2287,164,131,0,0
"('SDL_rotate.c', 235)",1513,1485,91,68,0,0
"('SDL_dropevents.c', 21)",108,107,10,7,0,0
"('SDL_bmp.c', 260)",1293,1256,241,205,0,0
"('SDL_power.c', 55)",44,44,5,5,0,0
"('k_tan.c', 204)",181,176,18,13,0,0
"('SDL_yuv.c', 110)",4516,4440,408,334,0,0
"('e_atan2.c', 33)",155,155,5,5,0,0
"('SDL_bmp.c', 99)",1293,1256,241,205,0,0
"('SDL_timer.c', 250)",423,416,38,30,0,0
"('SDL_hidapi_rumble.c', 288)",322,321,13,12,0,0
"('SDL_displayevents.c', 180)",45,44,4,3,0,0
"('SDL_hidapi_ps4.c', 125)",1701,1671,83,53,0,0
"('SDL_cocoamouse.m', 309)",976,955,68,45,0,0
"('SDL_nullframebuffer.c', 119)",61,61,4,4,0,0
