FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
"('s_cos.c', 47)",59,59,1,1,0,0
"('e_atan2.c', 193)",154,154,3,3,0,0
"('SDL_surface.c', 107)",2978,2978,137,134,0,0
"('SDL_diskaudio.c', 276)",233,233,5,5,0,0
"('e_sqrt.c', 40)",226,226,42,42,0,0
"('SDL_cocoamouse.m', 148)",951,949,37,34,0,0
"('SDL_cocoamessagebox.m', 145)",383,383,3,3,0,0
"('SDL_blit_auto.c', 96)",17511,17511,1714,1714,0,0
"('SDL_spinlock.c', 10)",22,22,2,2,0,0
"('SDL_strtokr.c', 88)",2,2,0,0,0,0
"('SDL_clipboardevents.c', 179)",17,17,1,1,0,0
"('SDL_hidapi_stadia.c', 289)",435,435,9,9,0,0
"('SDL_locale.c', 53)",127,127,14,14,0,0
"('SDL_egl.c', 101)",2308,2307,88,87,0,0
"('SDL_render_sw.c', 234)",2326,2326,64,64,0,0
"('SDL_sysfilesystem.m', 302)",134,134,9,9,0,0
"('SDL_drawline.c', 72)",1549,1549,199,199,0,0
"('SDL_gamecontroller.c', 273)",4324,4314,205,190,0,0
"('SDL_joystick.c', 113)",3951,3949,205,202,0,0
"('e_pow.c', 198)",667,667,28,28,0,0
"('e_sqrt.c', 200)",226,226,42,42,0,0
"('SDL_dynapi.c', 178)",6904,6904,5,5,0,0
"('SDL_events.c', 22)",2545,2540,58,53,0,0
"('SDL.c', 3)",387,387,23,23,0,0
"('SDL_coreaudio.m', 122)",1671,1671,43,43,0,0
"('k_cos.c', 201)",75,75,2,2,0,0
"('SDL_blit_A.c', 255)",18652,-1,499,-1,0,-1
"('SDL_iconv.c', 83)",140,136,18,14,0,0
"('k_rem_pio2.c', 202)",614,614,50,50,0,0
"('SDL_render_sw.c', 74)",2326,2326,64,64,0,0
"('SDL_audiocvt.c', 172)",3388,3387,172,167,0,0
"('SDL_cocoakeyboard.m', 305)",803,803,16,16,0,0
"('SDL_blendline.c', 70)",19455,19439,1589,1573,0,0
"('SDL_haptic.c', 31)",810,810,46,46,0,0
"('SDL_sysmutex.c', 157)",78,78,7,7,0,0
"('SDL_audiotypecvt.c', 174)",1436,1436,117,117,0,0
"('SDL_events.c', 182)",2545,2540,58,53,0,0
"('SDL_hidapi_ps5.c', 126)",1874,1874,32,31,0,0
"('SDL_getenv.c', 242)",25,25,2,2,0,0
"('SDL_cocoamessagebox.m', 306)",383,383,3,3,0,0
"('SDL_hidapi_xbox360.c', 131)",472,470,10,8,0,0
"('SDL_sensor.c', 80)",589,589,33,33,0,0
"('SDL_cocoawindow.m', 154)",5287,5280,90,83,0,0
"('SDL_vulkan_utils.c', 270)",632,632,26,25,0,0
"('SDL_hidapi_gamecube.c', 284)",1687,1687,19,19,0,0
"('SDL_hidapi.c', 32)",2119,2110,92,85,0,0
"('SDL_video.c', 108)",8295,8285,247,235,0,0
"('SDL_yuv_sw.c', 58)",1114,1114,49,48,0,0
