Analizing File:  alias.c
        5.44 real         0.90 user         0.02 sys
        6.91 real         1.31 user         0.02 sys
        6.59 real         1.06 user         0.02 sys
        7.53 real         1.00 user         0.03 sys
        5.43 real         0.90 user         0.02 sys
        6.23 real         1.06 user         0.03 sys
        5.77 real         0.94 user         0.02 sys
        5.43 real         0.88 user         0.02 sys
        5.39 real         0.90 user         0.02 sys
        5.49 real         0.91 user         0.02 sys
Analizing File:  alloc-pool.c
        0.45 real         0.06 user         0.01 sys
        0.44 real         0.05 user         0.01 sys
        0.44 real         0.05 user         0.00 sys
        0.62 real         0.07 user         0.01 sys
        0.57 real         0.08 user         0.01 sys
        0.64 real         0.08 user         0.01 sys
        0.64 real         0.07 user         0.01 sys
        0.50 real         0.06 user         0.00 sys
        0.45 real         0.06 user         0.01 sys
        0.44 real         0.06 user         0.01 sys
Analizing File:  alloca.c
        0.32 real         0.05 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
        0.38 real         0.05 user         0.01 sys
        0.26 real         0.04 user         0.01 sys
        0.26 real         0.04 user         0.01 sys
        0.25 real         0.04 user         0.01 sys
        0.25 real         0.04 user         0.01 sys
        0.25 real         0.04 user         0.01 sys
        0.34 real         0.05 user         0.01 sys
        0.32 real         0.05 user         0.01 sys
Analizing File:  argv.c
        0.53 real         0.13 user         0.01 sys
        0.53 real         0.12 user         0.01 sys
        0.44 real         0.12 user         0.01 sys
        0.46 real         0.13 user         0.01 sys
        0.43 real         0.12 user         0.01 sys
        0.54 real         0.13 user         0.01 sys
        0.41 real         0.11 user         0.01 sys
        0.41 real         0.11 user         0.01 sys
        0.39 real         0.10 user         0.01 sys
        0.41 real         0.10 user         0.01 sys
Analizing File:  attribs.c
        2.15 real         0.23 user         0.01 sys
        2.63 real         0.25 user         0.01 sys
        2.02 real         0.24 user         0.01 sys
        2.03 real         0.24 user         0.01 sys
        2.14 real         0.25 user         0.01 sys
        1.98 real         0.22 user         0.01 sys
        2.27 real         0.24 user         0.01 sys
        1.96 real         0.22 user         0.01 sys
        2.05 real         0.26 user         0.01 sys
        2.09 real         0.23 user         0.01 sys
Analizing File:  auto-inc-dec.c
        2.46 real         0.04 user         0.01 sys
