FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
tree-ssa-phiopt.c,4179,4121,118,87,0,0
cfgloopanal.c,1483,1443,78,57,0,0
regcprop.c,3162,3046,189,129,0,0
tree-ssa-live.c,4299,4207,190,139,0,0
tree-phinodes.c,1103,1103,11,11,0,0
fopen_unlocked.c,31,31,0,0,0,0
tree-iterator.c,489,489,17,17,0,0
tree-scalar-evolution.c,5934,5852,280,230,0,0
df-scan.c,12087,11927,419,331,0,0
real.c,8708,8466,573,443,0,0
lambda-mat.c,1469,1423,95,72,0,0
physmem.c,23,22,3,2,0,0
tree-ssa-copyrename.c,856,848,34,29,0,0
crc32.c,30,30,3,3,0,0
tree-vect-data-refs.c,7393,7153,480,349,0,0
tree-loop-distribution.c,4654,4574,199,157,0,0
dyn-string.c,485,477,26,22,0,0
bid2dpd_dpd2bid.c,1593,1557,46,28,0,0
ddg.c,2960,2903,124,91,0,0
cfgbuild.c,2248,2189,96,64,0,0
cfgrtl.c,10009,9845,387,299,0,0
ira-lives.c,4331,4095,296,174,0,0
tree-ssa-loop-niter.c,8150,7989,362,282,0,0
passes.c,3501,3466,84,64,0,0
tree-eh.c,9123,8919,431,316,0,0
sreal.c,406,402,12,10,0,0
lcm.c,2181,2181,55,55,0,0
dojump.c,2791,2712,131,89,0,0
ipa-type-escape.c,4499,4422,256,208,0,0
tree-ssa-reassoc.c,7289,7205,202,155,0,0
reginfo.c,3140,3026,160,103,0,0
tree-ssa-ccp.c,8851,8525,610,408,0,0
splay-tree.c,760,746,45,37,0,0
opts.c,3622,3506,258,193,0,0
sha1.c,3164,3152,28,21,0,0
argv.c,737,695,107,83,0,0
c-dump.c,65,65,0,0,0,0
timevar.c,635,630,13,10,0,0
lto-symtab.c,2093,2033,97,62,0,0
varpool.c,996,992,30,25,0,0
lto-streamer.c,1722,1720,27,26,0,0
alloc-pool.c,239,233,5,2,0,0
reload1.c,24116,23136,1452,940,0,0
sel-sched-ir.c,17999,17882,353,284,0,0
regmove.c,3746,3572,249,154,0,0
gimplify.c,20007,19513,901,623,0,0
cplus-dem.c,8526,8318,535,401,0,0
tree-ssa-operands.c,3472,3438,115,97,0,0
spec_qsort.c,729,663,79,46,0,0
c-lang.c,1,1,0,0,0,0
ipa-cp.c,3233,3125,191,129,0,0
lists.c,254,254,5,5,0,0
function.c,12961,12721,482,354,0,0
tree-ssa-dse.c,1521,1507,63,55,0,0
dwarf2out.c,42759,41757,1839,1283,0,0
