FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
tree-ssa-phiopt.c,4085,4085,61,61,0,0
cfgloopanal.c,1439,1439,51,51,0,0
regcprop.c,3009,3008,105,104,0,0
tree-ssa-live.c,4160,4158,109,107,0,0
tree-phinodes.c,1103,1103,11,11,0,0
fopen_unlocked.c,31,31,0,0,0,0
tree-iterator.c,477,477,11,11,0,0
tree-scalar-evolution.c,5763,5761,149,146,0,0
df-scan.c,11791,11791,251,250,0,0
real.c,8291,8286,338,332,0,0
lambda-mat.c,1411,1411,64,64,0,0
physmem.c,23,22,3,2,0,0
tree-ssa-copyrename.c,842,842,25,25,0,0
crc32.c,30,30,3,3,0,0
tree-vect-data-refs.c,6977,6967,228,220,0,0
tree-loop-distribution.c,4538,4538,125,125,0,0
dyn-string.c,477,477,16,16,0,0
bid2dpd_dpd2bid.c,1549,1549,24,24,0,0
ddg.c,2890,2889,78,77,0,0
cfgbuild.c,2146,2146,42,42,0,0
cfgrtl.c,9773,9773,254,252,0,0
ira-lives.c,4036,4006,133,118,0,0
tree-ssa-loop-niter.c,7860,7860,184,184,0,0
passes.c,3458,3453,60,56,0,0
tree-eh.c,8779,8775,216,211,0,0
sreal.c,402,402,8,8,0,0
lcm.c,2173,2173,51,51,0,0
dojump.c,2670,2670,66,66,0,0
ipa-type-escape.c,4357,4352,153,147,0,0
tree-ssa-reassoc.c,7157,7157,108,108,0,0
reginfo.c,2992,2992,82,82,0,0
tree-ssa-ccp.c,8376,8337,311,273,0,0
splay-tree.c,730,730,24,24,0,0
opts.c,3453,3452,160,157,0,0
sha1.c,3154,3151,22,20,0,0
argv.c,662,660,66,64,0,0
c-dump.c,65,65,0,0,0,0
timevar.c,625,625,7,7,0,0
lto-symtab.c,2020,2020,52,52,0,0
varpool.c,988,988,19,18,0,0
lto-streamer.c,1714,1714,23,23,0,0
alloc-pool.c,233,233,2,2,0,0
reload1.c,22719,22699,699,683,0,0
sel-sched-ir.c,17844,17841,228,225,0,0
regmove.c,3528,3523,126,122,0,0
gimplify.c,19251,19223,457,430,0,0
cplus-dem.c,8165,8164,293,289,0,0
tree-ssa-operands.c,3412,3412,77,77,0,0
spec_qsort.c,653,649,41,39,0,0
c-lang.c,1,1,0,0,0,0
ipa-cp.c,3085,3079,102,96,0,0
lists.c,254,254,5,5,0,0
function.c,12594,12591,278,275,0,0
tree-ssa-dse.c,1502,1500,47,46,0,0
dwarf2out.c,41247,41220,984,958,0,0
graph.c,968,968,16,16,0,0
sched-rgn.c,10977,10958,247,230,0,0
tree-cfg.c,17525,17511,426,418,0,0
c-pch.c,632,632,15,14,0,0
objalloc.c,308,308,20,20,0,0
ebitmap.c,2254,2254,81,81,0,0
c-objc-common.c,306,306,5,5,0,0
alias.c,7420,7415,173,164,0,0
cfgcleanup.c,7431,7428,237,229,0,0
vec.c,476,476,14,14,0,0
c-lex.c,2275,2268,100,94,0,0
i386-c.c,438,438,6,6,0,0
genrtl.c,1241,1241,0,0,0,0
tree-dfa.c,3155,3153,67,65,0,0
insn-preds.c,4104,4094,84,75,0,0
ira-emit.c,3982,3982,85,85,0,0
getopt.c,1123,1123,52,52,0,0
loop-unswitch.c,1811,1811,23,23,0,0
cfghooks.c,2823,2823,38,38,0,0
recog.c,8871,8853,312,295,0,0
make-relative-prefix.c,554,554,37,37,0,0
auto-inc-dec.c,2,2,0,0,0,0
c-opts.c,1969,1969,20,20,0,0
graphite.c,2,2,0,0,0,0
ipa.c,2228,2228,61,60,0,0
loop-iv.c,6543,6539,161,158,0,0
tree-data-ref.c,13629,13619,293,286,0,0
var-tracking.c,21371,21357,739,721,0,0
fdmatch.c,36,36,1,1,0,0
c-pretty-print.c,3924,3920,27,25,0,0
getruntime.c,27,27,0,0,0,0
domwalk.c,373,373,8,8,0,0
cgraph.c,4568,4568,100,100,0,0
xstrndup.c,19,19,1,1,0,0
matrix-reorg.c,5556,5546,147,139,0,0
tree-ssa-loop-im.c,6411,6409,135,134,0,0
md5.c,1594,1592,18,16,0,0
pretty-print.c,3649,3647,76,74,0,0
c-aux-info.c,879,879,40,40,0,0
c-gimplify.c,308,308,10,10,0,0
tree-affine.c,3039,3037,49,48,0,0
double-int.c,1368,1368,11,11,0,0
predict.c,6394,6390,176,173,0,0
cfgexpand.c,11043,11031,305,295,0,0
ira.c,7048,7039,206,199,0,0
tree.c,26411,26359,699,670,0,0
ggc-page.c,2240,2240,78,78,0,0
tree-ssanames.c,1039,1037,20,18,0,0
tree-sra.c,11253,11234,417,400,0,0
ipa-inline.c,5050,5046,160,157,0,0
spaces.c,48,48,2,2,0,0
c-common.c,30269,30251,493,474,0,0
tree-ssa-phiprop.c,1862,1861,55,54,0,0
tree-loop-linear.c,1799,1799,32,32,0,0
df-byte-scan.c,423,423,16,16,0,0
mode-switching.c,1438,1438,43,43,0,0
getopt1.c,14,14,0,0,0,0
cpp_traditional.c,2529,2528,149,148,0,0
fwprop.c,3992,3984,95,88,0,0
make-temp-file.c,118,118,3,3,0,0
print-rtl.c,1910,1910,19,19,0,0
tree-nested.c,5283,5283,121,121,0,0
integrate.c,920,917,29,26,0,0
optabs.c,15551,15532,632,605,0,0
fixed-value.c,5278,5278,68,67,0,0
ira-build.c,7782,7764,204,195,0,0
fold-const.c,71219,-1,1145,-1,0,-1
insn-opinit.c,5636,5636,0,0,0,0
debug.c,38,38,0,0,0,0
partition.c,251,251,11,11,0,0
cp-demangle.c,6660,6645,247,236,0,0
tree-call-cdce.c,1688,1688,30,30,0,0
strerror.c,251,251,10,10,0,0
varray.c,120,120,3,3,0,0
tree-ssa-alias.c,4389,4379,148,134,0,0
omega.c,17936,17922,750,742,0,0
host-ieee128.c,28,28,0,0,0,0
obstack.c,557,557,13,13,0,0
tree-predcom.c,7376,7376,182,182,0,0
decNumber.c,14239,14210,743,722,0,0
i386.c,49703,49653,1620,1572,0,0
fibheap.c,623,623,17,17,0,0
cp-demint.c,245,245,9,9,0,0
c-pragma.c,2728,2722,76,74,0,0
floatformat.c,783,783,48,48,0,0
final.c,7242,7242,192,191,0,0
tree-ssa-propagate.c,3293,3293,59,59,0,0
tree-ssa-structalias.c,14522,14521,235,234,0,0
targhooks.c,1058,1058,29,29,0,0
gimple-pretty-print.c,4112,4110,54,53,0,0
lower-subreg.c,3474,3474,77,77,0,0
simplify-rtx.c,21004,20981,437,409,0,0
sched-vis.c,2393,2389,34,32,0,0
calls.c,9007,-1,294,-1,0,-1
bitmap.c,4687,4679,320,316,0,0
tree-ssa-dce.c,4909,4909,100,99,0,0
insn-output.c,5604,5604,119,119,0,0
sched-deps.c,9526,9521,178,172,0,0
explow.c,2445,2445,81,81,0,0
loop-unroll.c,5386,5386,119,119,0,0
tree-profile.c,842,842,6,6,0,0
hashtab.c,1457,1457,73,73,0,0
lambda-code.c,8135,8118,256,240,0,0
cpp_pch.c,1499,1499,40,39,0,0
tree-ssa-sccvn.c,10284,10274,243,234,0,0
pointer-set.c,432,432,13,13,0,0
sparseset.c,539,507,26,10,0,0
strsignal.c,169,169,7,7,0,0
tree-ssa-dom.c,7177,7175,128,127,0,0
decimal64.c,1540,1540,79,79,0,0
sel-sched-dump.c,3538,3538,48,48,0,0
incpath.c,672,672,24,24,0,0
ipa-reference.c,3203,3203,53,53,0,0
sort.c,136,136,7,7,0,0
tree-vect-patterns.c,1697,1689,39,32,0,0
insn-modes.c,47,47,0,0,0,0
expr.c,26111,26005,810,732,0,0
tree-ssa-pre.c,12669,12638,417,386,0,0
lto-wpa-fixup.c,572,572,8,8,0,0
cpp_macro.c,4716,4712,179,174,0,0
intl.c,21,21,1,1,0,0
combine-stack-adj.c,1298,1296,41,39,0,0
reload.c,20644,20608,663,621,0,0
cppdefault.c,18,18,0,0,0,0
statistics.c,555,555,7,7,0,0
lambda-trans.c,59,59,1,1,0,0
store-motion.c,3442,3442,92,91,0,0
c-ppoutput.c,996,996,17,17,0,0
stack-ptr-mod.c,158,158,3,3,0,0
cfglayout.c,4113,4112,124,122,0,0
loop-invariant.c,5448,5447,122,120,0,0
gtype-desc.c,31613,31613,251,251,0,0
tree-ssa-address.c,2168,2168,60,60,0,0
cpp_line-map.c,693,691,47,44,0,0
getpwd.c,89,89,6,6,0,0
c-decl.c,37459,37455,487,482,0,0
ipa-prop.c,5927,5925,137,135,0,0
ipa-pure-const.c,3124,3124,94,93,0,0
cfgloop.c,5458,5458,147,147,0,0
tree-ssa-threadupdate.c,2734,2734,38,38,0,0
convert.c,3022,3013,84,74,0,0
cse.c,17239,17223,702,681,0,0
c-typeck.c,26794,26735,904,861,0,0
tree-vectorizer.c,864,864,19,19,0,0
decimal32.c,908,908,40,40,0,0
cpp_directives-only.c,543,543,51,51,0,0
