FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
decimal32.c,__dpd32ToString-6,set(['51']),set([])
decimal32.c,__dpd32FromNumber-2,"set(['39', '40'])",set([])
decimal32.c,__dpd32FromNumber-0,"set(['39', '40'])",set([])
decimal32.c,__dpd32FromNumber-4,set(['40']),set([])
decimal32.c,__dpd32FromNumber-5,set(['40']),set([])
decimal32.c,__dpd32ToString-10,set(['37']),set([])
cpp_directives-only.c,_cpp_preprocess_dir_only-5,set(['1']),set([])
cpp_directives-only.c,_cpp_preprocess_dir_only-4,set(['1']),set([])
cpp_directives-only.c,_cpp_preprocess_dir_only-0,"set(['55', '54', '56', '51', '1', '88', '2', '87'])",set([])
cpp_directives-only.c,_cpp_preprocess_dir_only-2,"set(['1', '88', '2', '20'])",set([])
cpp_directives-only.c,_cpp_preprocess_dir_only-9,set(['1']),set([])
cpp_directives-only.c,_cpp_preprocess_dir_only-8,set(['1']),set([])
stor-layout.c,layout_type-3,"set(['164', '152', '85'])",set([])
stor-layout.c,place_field-4,set(['151']),set([])
stor-layout.c,layout_type-1,"set(['164', '152', '106'])",set([])
stor-layout.c,layout_type-0,"set(['164', '152'])",set([])
stor-layout.c,get_best_mode-1,"set(['35', '34'])",set([])
stor-layout.c,get_best_mode-0,"set(['32', '34'])",set([])
stor-layout.c,get_best_mode-3,set(['34']),set([])
stor-layout.c,compute_record_mode-1,set(['40']),set([])
stor-layout.c,copy_self_referential_tree_r-0,"set(['15', '20'])",set([])
stor-layout.c,mode_for_size-2,set(['10']),set([])
stor-layout.c,self_referential_size-7,set(['38']),set([])
stor-layout.c,self_referential_size-5,"set(['11', '38'])",set([])
stor-layout.c,layout_type-2,"set(['164', '152'])",set([])
stor-layout.c,finalize_record_size-0,"set(['24', '25', '26'])",set([])
stor-layout.c,update_alignment_for_field-4,set(['75']),set([])
stor-layout.c,update_alignment_for_field-2,"set(['75', '74', '28'])",set([])
stor-layout.c,update_alignment_for_field-1,"set(['75', '74', '73', '65'])",set([])
stor-layout.c,layout_decl-3,"set(['82', '103'])",set([])
stor-layout.c,layout_decl-1,"set(['82', '103'])",set([])
stor-layout.c,layout_decl-0,"set(['82', '103'])",set([])
stor-layout.c,copy_self_referential_tree_r-1,"set(['20', '23'])",set([])
stor-layout.c,get_best_mode-2,"set(['35', '34'])",set([])
stor-layout.c,copy_self_referential_tree_r-2,set(['20']),set([])
stor-layout.c,place_field-2,"set(['151', '71'])",set([])
stor-layout.c,place_field-3,set(['151']),set([])
stor-layout.c,place_field-0,"set(['115', '114', '151'])",set([])
stor-layout.c,place_field-1,"set(['115', '151'])",set([])
stor-layout.c,finalize_type_size-0,set(['39']),set([])
tree-ssa-uncprop.c,uncprop_into_successor_phis-0,"set(['38', '28', '34', '1', '27', '7'])",set([])
tree-ssa-uncprop.c,associate_equivalences_with_edges-2,set(['1']),set([])
tree-ssa-uncprop.c,associate_equivalences_with_edges-3,"set(['1', '142', '143', '115', '114', '112'])",set([])
tree-ssa-uncprop.c,associate_equivalences_with_edges-1,"set(['1', '142', '143', '140', '141'])",set([])
tree-ssa-uncprop.c,uncprop_into_successor_phis-1,set(['1']),set([])
tree-stdarg.c,check_all_va_list_escapes-3,"set(['1', '3', '45', '53', '49'])",set([])
tree-stdarg.c,check_all_va_list_escapes-0,"set(['1', '3', '45', '49'])",set([])
