FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
insn-automata.c,min_insn_conflict_delay-0,set(['14']),set(['14']),set([]),set([]),subset
insn-automata.c,min_insn_conflict_delay-1,{},{},set([]),set([]),subset
insn-automata.c,min_insn_conflict_delay-2,set(['10']),set(['10']),set([]),set([]),subset
insn-automata.c,min_insn_conflict_delay-3,set(['5']),set(['5']),set([]),set([]),subset
insn-automata.c,internal_min_issue_delay-1,{},{},set([]),set([]),subset
insn-automata.c,internal_min_issue_delay-0,"set(['150', '132', '154', '156', '140', '158', '29', '130', '61', '117', '63', '111', '136', '66', '134', '68', '83', '80', '138', '119', '85', '24', '26', '21', '48', '46', '160', '43', '41', '162', '4', '8', '146', '144', '142', '109', '148', '77', '74', '124', '126', '70', '128', '103', '92', '106', '94', '97', '58', '11', '99', '38', '14', '17', '114', '55', '31', '51', '36', '53', '34', '19', '89', '152'])","set(['150', '132', '154', '156', '140', '158', '29', '130', '61', '117', '63', '111', '136', '66', '134', '68', '83', '80', '138', '119', '85', '24', '26', '21', '48', '46', '160', '43', '41', '162', '4', '8', '146', '144', '142', '109', '148', '77', '74', '124', '126', '70', '128', '103', '92', '106', '94', '97', '58', '11', '99', '38', '14', '17', '114', '55', '31', '51', '36', '53', '34', '19', '89', '152'])",set([]),set([]),subset
insn-automata.c,maximal_insn_latency-2,set(['5']),set(['5']),set([]),set([]),subset
insn-automata.c,maximal_insn_latency-0,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,maximal_insn_latency-1,{},{},set([]),set([]),subset
insn-automata.c,min_issue_delay-2,set(['5']),set(['5']),set([]),set([]),subset
insn-automata.c,min_issue_delay-0,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,min_issue_delay-1,{},{},set([]),set([]),subset
insn-automata.c,internal_maximal_insn_latency-0,set(['31']),set(['31']),set([]),set([]),subset
insn-automata.c,dfa_insn_code_enlarge-0,set(['1']),set(['1']),set([]),set([]),subset
insn-automata.c,dfa_insn_code-0,set(['4']),set(['4']),set([]),set([]),subset
insn-automata.c,internal_insn_latency-0,set(['2049']),set(['2049']),set([]),set([]),subset
insn-automata.c,insn_latency-0,set(['11']),set(['11']),set([]),set([]),subset
insn-automata.c,insn_latency-1,{},{},set([]),set([]),subset
insn-automata.c,insn_latency-2,set(['10']),set(['10']),set([]),set([]),subset
insn-automata.c,insn_latency-3,set(['5']),set(['5']),set([]),set([]),subset
insn-automata.c,dfa_clean_insn_cache-0,set(['1']),set(['1']),set([]),set([]),subset
insn-automata.c,state_transition-2,set(['5']),set(['5']),set([]),set([]),subset
insn-automata.c,state_transition-0,set(['6']),set(['6']),set([]),set([]),subset
insn-automata.c,state_transition-1,{},{},set([]),set([]),subset
insn-automata.c,internal_state_transition-1,{},{},set([]),set([]),subset
insn-automata.c,internal_state_transition-0,"set(['198', '210', '159', '112', '271', '65', '179', '134', '252', '232', '24', '40', '171', '282', '187', '145', '263', '244', '126', '90', '101', '221', '12', '76', '32', '354', '352', '54'])","set(['198', '210', '159', '112', '271', '65', '179', '134', '252', '232', '24', '40', '171', '282', '187', '145', '263', '244', '126', '90', '101', '221', '12', '76', '32', '354', '352', '54'])",set([]),set([]),subset
insn-automata.c,internal_state_transition-2,{},{},set([]),set([]),subset
insn-automata.c,print_reservation-0,"set(['5', '4'])","set(['5', '4'])",set([]),set([]),subset
decimal32.c,__dpd32ToString-4,set(['11']),set(['11']),set([]),set([]),subset
decimal32.c,__dpd32ToString-6,{},{},set([]),set([]),subset
decimal32.c,__dpd32FromNumber-2,set(['35']),set(['35']),set([]),set([]),subset
decimal32.c,__dpd32FromNumber-3,"set(['24', '39', '27', '23', '40', '4'])","set(['24', '39', '27', '23', '40', '4'])",set([]),set([]),subset
decimal32.c,__dpd32FromNumber-0,set(['27']),set(['27']),set([]),set([]),subset
decimal32.c,__dpd32FromNumber-1,set(['4']),set(['4']),set([]),set([]),subset
decimal32.c,__dpd32ToString-5,"set(['47', '30'])","set(['47', '30'])",set([]),set([]),subset
decimal32.c,__dpd32FromNumber-4,"set(['24', '39', '27', '23'])","set(['24', '39', '27', '23'])",set([]),set([]),subset
decimal32.c,__dpd32FromNumber-5,"set(['39', '38'])","set(['39', '38'])",set([]),set([]),subset
decimal32.c,__dpd32ToString-7,"set(['11', '25', '13', '22', '17', '23', '18', '37', '41', '2', '7', '47'])","set(['11', '25', '13', '22', '17', '23', '18', '37', '41', '2', '7', '47'])",set([]),set([]),subset
decimal32.c,__dpd32ToNumber-2,set(['11']),set(['11']),set([]),set([]),subset
decimal32.c,__dpd32ToNumber-1,{},{},set([]),set([]),subset
decimal32.c,__dpd32ToNumber-0,set(['19']),set(['19']),set([]),set([]),subset
decimal32.c,__dpd32ToString-3,set(['11']),set(['11']),set([]),set([]),subset
decimal32.c,__dpd32ToString-2,"set(['30', '40'])","set(['30', '40'])",set([]),set([]),subset
decimal32.c,__dpd32ToString-1,{},{},set([]),set([]),subset
decimal32.c,__dpd32ToString-0,set(['51']),set(['51']),set([]),set([]),subset
decimal32.c,__dpd32ToString-10,"set(['33', '43'])","set(['33', '43'])",set([]),set([]),subset
decimal32.c,__dpd32ToString-9,"set(['33', '43'])","set(['33', '43'])",set([]),set([]),subset
decimal32.c,__dpd32ToString-8,{},{},set([]),set([]),subset
tree-optimize.c,gimple_op-0,set(['3']),set(['3']),set([]),set([]),subset
tree-optimize.c,ei_cond-0,set(['3']),set(['3']),set([]),set([]),subset
tree-optimize.c,execute_fixup_cfg-2,set(['3']),set(['3']),set([]),set([]),subset
tree-optimize.c,execute_fixup_cfg-1,"set(['19', '15', '4', '14', '6'])","set(['19', '15', '4', '14', '6'])",set([]),set([]),subset
tree-optimize.c,execute_fixup_cfg-0,set(['4']),set(['4']),set([]),set([]),subset
tree-optimize.c,gimple_call_fndecl-1,{},{},set([]),set([]),subset
tree-optimize.c,gimple_call_fndecl-0,set(['3']),set(['3']),set([]),set([]),subset
cpp_directives-only.c,_cpp_preprocess_dir_only-10,"set(['20', '18', '98', '88', '2', '87'])","set(['20', '18', '98', '88', '2', '87'])",set([]),set([]),subset
cpp_directives-only.c,_cpp_preprocess_dir_only-5,"set(['88', '2', '87'])","set(['88', '2', '87'])",set([]),set([]),subset
cpp_directives-only.c,_cpp_preprocess_dir_only-4,"set(['55', '54', '56', '51', '88', '2', '87'])","set(['55', '54', '56', '51', '88', '2', '87'])",set([]),set([]),subset
cpp_directives-only.c,_cpp_preprocess_dir_only-7,"set(['20', '18', '56', '88', '2', '73', '87'])","set(['20', '18', '56', '88', '2', '73', '87'])",set([]),set([]),subset
cpp_directives-only.c,_cpp_preprocess_dir_only-6,"set(['18', '88', '2', '20', '87'])","set(['18', '88', '2', '20', '87'])",set([]),set([]),subset
cpp_directives-only.c,_cpp_preprocess_dir_only-1,set(['18']),set(['18']),set([]),set([]),subset
