FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
stor-layout.c,get_best_mode-0,set(['32']),set([])
stor-layout.c,copy_self_referential_tree_r-0,set(['15']),set([])
tree-stdarg.c,check_all_va_list_escapes-0,"set(['1', '3', '45', '49'])",set([])
tree-stdarg.c,va_list_counter_bump-0,set(['16']),set([])
ipa-inline.c,cgraph_decide_inlining_of_small_functions-1,"set(['24', '5'])",set([])
ipa-inline.c,likely_eliminated_by_inlining_p-0,set(['44']),set([])
tree-vect-stmts.c,vectorizable_store-0,"set(['86', '168'])",set([])
tree-vect-stmts.c,vect_is_simple_cond-0,"set(['13', '6'])",set([])
tree-vect-stmts.c,vectorizable_condition-0,"set(['42', '35'])",set([])
tree-vect-stmts.c,vect_mark_stmts_to_be_vectorized-0,set(['23']),set([])
profile.c,instrument_values-2,set(['1']),set([])
c-common.c,resort_field_decl_cmp-0,set(['9']),set([])
c-common.c,handle_nonnull_attribute-0,set(['5']),set([])
c-common.c,convert_and_check-0,set(['4']),set([])
c-common.c,handle_alias_attribute-0,set(['23']),set([])
c-common.c,nonnull_check_p-0,"set(['1', '8'])",set([])
c-common.c,handle_alloc_size_attribute-0,"set(['1', '8'])",set([])
c-common.c,handle_mode_attribute-4,set(['49']),set([])
c-common.c,handle_mode_attribute-0,"set(['77', '49'])",set([])
c-common.c,self_promoting_args_p-0,set(['1']),set([])
c-common.c,c_common_type_for_mode-0,set(['149']),set([])
c-common.c,c_common_get_alias_set-0,"set(['25', '34', '32'])",set([])
c-common.c,sync_resolve_params-0,"set(['4', '17'])",set([])
c-common.c,strict_aliasing_warning-0,set(['34']),set([])
tree-ssa-live.c,next_htab_element-0,"set(['1', '6'])",set([])
tree-ssa-phiprop.c,propagate_with_phi-0,set(['5']),set([])
matrix-reorg.c,can_calculate_stmt_before_stmt-0,"set(['14', '22'])",set([])
matrix-reorg.c,analyze_accesses_for_assign_stmt-0,set(['48']),set([])
matrix-reorg.c,matrix_reorg-0,"set(['10', '26'])",set([])
matrix-reorg.c,may_flatten_matrices_1-0,"set(['20', '4', '22'])",set([])
sbitmap.c,sbitmap_last_set_bit-0,"set(['1', '9'])",set([])
modulo-sched.c,ps_has_conflicts-0,"set(['1', '29', '6'])",set([])
modulo-sched.c,loop_single_full_bb_p-0,"set(['1', '20'])",set([])
tree-complex.c,expand_complex_move-5,set(['8']),set([])
tree-complex.c,expand_complex_move-6,set(['8']),set([])
tree-complex.c,find_lattice_value-3,set(['7']),set([])
tree-complex.c,find_lattice_value-2,set(['7']),set([])
tree-complex.c,expand_complex_libcall-1,set(['11']),set([])
tree-complex.c,expand_complex_multiplication-8,set(['2']),set([])
tree-complex.c,expand_complex_multiplication-9,set(['2']),set([])
tree-scalar-evolution.c,instantiate_scev_convert-0,set(['6']),set([])
tree-scalar-evolution.c,instantiate_scev_poly-0,set(['12']),set([])
tree-scalar-evolution.c,interpret_loop_phi-0,set(['16']),set([])
df-scan.c,df_insn_rescan-0,set(['29']),set([])
tree-ssa-threadedge.c,record_temporary_equivalences_from_stmts_at_dest-0,set(['1']),set([])
tree-ssa-threadedge.c,record_temporary_equivalences_from_phis-0,"set(['1', '10'])",set([])
tree-ssa-threadedge.c,simplify_control_stmt_condition-6,set(['53']),set([])
sched-deps.c,add_or_update_dep_1-0,set(['30']),set([])
sched-deps.c,sd_iterator_cond-0,set(['6']),set([])
sched-deps.c,sd_lists_empty_p-0,"set(['1', '5'])",set([])
sched-deps.c,call_may_noreturn_p-0,set(['31']),set([])
sched-deps.c,sd_find_dep_between-0,set(['16']),set([])
cpp_mkdeps.c,deps_save-0,set(['3']),set([])
c-format.c,decode_format_type-0,set(['1']),set([])
c-format.c,handle_format_attribute-0,set(['14']),set([])
c-format.c,decode_format_attr-0,set(['11']),set([])
integrate.c,function_attribute_inlinable_p-0,"set(['10', '2', '14'])",set([])
tree-into-ssa.c,next_htab_element-0,"set(['1', '6'])",set([])
stmt.c,parse_input_constraint-0,"set(['1', '31', '21', '23'])",set([])
stmt.c,decl_overlaps_hard_reg_set_p-0,set(['16']),set([])
stmt.c,check_operand_nalternatives-0,"set(['8', '15'])",set([])
gcse.c,load_killed_in_block_p-0,set(['3']),set([])
gcse.c,cprop_insn-0,"set(['8', '34'])",set([])
gcse.c,constprop_register-0,set(['20']),set([])
gcse.c,pre_expr_reaches_here_p_work-0,set(['1']),set([])
gcse.c,implicit_set_cond_p-0,set(['25']),set([])
tree-vect-data-refs.c,vector_alignment_reachable_p-0,set(['11']),set([])
tree-vect-data-refs.c,vect_verify_datarefs_alignment-0,"set(['4', '22'])",set([])
tree-vect-data-refs.c,vect_analyze_data_ref_dependence-0,"set(['40', '67'])",set([])
tree-vect-data-refs.c,vect_analyze_data_refs-0,set(['14']),set([])
tree-vect-data-refs.c,vect_enhance_data_refs_alignment-0,set(['72']),set([])
tree-vect-data-refs.c,vect_supportable_dr_alignment-0,set(['35']),set([])
real.c,cmp_significands-0,set(['1']),set([])
real.c,do_multiply-0,"set(['19', '32', '12', '36'])",set([])
real.c,real_nan-0,set(['36']),set([])
cpp_traditional.c,_cpp_scan_out_logical_line-0,set(['151']),set([])
physmem.c,physmem_total-0,set(['4']),set([])
df-core.c,df_find_def-0,"set(['13', '6'])",set([])
df-core.c,df_bb_regno_first_def_find-0,"set(['1', '10', '14', '18'])",set([])
df-core.c,df_find_use-0,"set(['13', '6'])",set([])
df-core.c,df_bb_regno_last_def_find-0,"set(['1', '10', '14', '18'])",set([])
jump.c,rtx_renumbered_equal_p-0,set(['73']),set([])
jump.c,true_regnum-0,"set(['11', '13', '14'])",set([])
jump.c,reversed_comparison_code_parts-0,"set(['19', '37', '40'])",set([])
ddg.c,sd_iterator_cond-0,set(['6']),set([])
optabs.c,expand_abs_nojump-0,"set(['38', '36'])",set([])
optabs.c,expand_twoval_unop-0,"set(['25', '23'])",set([])
optabs.c,widen_clz-0,set(['21']),set([])
optabs.c,expand_sync_operation-0,set(['30']),set([])
optabs.c,expand_twoval_binop-0,"set(['36', '34'])",set([])
optabs.c,can_compare_p-0,set(['1']),set([])
optabs.c,expand_parity-0,set(['21']),set([])
optabs.c,expand_binop-0,"set(['26', '28'])",set([])
