FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
"('null_monitor.c', 12)",291,290,2,1,0,0
"('null_window.c', 13)",773,773,3,3,0,0
"('cocoa_window.m', 21)",4533,4522,73,57,0,0
"('getopt.c', 57)",283,283,27,27,0,0
"('getopt.c', 46)",283,283,27,27,0,0
"('cocoa_init.m', 18)",802,799,31,27,0,0
"('msaa.c', 56)",3260,3240,58,37,0,0
"('tinycthread.c', 29)",229,228,14,13,0,0
"('glfwinfo.c', 54)",5210,5182,210,180,0,0
"('posix_thread.c', 17)",157,157,2,2,0,0
"('getopt.c', 50)",283,283,27,27,0,0
"('particles.c', 28)",4214,4190,75,50,0,0
"('title.c', 39)",2855,2839,47,30,0,0
"('timeout.c', 40)",2901,2885,47,30,0,0
"('cocoa_time.c', 15)",21,21,0,0,0,0
"('window.c', 8)",2039,2036,70,67,0,0
"('wave.c', 23)",3479,3452,87,59,0,0
"('boing.c', 35)",3906,3884,75,52,0,0
"('triangle-opengl.c', 26)",3200,3180,58,37,0,0
"('context.c', 2)",1232,1214,80,63,0,0
"('joysticks.c', 47)",74305,73567,3003,2256,0,0
"('monitors.c', 60)",3199,3181,55,36,0,0
"('posix_module.c', 16)",7,7,0,0,0,0
"('offscreen.c', 33)",5957,5870,236,148,0,0
"('tearing.c', 44)",3250,3230,62,41,0,0
"('reopen.c', 59)",3250,3227,65,41,0,0
"('empty.c', 52)",2940,2924,47,30,0,0
"('triangle-vulkan.c', 36)",5534,5518,121,106,0,0
"('input.c', 4)",2907,2878,160,130,0,0
"('getopt.c', 55)",283,283,27,27,0,0
"('iconify.c', 45)",3124,3106,62,43,0,0
"('sharing.c', 27)",3185,3167,52,33,0,0
"('nsgl_context.m', 22)",895,890,31,25,0,0
"('monitor.c', 5)",1024,1014,58,48,0,0
"('gears.c', 34)",3638,3621,59,41,0,0
"('vulkan.c', 7)",377,375,16,14,0,0
"('null_init.c', 11)",18,18,0,0,0,0
"('gamma.c', 43)",73928,73200,2974,2237,0,0
"('init.c', 3)",532,532,20,18,0,0
"('triangle-opengles.c', 25)",1041,1027,46,32,0,0
"('allocator.c', 63)",3043,3027,47,30,0,0
"('getopt.c', 63)",283,283,27,27,0,0
"('getopt.c', 30)",283,283,27,27,0,0
"('clipboard.c', 37)",2899,2883,47,30,0,0
"('cocoa_monitor.m', 20)",1098,1072,83,57,0,0
"('window.c', 48)",74422,73689,3007,2265,0,0
"('cocoa_joystick.m', 19)",750,730,49,29,0,0
"('windows.c', 24)",2973,2956,51,33,0,0
"('icon.c', 51)",2934,2917,52,34,0,0
"('egl_context.c', 9)",1359,1344,71,53,0,0
"('tinycthread.c', 53)",229,228,14,13,0,0
"('platform.c', 6)",90,88,9,7,0,0
"('null_joystick.c', 14)",5,5,0,0,0,0
"('getopt.c', 61)",283,283,27,27,0,0
"('getopt.c', 38)",283,283,27,27,0,0
"('osmesa_context.c', 10)",727,721,27,19,0,0
"('heightmap.c', 31)",3347,3329,81,62,0,0
"('splitview.c', 32)",3966,3944,69,46,0,0
"('threads.c', 41)",3017,3001,53,36,0,0
"('inputlag.c', 49)",74048,73319,2987,2249,0,0
"('tinycthread.c', 42)",229,228,14,13,0,0
"('cursor.c', 58)",3606,3587,67,47,0,0
"('events.c', 62)",3692,3676,67,49,0,0
FinalResults,412911,409252,15010,11275,0,0
