FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
"('null_monitor.c', 12)",290,290,1,1,0,0
"('null_window.c', 13)",773,773,3,3,0,0
"('cocoa_window.m', 21)",4520,4518,47,42,0,0
"('getopt.c', 57)",275,275,17,17,0,0
"('getopt.c', 46)",275,275,17,17,0,0
"('cocoa_init.m', 18)",798,798,21,21,0,0
"('msaa.c', 56)",3237,3234,30,27,0,0
"('tinycthread.c', 29)",227,227,8,8,0,0
"('glfwinfo.c', 54)",5163,5160,153,150,0,0
"('posix_thread.c', 17)",157,157,2,2,0,0
"('getopt.c', 50)",275,275,17,17,0,0
"('particles.c', 28)",4184,4181,40,37,0,0
"('title.c', 39)",2836,2833,23,20,0,0
"('timeout.c', 40)",2882,2879,23,20,0,0
"('cocoa_time.c', 15)",21,21,0,0,0,0
"('window.c', 8)",2026,2026,42,42,0,0
"('wave.c', 23)",3439,3436,42,39,0,0
"('boing.c', 35)",3879,3876,41,38,0,0
"('triangle-opengl.c', 26)",3177,3174,30,27,0,0
"('context.c', 2)",1214,1209,60,56,0,0
"('joysticks.c', 47)",73107,73077,1610,1577,0,0
"('monitors.c', 60)",3177,3174,28,25,0,0
"('posix_module.c', 16)",7,7,0,0,0,0
"('offscreen.c', 33)",5853,5850,119,116,0,0
"('tearing.c', 44)",3227,3224,34,31,0,0
"('reopen.c', 59)",3224,3221,34,31,0,0
"('empty.c', 52)",2921,2918,23,20,0,0
"('triangle-vulkan.c', 36)",5487,5484,69,67,0,0
"('input.c', 4)",2854,2850,80,76,0,0
"('getopt.c', 55)",275,275,17,17,0,0
"('iconify.c', 45)",3102,3099,35,32,0,0
"('sharing.c', 27)",3164,3161,26,23,0,0
"('nsgl_context.m', 22)",889,889,21,21,0,0
"('monitor.c', 5)",1009,1009,35,35,0,0
"('gears.c', 34)",3613,3610,29,26,0,0
"('vulkan.c', 7)",374,374,10,10,0,0
"('null_init.c', 11)",18,18,0,0,0,0
"('gamma.c', 43)",72743,72713,1594,1561,0,0
"('init.c', 3)",532,532,16,16,0,0
"('triangle-opengles.c', 25)",1026,1023,27,24,0,0
"('allocator.c', 63)",3024,3021,23,20,0,0
"('getopt.c', 63)",275,275,17,17,0,0
"('getopt.c', 30)",275,275,17,17,0,0
"('clipboard.c', 37)",2880,2877,23,20,0,0
"('cocoa_monitor.m', 20)",1062,1059,42,39,0,0
"('window.c', 48)",73231,73201,1621,1588,0,0
"('cocoa_joystick.m', 19)",729,729,25,25,0,0
"('windows.c', 24)",2953,2950,26,23,0,0
"('icon.c', 51)",2914,2911,27,24,0,0
"('egl_context.c', 9)",1340,1340,46,44,0,0
"('tinycthread.c', 53)",227,227,8,8,0,0
"('platform.c', 6)",88,88,5,5,0,0
"('null_joystick.c', 14)",5,5,0,0,0,0
"('getopt.c', 61)",275,275,17,17,0,0
"('getopt.c', 38)",275,275,17,17,0,0
"('osmesa_context.c', 10)",718,718,13,12,0,0
"('heightmap.c', 31)",3324,3321,53,50,0,0
"('splitview.c', 32)",3941,3938,39,36,0,0
"('threads.c', 41)",2997,2994,28,25,0,0
"('inputlag.c', 49)",72862,72832,1606,1573,0,0
"('tinycthread.c', 42)",227,227,8,8,0,0
"('cursor.c', 58)",3584,3581,40,37,0,0
"('events.c', 62)",3672,3669,41,38,0,0
FinalResults,407128,406913,8166,7935,0,0
