FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
offscreen.c,glad_gl_free_extensions-1,set(['6']),set([])
offscreen.c,stbi_write_png_to_mem-8,set(['64']),set([])
offscreen.c,stbiw__write_pixels-3,"set(['14', '6'])",set([])
offscreen.c,stbi_write_png_to_mem-3,"set(['64', '7'])",set([])
offscreen.c,glad_gl_get_extensions-2,"set(['20', '21'])",set([])
offscreen.c,glad_gl_find_core_gl-3,"set(['10', '3'])",set([])
offscreen.c,glad_gl_get_extensions-0,set(['20']),set([])
offscreen.c,stbi_zlib_compress-10,set(['15']),set([])
offscreen.c,stbi_zlib_compress-11,set(['15']),set([])
offscreen.c,stbiw__write_pixels-1,set(['14']),set([])
offscreen.c,glad_gl_find_core_gl-1,set(['47']),set([])
offscreen.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
offscreen.c,glad_gl_get_extensions-1,"set(['20', '21'])",set([])
offscreen.c,stbi_write_tga_core-1,"set(['11', '13', '37', '36', '50'])",set([])
offscreen.c,stbi_write_hdr_core-1,set(['9']),set([])
offscreen.c,stbiw__write_pixel-0,set(['16']),set([])
offscreen.c,glad_gl_has_extension-2,set(['16']),set([])
offscreen.c,glad_gl_has_extension-1,set(['27']),set([])
offscreen.c,stbi_write_png_to_mem-9,"set(['9', '64', '51', '14', '7'])",set([])
offscreen.c,glad_gl_get_extensions-3,"set(['20', '21'])",set([])
offscreen.c,stbiw__write_pixels-2,set(['14']),set([])
offscreen.c,stbi_write_png_to_mem-6,"set(['64', '7'])",set([])
offscreen.c,stbiw__write_hdr_scanline-3,set(['50']),set([])
offscreen.c,stbiw__write_hdr_scanline-2,"set(['18', '20', '50'])",set([])
offscreen.c,stbiw__write_hdr_scanline-1,"set(['18', '30', '20', '50'])",set([])
offscreen.c,stbiw__write_hdr_scanline-0,"set(['46', '18', '20', '50', '41'])",set([])
offscreen.c,stbi_write_tga_core-5,set(['50']),set([])
offscreen.c,stbi_write_tga_core-4,"set(['11', '13', '50'])",set([])
offscreen.c,stbi_write_tga_core-6,"set(['11', '50'])",set([])
offscreen.c,stbi_write_tga_core-3,"set(['11', '13', '50'])",set([])
offscreen.c,stbi_write_tga_core-2,"set(['11', '13', '50'])",set([])
offscreen.c,glad_gl_has_extension-3,set(['27']),set([])
offscreen.c,stbi_write_png_to_mem-4,"set(['64', '7'])",set([])
offscreen.c,stbi_zlib_compress-8,set(['15']),set([])
offscreen.c,stbi_zlib_compress-9,set(['15']),set([])
offscreen.c,stbi_write_png_to_mem-5,"set(['9', '51', '14', '7'])",set([])
offscreen.c,stbi_zlib_compress-6,"set(['46', '39', '15', '48', '49'])",set([])
offscreen.c,stbi_zlib_compress-7,set(['15']),set([])
offscreen.c,stbi_zlib_compress-5,set(['15']),set([])
