FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
offscreen.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
wave.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
timeout.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
cursor.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
cocoa_window.m,_glfwGetEGLPlatformCocoa-0,set(['12']),set([])
cocoa_window.m,_glfwCreateWindowSurfaceCocoa-1,"set(['10', '15'])",set([])
cocoa_window.m,_glfwCreateWindowSurfaceCocoa-0,"set(['10', '15'])",set([])
iconify.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
context.c,glfwExtensionSupported-0,"set(['12', '22'])",set([])
context.c,_glfwStringInExtensionString-0,"set(['1', '10'])",set([])
gears.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
glfwinfo.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
msaa.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
splitview.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
heightmap.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
monitors.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
allocator.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
input.c,parseMapping-0,"set(['46', '44', '7', '48'])",set([])
joysticks.c,nk_find_value-0,"set(['1', '9'])",set([])
joysticks.c,nk_font_find_glyph-0,"set(['17', '22', '16'])",set([])
joysticks.c,nk_tt__hheap_alloc-0,set(['9']),set([])
joysticks.c,nk_tt__find_table-0,"set(['1', '8'])",set([])
joysticks.c,nk_window_is_any_hovered-0,"set(['23', '17', '22', '7'])",set([])
joysticks.c,nk_tt_FindGlyphIndex-0,"set(['37', '48'])",set([])
joysticks.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
joysticks.c,nk_find_window-0,"set(['1', '10', '12'])",set([])
joysticks.c,nk_tt_GetGlyphShape-0,"set(['98', '62', '101', '66'])",set([])
joysticks.c,nk_group_scrolled_offset_begin-0,set(['7']),set([])
joysticks.c,nk_decompress-0,set(['5']),set([])
joysticks.c,nk_add_value-0,set(['20']),set([])
joysticks.c,nk_begin_titled-0,set(['46']),set([])
boing.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
triangle-vulkan.c,demo_check_layers-0,"set(['1', '11'])",set([])
events.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
empty.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
title.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
windows.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
egl_context.c,getProcAddressEGL-0,set(['4']),set([])
egl_context.c,_glfwCreateContextEGL-0,set(['148']),set([])
sharing.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
triangle-opengl.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
icon.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
cocoa_monitor.m,getMonitorName-0,set(['5']),set([])
cocoa_monitor.m,getMonitorName-1,"set(['11', '22'])",set([])
particles.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
clipboard.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
triangle-opengles.c,glad_gl_has_extension-0,"set(['25', '21', '17'])",set([])
threads.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
reopen.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
gamma.c,nk_find_value-0,"set(['1', '9'])",set([])
gamma.c,nk_font_find_glyph-0,"set(['17', '22', '16'])",set([])
gamma.c,nk_tt__hheap_alloc-0,set(['9']),set([])
gamma.c,nk_tt__find_table-0,"set(['1', '8'])",set([])
gamma.c,nk_window_is_any_hovered-0,"set(['23', '17', '22', '7'])",set([])
gamma.c,nk_tt_FindGlyphIndex-0,"set(['37', '48'])",set([])
gamma.c,glad_gl_has_extension-0,"set(['24', '20', '16'])",set([])
gamma.c,nk_find_window-0,"set(['1', '10', '12'])",set([])
gamma.c,nk_tt_GetGlyphShape-0,"set(['98', '62', '101', '66'])",set([])
gamma.c,nk_group_scrolled_offset_begin-0,set(['7']),set([])
gamma.c,nk_decompress-0,set(['5']),set([])
gamma.c,nk_add_value-0,set(['20']),set([])
gamma.c,nk_begin_titled-0,set(['46']),set([])
osmesa_context.c,_glfwCreateContextOSMesa-0,set(['52']),set([])
FinalResults,Total,152
