FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
offscreen.c,glad_gl_free_extensions-0,{},{},set([]),set([]),subset
offscreen.c,glad_gl_free_extensions-1,set(['2']),set(['2']),set([]),set([]),subset
offscreen.c,stbi_write_png_to_mem-2,set(['2']),set(['2']),set([]),set([]),subset
offscreen.c,stbi_write_png_to_mem-8,set(['7']),set(['7']),set([]),set([]),subset
offscreen.c,stbiw__write_pixels-3,set(['8']),set(['8']),set([]),set([]),subset
offscreen.c,stbi_write_png_to_mem-3,"set(['9', '47', '51', '14', '48'])","set(['9', '47', '51', '14', '48'])",set([]),set([]),subset
offscreen.c,stbiw__paeth-0,set(['6']),set(['6']),set([]),set([]),subset
offscreen.c,glad_gl_get_extensions-2,set(['9']),set(['9']),set([]),set([]),subset
offscreen.c,glad_gl_find_core_gl-3,set(['7']),set(['7']),set([]),set([]),subset
offscreen.c,glad_gl_get_extensions-0,"set(['18', '21'])","set(['18', '21'])",set([]),set([]),subset
offscreen.c,stbi_write_hdr-0,set(['3']),set(['3']),set([]),set([]),subset
offscreen.c,glad_gl_find_core_gl-2,"set(['10', '3', '7'])","set(['10', '3', '7'])",set([]),set([]),subset
offscreen.c,stbi_zlib_compress-10,{},{},set([]),set([]),subset
offscreen.c,stbi_zlib_compress-11,{},{},set([]),set([]),subset
offscreen.c,stbiw__writefv-0,set(['1']),set(['1']),set([]),set([]),subset
offscreen.c,stbiw__write_pixels-1,set(['5']),set(['5']),set([]),set([]),subset
offscreen.c,glad_gl_find_core_gl-1,set(['3']),set(['3']),set([]),set([]),subset
offscreen.c,glad_gl_has_extension-0,"set(['24', '27', '20', '14', '16'])","set(['24', '27', '20', '14', '16'])",set([]),set([]),subset
offscreen.c,glad_gl_find_core_gl-0,set(['47']),set(['47']),set([]),set([]),subset
offscreen.c,stbi_write_bmp-1,{},{},set([]),set([]),subset
offscreen.c,stbi_write_bmp-0,set(['3']),set(['3']),set([]),set([]),subset
offscreen.c,stbiw__write_pixels-0,set(['14']),set(['14']),set([]),set([]),subset
offscreen.c,glad_gl_get_extensions-1,set(['18']),set(['18']),set([]),set([]),subset
offscreen.c,stbi_write_tga_core-1,set(['17']),set(['17']),set([]),set([]),subset
offscreen.c,stbiw__paeth-1,{},{},set([]),set([]),subset
offscreen.c,stbi_write_hdr-1,{},{},set([]),set([]),subset
offscreen.c,stbi_write_tga_core-0,set(['50']),set(['50']),set([]),set([]),subset
offscreen.c,stbi_write_png-1,{},{},set([]),set([]),subset
offscreen.c,stbi_write_hdr_core-1,set(['5']),set(['5']),set([]),set([]),subset
offscreen.c,stbi_write_png_to_func-0,set(['3']),set(['3']),set([]),set([]),subset
offscreen.c,stbi_write_png_to_func-1,{},{},set([]),set([]),subset
offscreen.c,stbiw__zlib_countm-0,set(['1']),set(['1']),set([]),set([]),subset
offscreen.c,stbi_write_hdr_core-0,set(['9']),set(['9']),set([]),set([]),subset
offscreen.c,stbiw__outfile-0,set(['4']),set(['4']),set([]),set([]),subset
offscreen.c,stbi_write_png-0,set(['5']),set(['5']),set([]),set([]),subset
offscreen.c,gladLoadGLUserPtr-0,set(['7']),set(['7']),set([]),set([]),subset
offscreen.c,gladLoadGLUserPtr-1,{},{},set([]),set([]),subset
offscreen.c,stbiw__write_pixel-0,set(['10']),set(['10']),set([]),set([]),subset
offscreen.c,glad_gl_has_extension-2,"set(['24', '20'])","set(['24', '20'])",set([]),set([]),subset
offscreen.c,glad_gl_has_extension-1,set(['16']),set(['16']),set([]),set([]),subset
offscreen.c,stbi_write_png_to_mem-9,"set(['42', '28', '16'])","set(['42', '28', '16'])",set([]),set([]),subset
offscreen.c,glad_gl_get_extensions-3,set(['12']),set(['12']),set([]),set([]),subset
offscreen.c,stbiw__write_pixels-2,"set(['5', '6'])","set(['5', '6'])",set([]),set([]),subset
offscreen.c,glad_gl_find_extensions_gl-0,set(['3']),set(['3']),set([]),set([]),subset
offscreen.c,glad_gl_find_extensions_gl-1,{},{},set([]),set([]),subset
offscreen.c,stbi_write_png_to_mem-6,set(['9']),set(['9']),set([]),set([]),subset
offscreen.c,stbiw__write_hdr_scanline-4,"set(['11', '20', '46', '30', '41', '3'])","set(['11', '20', '46', '30', '41', '3'])",set([]),set([]),subset
