Analizing File:  tga.c
        1.13 real         0.17 user         0.01 sys
        1.11 real         0.17 user         0.01 sys
        1.19 real         0.18 user         0.01 sys
        1.15 real         0.18 user         0.01 sys
        1.13 real         0.17 user         0.01 sys
        1.12 real         0.18 user         0.01 sys
        1.12 real         0.17 user         0.01 sys
        1.12 real         0.17 user         0.01 sys
        1.14 real         0.18 user         0.01 sys
        1.11 real         0.17 user         0.01 sys
Analizing File:  analyze.c
        0.76 real         0.07 user         0.01 sys
        0.74 real         0.06 user         0.01 sys
        0.74 real         0.06 user         0.01 sys
        0.75 real         0.06 user         0.01 sys
        0.74 real         0.06 user         0.01 sys
        0.75 real         0.06 user         0.01 sys
        0.74 real         0.06 user         0.01 sys
        0.73 real         0.06 user         0.01 sys
        0.78 real         0.07 user         0.01 sys
        0.74 real         0.06 user         0.01 sys
Analizing File:  ImageValidator.c
        0.93 real         0.28 user         0.01 sys
        0.90 real         0.26 user         0.01 sys
        0.92 real         0.27 user         0.01 sys
        0.90 real         0.27 user         0.01 sys
        0.90 real         0.27 user         0.01 sys
        0.92 real         0.27 user         0.01 sys
        0.92 real         0.27 user         0.01 sys
        0.92 real         0.27 user         0.01 sys
        0.91 real         0.26 user         0.01 sys
        0.91 real         0.27 user         0.01 sys
Analizing File:  accelerate.c
        0.82 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.85 real         0.04 user         0.01 sys
        0.91 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
Analizing File:  animate.c
        0.74 real         0.04 user         0.01 sys
        0.87 real         0.03 user         0.01 sys
        0.73 real         0.04 user         0.01 sys
        0.72 real         0.04 user         0.01 sys
        0.72 real         0.04 user         0.01 sys
        0.72 real         0.03 user         0.01 sys
        0.72 real         0.04 user         0.01 sys
        0.74 real         0.04 user         0.01 sys
        0.74 real         0.04 user         0.01 sys
        0.72 real         0.03 user         0.01 sys
Analizing File:  annotate.c
        1.23 real         0.20 user         0.01 sys
        1.25 real         0.19 user         0.01 sys
        1.22 real         0.20 user         0.01 sys
        1.21 real         0.19 user         0.01 sys
        1.22 real         0.19 user         0.01 sys
        1.23 real         0.20 user         0.01 sys
        1.21 real         0.19 user         0.01 sys
        1.21 real         0.19 user         0.01 sys
        1.23 real         0.19 user         0.01 sys
        1.21 real         0.19 user         0.01 sys
Analizing File:  artifact.c
        0.77 real         0.06 user         0.01 sys
        0.75 real         0.06 user         0.01 sys
        0.75 real         0.06 user         0.01 sys
        0.75 real         0.06 user         0.01 sys
        0.77 real         0.07 user         0.01 sys
        0.77 real         0.07 user         0.01 sys
        0.76 real         0.06 user         0.01 sys
        0.76 real         0.06 user         0.01 sys
        0.76 real         0.06 user         0.01 sys
        0.76 real         0.06 user         0.01 sys
Analizing File:  attribute.c
        1.24 real         0.17 user         0.01 sys
        1.21 real         0.16 user         0.01 sys
        1.19 real         0.16 user         0.01 sys
        1.19 real         0.16 user         0.01 sys
        1.20 real         0.16 user         0.01 sys
        1.19 real         0.16 user         0.01 sys
        1.22 real         0.16 user         0.01 sys
        1.20 real         0.16 user         0.01 sys
        1.19 real         0.16 user         0.01 sys
        1.20 real         0.16 user         0.01 sys
Analizing File:  blob.c
        1.81 real         0.41 user         0.01 sys
        1.86 real         0.38 user         0.01 sys
        1.80 real         0.39 user         0.01 sys
        1.78 real         0.38 user         0.01 sys
        1.80 real         0.39 user         0.01 sys
        1.79 real         0.41 user         0.01 sys
        1.88 real         0.40 user         0.01 sys
        1.82 real         0.38 user         0.01 sys
        1.84 real         0.38 user         0.01 sys
        1.80 real         0.38 user         0.01 sys
Analizing File:  cache-view.c
        0.87 real         0.10 user         0.01 sys
        0.86 real         0.10 user         0.01 sys
        0.86 real         0.10 user         0.01 sys
        0.85 real         0.10 user         0.01 sys
        0.86 real         0.10 user         0.01 sys
        0.89 real         0.11 user         0.01 sys
        0.96 real         0.10 user         0.01 sys
        0.91 real         0.10 user         0.01 sys
        1.09 real         0.11 user         0.01 sys
        0.88 real         0.10 user         0.01 sys
Analizing File:  cache.c
        2.55 real         0.57 user         0.02 sys
        2.56 real         0.57 user         0.02 sys
        2.75 real         0.68 user         0.02 sys
        2.72 real         0.58 user         0.02 sys
        2.48 real         0.56 user         0.01 sys
        2.50 real         0.58 user         0.02 sys
        2.46 real         0.56 user         0.01 sys
        2.46 real         0.56 user         0.01 sys
        2.47 real         0.56 user         0.01 sys
        2.49 real         0.56 user         0.02 sys
Analizing File:  channel.c
        1.08 real         0.15 user         0.01 sys
        1.07 real         0.15 user         0.01 sys
        1.24 real         0.15 user         0.01 sys
        1.09 real         0.15 user         0.01 sys
        1.16 real         0.16 user         0.01 sys
        1.41 real         0.18 user         0.01 sys
        1.46 real         0.19 user         0.01 sys
        1.09 real         0.15 user         0.01 sys
        1.08 real         0.15 user         0.01 sys
        1.07 real         0.15 user         0.01 sys
Analizing File:  cipher.c
