Analizing File:  DynaLoader.c
        1.30 real         0.04 user         0.01 sys
        1.20 real         0.04 user         0.01 sys
        1.27 real         0.04 user         0.01 sys
        1.13 real         0.04 user         0.01 sys
        1.23 real         0.04 user         0.01 sys
        1.21 real         0.04 user         0.01 sys
        1.45 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.13 real         0.04 user         0.01 sys
Analizing File:  Opcode.c
        1.42 real         0.17 user         0.01 sys
        1.40 real         0.17 user         0.01 sys
        1.41 real         0.17 user         0.01 sys
        1.40 real         0.17 user         0.01 sys
        1.42 real         0.18 user         0.01 sys
        1.44 real         0.17 user         0.01 sys
        1.43 real         0.17 user         0.01 sys
        1.44 real         0.17 user         0.01 sys
        1.39 real         0.17 user         0.01 sys
        1.44 real         0.18 user         0.01 sys
Analizing File:  av.c
        1.48 real         0.16 user         0.01 sys
        1.51 real         0.16 user         0.01 sys
        1.50 real         0.15 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.48 real         0.16 user         0.01 sys
        1.49 real         0.16 user         0.01 sys
        1.54 real         0.16 user         0.02 sys
        1.48 real         0.16 user         0.01 sys
        1.49 real         0.16 user         0.01 sys
Analizing File:  CMakeCCompilerId.c
        0.07 real         0.03 user         0.01 sys
        0.08 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.01 sys
Analizing File:  feature_tests.c
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
Analizing File:  caretx.c
        1.16 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
        1.10 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
        1.08 real         0.04 user         0.01 sys
        1.10 real         0.03 user         0.01 sys
        1.12 real         0.03 user         0.02 sys
        1.09 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
Analizing File:  MD5.c
        1.52 real         0.19 user         0.01 sys
        1.51 real         0.19 user         0.01 sys
        1.50 real         0.19 user         0.01 sys
        1.50 real         0.19 user         0.01 sys
        1.48 real         0.19 user         0.01 sys
        1.50 real         0.19 user         0.01 sys
        1.52 real         0.19 user         0.01 sys
        1.49 real         0.19 user         0.01 sys
        1.47 real         0.19 user         0.01 sys
        1.50 real         0.19 user         0.01 sys
Analizing File:  SHA.c
        2.93 real         0.53 user         0.01 sys
        2.80 real         0.50 user         0.01 sys
        2.75 real         0.50 user         0.01 sys
        2.74 real         0.50 user         0.01 sys
