Analizing File:  DynaLoader.c
        1.44 real         0.05 user         0.03 sys
        1.23 real         0.04 user         0.01 sys
        1.18 real         0.04 user         0.00 sys
        1.13 real         0.04 user         0.01 sys
        1.19 real         0.04 user         0.01 sys
        1.18 real         0.04 user         0.01 sys
        1.23 real         0.04 user         0.01 sys
        1.35 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.13 real         0.04 user         0.01 sys
Analizing File:  Opcode.c
        1.41 real         0.16 user         0.01 sys
        1.41 real         0.17 user         0.01 sys
        1.41 real         0.16 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.39 real         0.16 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.39 real         0.16 user         0.01 sys
        1.47 real         0.16 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.41 real         0.16 user         0.01 sys
Analizing File:  av.c
        1.54 real         0.16 user         0.01 sys
        1.52 real         0.15 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.45 real         0.15 user         0.01 sys
        1.49 real         0.15 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.49 real         0.15 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
Analizing File:  CMakeCCompilerId.c
        0.08 real         0.03 user         0.01 sys
        0.08 real         0.03 user         0.01 sys
        0.10 real         0.04 user         0.01 sys
        0.08 real         0.03 user         0.01 sys
        0.08 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.08 real         0.03 user         0.01 sys
Analizing File:  feature_tests.c
        0.06 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
Analizing File:  caretx.c
        1.12 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
        1.11 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
        1.08 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
        1.13 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.01 sys
        1.13 real         0.03 user         0.01 sys
Analizing File:  MD5.c
        1.52 real         0.20 user         0.01 sys
        1.51 real         0.18 user         0.01 sys
        1.53 real         0.19 user         0.01 sys
        1.51 real         0.18 user         0.01 sys
        1.52 real         0.20 user         0.01 sys
        1.49 real         0.18 user         0.01 sys
        1.50 real         0.18 user         0.01 sys
        1.49 real         0.18 user         0.01 sys
        1.51 real         0.19 user         0.01 sys
        1.53 real         0.19 user         0.01 sys
Analizing File:  SHA.c
        2.85 real         0.52 user         0.01 sys
        2.80 real         0.51 user         0.02 sys
        2.81 real         0.52 user         0.01 sys
        2.92 real         0.50 user         0.01 sys
        2.83 real         0.49 user         0.01 sys
        2.78 real         0.51 user         0.02 sys
        2.86 real         0.50 user         0.01 sys
        2.77 real         0.49 user         0.01 sys
        3.10 real         0.54 user         0.02 sys
        2.82 real         0.51 user         0.01 sys
Analizing File:  sdf.c
        0.06 real         0.02 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.02 user         0.01 sys
        0.05 real         0.02 user         0.00 sys
        0.04 real         0.02 user         0.01 sys
        0.05 real         0.02 user         0.01 sys
        0.04 real         0.02 user         0.00 sys
        0.06 real         0.03 user         0.01 sys
        0.05 real         0.02 user         0.01 sys
        0.05 real         0.02 user         0.00 sys
Analizing File:  sha.c
        0.96 real         0.02 user         0.01 sys
        0.94 real         0.03 user         0.01 sys
        0.94 real         0.03 user         0.01 sys
        0.98 real         0.03 user         0.01 sys
        0.95 real         0.02 user         0.00 sys
        0.96 real         0.03 user         0.01 sys
        1.12 real         0.03 user         0.01 sys
        0.99 real         0.03 user         0.01 sys
        1.28 real         0.02 user         0.00 sys
        0.99 real         0.02 user         0.00 sys
Analizing File:  sha64bit.c
        0.10 real         0.03 user         0.03 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.01 sys
Analizing File:  Parser.c
        2.66 real         0.50 user         0.02 sys
        2.70 real         0.50 user         0.04 sys
        4.01 real         0.62 user         0.02 sys
        2.77 real         0.47 user         0.01 sys
        3.18 real         0.52 user         0.01 sys
        2.44 real         0.50 user         0.01 sys
        2.40 real         0.48 user         0.01 sys
        2.40 real         0.48 user         0.02 sys
        2.49 real         0.51 user         0.01 sys
        2.46 real         0.49 user         0.01 sys
Analizing File:  hparser.c
        0.20 real         0.02 user         0.00 sys
        0.19 real         0.03 user         0.01 sys
        0.18 real         0.02 user         0.00 sys
        0.21 real         0.02 user         0.00 sys
        0.19 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.00 sys
        0.18 real         0.02 user         0.01 sys
        0.18 real         0.02 user         0.00 sys
