Analizing File:  DynaLoader.c
        1.53 real         0.05 user         0.01 sys
        1.34 real         0.04 user         0.01 sys
        1.35 real         0.04 user         0.01 sys
        1.18 real         0.04 user         0.01 sys
        1.54 real         0.04 user         0.01 sys
        1.26 real         0.04 user         0.01 sys
        1.34 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.16 real         0.04 user         0.01 sys
        1.15 real         0.04 user         0.01 sys
Analizing File:  Opcode.c
        1.45 real         0.16 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.42 real         0.16 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.41 real         0.16 user         0.01 sys
        1.41 real         0.16 user         0.01 sys
        1.41 real         0.16 user         0.01 sys
        1.42 real         0.16 user         0.01 sys
Analizing File:  av.c
        1.50 real         0.15 user         0.01 sys
        1.52 real         0.15 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.51 real         0.15 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.50 real         0.16 user         0.02 sys
        1.47 real         0.15 user         0.01 sys
        1.54 real         0.15 user         0.01 sys
Analizing File:  CMakeCCompilerId.c
        0.07 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.01 sys
        0.07 real         0.03 user         0.01 sys
        0.06 real         0.03 user         0.00 sys
        0.06 real         0.03 user         0.01 sys
Analizing File:  feature_tests.c
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.01 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.00 sys
        0.05 real         0.03 user         0.01 sys
