FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
bh_list.c,103,103,10,10,0,0
mem_alloc.c,21,21,0,0,0,0
wasm_application.c,927,918,55,47,0,0
wasm_runtime.c,2562,2500,244,182,0,0
bh_common.c,127,127,8,8,0,0
posix.c,4697,4566,488,338,0,0
bh_vector.c,337,333,25,21,0,0
wasm_memory.c,142,142,8,8,0,0
bh_read_file.c,49,49,2,2,0,0
runtime_timer.c,491,489,38,36,0,0
aot_reloc_x86_64.c,211,208,22,18,0,0
random.c,26,23,4,1,0,0
wasm_interp_fast.c,7759,7709,239,187,0,0
posix_socket.c,172,172,8,8,0,0
posix_time.c,20,20,2,2,0,0
aot_loader.c,6303,6214,407,318,0,0
str.c,39,39,4,4,0,0
posix_malloc.c,8,8,0,0,0,0
bh_hashmap.c,504,494,36,26,0,0
bh_log.c,78,78,2,2,0,0
aot_runtime.c,3109,3038,269,195,0,0
wasm_native.c,446,446,44,44,0,0
wasm_runtime_common.c,3487,3466,240,219,0,0
platform_init.c,19,19,0,0,0,0
libc_wasi_wrapper.c,1212,1192,147,127,0,0
libc_builtin_wrapper.c,1240,1190,190,140,0,0
main.c,545,537,91,83,0,0
bh_queue.c,288,287,16,15,0,0
wasm_exec_env.c,155,155,6,6,0,0
posix_thread.c,514,513,27,26,0,0
ems_kfc.c,365,365,15,15,0,0
wasm_c_api.c,8216,8067,720,564,0,0
posix_memmap.c,121,119,22,20,0,0
wasm_loader.c,11967,11548,1246,823,0,0
wasm_shared_memory.c,440,435,46,39,0,0
ems_alloc.c,1230,1217,110,96,0,0
aot_intrinsic.c,567,567,39,39,0,0
bh_assert.c,14,14,2,2,0,0
FinalResults,58511,57388,4832,3671,0,0
