FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
bh_list.c,100,100,5,5,0,0
mem_alloc.c,21,21,0,0,0,0
wasm_application.c,896,896,22,22,0,0
wasm_runtime.c,2457,2450,120,113,0,0
bh_common.c,127,127,6,6,0,0
posix.c,4537,4529,244,229,0,0
bh_vector.c,331,331,15,15,0,0
wasm_memory.c,142,142,7,7,0,0
bh_read_file.c,49,49,1,1,0,0
runtime_timer.c,485,485,26,26,0,0
aot_reloc_x86_64.c,204,204,13,12,0,0
random.c,25,23,3,1,0,0
wasm_interp_fast.c,7643,7643,113,112,0,0
posix_socket.c,170,170,4,4,0,0
posix_time.c,20,20,1,1,0,0
aot_loader.c,6117,6106,184,175,0,0
str.c,39,39,2,2,0,0
posix_malloc.c,8,8,0,0,0,0
bh_hashmap.c,492,492,17,17,0,0
bh_log.c,78,78,2,2,0,0
aot_runtime.c,3000,3000,128,127,0,0
wasm_native.c,441,441,33,33,0,0
wasm_runtime_common.c,3414,3414,150,150,0,0
platform_init.c,19,19,0,0,0,0
libc_wasi_wrapper.c,1176,1176,70,70,0,0
libc_builtin_wrapper.c,1179,1166,111,98,0,0
main.c,518,518,62,62,0,0
bh_queue.c,285,285,9,9,0,0
wasm_exec_env.c,155,155,3,3,0,0
posix_thread.c,511,511,17,17,0,0
ems_kfc.c,360,360,6,6,0,0
wasm_c_api.c,7912,7910,352,345,0,0
posix_memmap.c,115,115,14,14,0,0
wasm_loader.c,11339,11229,596,483,0,0
wasm_shared_memory.c,430,429,28,25,0,0
ems_alloc.c,1172,1172,45,44,0,0
aot_intrinsic.c,559,559,24,24,0,0
bh_assert.c,14,14,2,2,0,0
FinalResults,56540,56386,2435,2262,0,0
