FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
wasm_application.c,wasm_application_execute_main-3,"set(['45', '37'])",set([])
wasm_application.c,wasm_application_execute_main-9,set(['37']),set([])
wasm_application.c,wasm_application_execute_func-1,"set(['83', '15'])",set([])
wasm_application.c,wasm_application_execute_func-3,"set(['83', '86'])",set([])
wasm_application.c,wasm_application_execute_func-7,set(['86']),set([])
wasm_runtime.c,wasm_instantiate-10,"set(['62', '41'])",set([])
wasm_runtime.c,wasm_instantiate-11,set(['35']),set([])
wasm_runtime.c,tables_instantiate-5,set(['25']),set([])
wasm_runtime.c,tables_instantiate-4,set(['3']),set([])
wasm_runtime.c,tables_instantiate-1,"set(['25', '14'])",set([])
wasm_runtime.c,tables_instantiate-0,"set(['10', '3'])",set([])
wasm_runtime.c,tables_instantiate-3,set(['3']),set([])
wasm_runtime.c,tables_instantiate-2,"set(['25', '3'])",set([])
wasm_runtime.c,tables_deinstantiate-0,set(['8']),set([])
wasm_runtime.c,memory_instantiate-6,"set(['27', '28', '22', '49'])",set([])
wasm_runtime.c,memory_instantiate-1,"set(['48', '41'])",set([])
wasm_runtime.c,memory_instantiate-9,"set(['27', '28', '49'])",set([])
wasm_runtime.c,memory_instantiate-8,"set(['27', '28', '22', '49'])",set([])
wasm_runtime.c,wasm_module_free-0,set(['16']),set([])
wasm_runtime.c,memories_instantiate-5,set(['21']),set([])
wasm_runtime.c,export_functions_instantiate-2,set(['9']),set([])
wasm_runtime.c,memories_deinstantiate-0,set(['12']),set([])
wasm_runtime.c,wasm_instantiate-9,"set(['114', '35', '113'])",set([])
wasm_runtime.c,globals_instantiate-3,set(['27']),set([])
wasm_runtime.c,globals_instantiate-1,set(['10']),set([])
wasm_runtime.c,globals_instantiate-0,"set(['10', '23'])",set([])
wasm_runtime.c,globals_instantiate-5,set(['27']),set([])
wasm_runtime.c,wasm_instantiate-1,"set(['114', '113', '41'])",set([])
wasm_runtime.c,memory_instantiate-7,"set(['27', '28', '22', '49'])",set([])
wasm_runtime.c,memories_instantiate-1,set(['3']),set([])
wasm_runtime.c,memories_instantiate-0,"set(['3', '7'])",set([])
wasm_runtime.c,memories_instantiate-2,set(['3']),set([])
wasm_runtime.c,functions_instantiate-2,set(['11']),set([])
wasm_runtime.c,functions_instantiate-3,set(['11']),set([])
wasm_runtime.c,functions_instantiate-4,set(['11']),set([])
wasm_runtime.c,wasm_instantiate-2,"set(['114', '113', '41'])",set([])
wasm_runtime.c,wasm_instantiate-5,set(['41']),set([])
wasm_runtime.c,wasm_instantiate-6,"set(['114', '35', '113'])",set([])
wasm_runtime.c,wasm_instantiate-7,"set(['114', '35', '113'])",set([])
posix.c,fd_prestats_grow-0,"set(['31', '29'])",set([])
posix.c,fd_prestats_grow-1,"set(['32', '31', '29'])",set([])
posix.c,fd_prestats_grow-2,"set(['32', '31'])",set([])
posix.c,fd_prestats_grow-3,"set(['32', '31'])",set([])
posix.c,wasmtime_ssp_sock_shutdown-2,set(['12']),set([])
posix.c,wasmtime_ssp_path_open-0,"set(['55', '38', '40'])",set([])
posix.c,wasmtime_ssp_path_open-1,set(['40']),set([])
posix.c,wasmtime_ssp_fd_pwrite-6,"set(['32', '27'])",set([])
posix.c,wasmtime_ssp_fd_pwrite-4,"set(['32', '31', '27', '30'])",set([])
posix.c,wasmtime_ssp_fd_pwrite-5,"set(['25', '31', '32'])",set([])
posix.c,wasmtime_ssp_fd_pwrite-2,"set(['25', '31', '27', '30', '32'])",set([])
posix.c,wasmtime_ssp_fd_pwrite-3,"set(['32', '31', '27', '30'])",set([])
posix.c,wasmtime_ssp_fd_pwrite-0,"set(['25', '27'])",set([])
posix.c,wasmtime_ssp_fd_pwrite-1,"set(['25', '31', '27', '30', '32'])",set([])
posix.c,fd_table_grow-3,"set(['32', '31'])",set([])
posix.c,fd_table_grow-2,"set(['32', '31'])",set([])
posix.c,fd_table_grow-1,"set(['32', '31', '29'])",set([])
posix.c,fd_determine_type_rights-1,"set(['31', '27', '28', '29', '30'])",set([])
posix.c,wasmtime_ssp_fd_readdir-2,set(['12']),set([])
posix.c,wasmtime_ssp_fd_readdir-0,"set(['12', '29'])",set([])
posix.c,wasmtime_ssp_fd_pread-4,"set(['42', '43'])",set([])
posix.c,wasmtime_ssp_fd_pread-5,set(['43']),set([])
posix.c,wasmtime_ssp_fd_pread-1,"set(['42', '43', '40', '41'])",set([])
posix.c,wasmtime_ssp_fd_pread-2,"set(['42', '43', '40', '41'])",set([])
posix.c,wasmtime_ssp_fd_pread-3,"set(['42', '43'])",set([])
posix.c,fd_table_unused-0,"set(['1', '4'])",set([])
posix.c,fd_table_unused-1,set(['1']),set([])
posix.c,wasmtime_ssp_path_filestat_set_times-1,set(['13']),set([])
posix.c,wasmtime_ssp_fd_readdir-1,set(['33']),set([])
posix.c,wasmtime_ssp_fd_seek-2,set(['14']),set([])
posix.c,fd_table_destroy-0,set(['9']),set([])
posix.c,fd_table_get_entry-1,set(['9']),set([])
posix.c,fd_prestats_destroy-0,set(['9']),set([])
posix.c,readlinkat_dup-0,set(['1']),set([])
posix.c,readlinkat_dup-1,set(['1']),set([])
posix.c,wasmtime_ssp_fd_close-0,set(['3']),set([])
posix.c,validate_path-2,set(['13']),set([])
posix.c,wasmtime_ssp_fd_renumber-1,set(['13']),set([])
posix.c,wasmtime_ssp_fd_renumber-0,set(['5']),set([])
posix.c,wasmtime_ssp_poll_oneoff-5,"set(['86', '87', '85'])",set([])
posix.c,wasmtime_ssp_path_link-2,set(['17']),set([])
posix.c,wasmtime_ssp_path_link-0,"set(['15', '17'])",set([])
posix.c,wasmtime_ssp_path_link-1,"set(['21', '22'])",set([])
posix.c,wasmtime_ssp_fd_allocate-1,set(['9']),set([])
posix.c,wasmtime_ssp_poll_oneoff-1,"set(['86', '87', '85'])",set([])
posix.c,wasmtime_ssp_poll_oneoff-0,"set(['18', '16'])",set([])
posix.c,wasmtime_ssp_poll_oneoff-3,"set(['77', '76', '86', '87', '85'])",set([])
posix.c,wasmtime_ssp_poll_oneoff-2,"set(['54', '77', '76', '73', '86', '87', '85'])",set([])
posix.c,fd_prestats_get_entry-1,set(['6']),set([])
posix.c,wasmtime_ssp_poll_oneoff-8,"set(['86', '87', '85'])",set([])
posix.c,wasmtime_ssp_fd_filestat_set_times-1,set(['9']),set([])
posix.c,fd_determine_type_rights-0,"set(['31', '27', '28', '29', '30'])",set([])
posix.c,fd_table_grow-0,"set(['31', '29'])",set([])
posix.c,wasmtime_ssp_poll_oneoff-4,"set(['86', '87', '85'])",set([])
posix.c,wasmtime_ssp_poll_oneoff-7,"set(['86', '87', '85'])",set([])
posix.c,wasmtime_ssp_poll_oneoff-6,"set(['24', '18', '36', '16'])",set([])
posix.c,path_get-1,"set(['86', '84', '85'])",set([])
posix.c,path_get-3,"set(['86', '84', '85'])",set([])
posix.c,path_get-2,"set(['86', '84', '85'])",set([])
posix.c,path_get-5,"set(['86', '85'])",set([])
posix.c,path_get-4,"set(['86', '5', '85'])",set([])
posix.c,path_get-7,"set(['86', '85'])",set([])
posix.c,path_get-6,"set(['86', '85'])",set([])
posix.c,path_get-9,set(['5']),set([])
posix.c,path_get-8,set(['86']),set([])
bh_vector.c,bh_vector_remove-3,set(['11']),set([])
bh_vector.c,bh_vector_insert-3,set(['12']),set([])
bh_vector.c,bh_vector_insert-2,set(['12']),set([])
bh_vector.c,bh_vector_remove-2,set(['11']),set([])
aot_reloc_x86_64.c,apply_relocation-0,set(['7']),set([])
aot_reloc_x86_64.c,apply_relocation-1,"set(['46', '44', '45'])",set([])
posix_memmap.c,os_mmap-2,"set(['20', '23'])",set([])
wasm_interp_fast.c,copy_stack_values-5,set(['24']),set([])
wasm_interp_fast.c,copy_stack_values-3,"set(['24', '8'])",set([])
wasm_interp_fast.c,copy_stack_values-1,set(['7']),set([])
wasm_interp_fast.c,copy_stack_values-0,"set(['5', '7'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-23,"set(['1490', '25', '1493', '1494'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-24,"set(['1490', '25', '1493', '1494'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-26,"set(['1490', '1493', '1494', '38'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-29,"set(['1490', '1493', '1494', '38'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-0,"set(['1490', '1466', '1493', '1494', '1463'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-1,"set(['1490', '1466', '1493', '1494'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-6,"set(['1493', '1494'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-5,"set(['1490', '1466', '1493', '1494', '1448'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-8,"set(['1493', '1494'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_native-1,set(['20']),set([])
wasm_interp_fast.c,wasm_interp_call_wasm-1,"set(['21', '22'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-30,"set(['1490', '1493', '1494'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-15,"set(['1493', '1494'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-16,"set(['1466', '1494'])",set([])
wasm_interp_fast.c,wasm_interp_call_func_bytecode-17,"set(['1493', '1494'])",set([])
runtime_timer.c,create_timer_ctx-1,"set(['3', '14'])",set([])
wasm_c_api.c,interp_link-1,set(['1']),set([])
wasm_c_api.c,aot_process_export-1,"set(['1', '20', '28', '33'])",set([])
wasm_c_api.c,wasm_val_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,argv_to_results-2,set(['18']),set([])
wasm_c_api.c,wasm_extern_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,wasm_module_imports-21,"set(['10', '77', '76', '75', '90', '84'])",set([])
wasm_c_api.c,wasm_module_imports-20,"set(['10', '77', '76', '75', '90', '84'])",set([])
wasm_c_api.c,wasm_module_new-1,set(['24']),set([])
wasm_c_api.c,wasm_module_exports-8,"set(['46', '10', '57', '51'])",set([])
wasm_c_api.c,wasm_module_exports-5,set(['10']),set([])
wasm_c_api.c,wasm_module_exports-6,"set(['10', '57'])",set([])
wasm_c_api.c,wasm_module_exports-1,"set(['46', '10', '57', '51'])",set([])
wasm_c_api.c,wasm_module_exports-0,"set(['46', '10', '57', '51'])",set([])
wasm_c_api.c,wasm_module_exports-2,set(['57']),set([])
wasm_c_api.c,wasm_module_imports-0,"set(['10', '77', '76', '75', '90', '84'])",set([])
wasm_c_api.c,wasm_store_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,wasm_module_imports-9,set(['10']),set([])
wasm_c_api.c,wasm_module_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,wasm_store_delete-1,"set(['19', '21'])",set([])
wasm_c_api.c,wasm_module_imports-14,"set(['10', '77', '76', '75', '90', '84'])",set([])
wasm_c_api.c,wasm_module_imports-15,"set(['10', '77', '76', '75', '90', '84'])",set([])
wasm_c_api.c,wasm_module_imports-16,"set(['77', '10', '84', '90', '76'])",set([])
wasm_c_api.c,wasm_module_imports-17,"set(['77', '10', '84', '90', '76'])",set([])
wasm_c_api.c,wasm_module_imports-11,"set(['10', '90'])",set([])
wasm_c_api.c,wasm_module_imports-12,"set(['77', '10', '84', '90'])",set([])
wasm_c_api.c,wasm_module_imports-13,"set(['77', '10', '84', '90'])",set([])
wasm_c_api.c,wasm_module_imports-18,"set(['77', '10', '84', '90', '76'])",set([])
wasm_c_api.c,wasm_importtype_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,wasm_functype_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,wasm_func_call-3,"set(['15', '16'])",set([])
wasm_c_api.c,wasm_func_call-2,"set(['15', '16'])",set([])
wasm_c_api.c,wasm_func_call-1,"set(['5', '15', '14', '16'])",set([])
wasm_c_api.c,wasm_valtype_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,wasm_module_imports-10,"set(['10', '90'])",set([])
wasm_c_api.c,wasm_store_delete-0,"set(['3', '12'])",set([])
wasm_c_api.c,wasm_instance_new_with_args-1,"set(['39', '21', '22'])",set([])
wasm_c_api.c,wasm_table_size-1,set(['10']),set([])
wasm_c_api.c,wasm_table_set-1,set(['12']),set([])
wasm_c_api.c,wasm_table_set-0,"set(['10', '12'])",set([])
wasm_c_api.c,wasm_trap_trace-0,set(['10']),set([])
wasm_c_api.c,wasm_module_imports-19,"set(['10', '77', '76', '75', '90', '84'])",set([])
wasm_c_api.c,wasm_table_get-1,set(['8']),set([])
wasm_c_api.c,wasm_table_get-0,"set(['8', '6'])",set([])
wasm_c_api.c,interp_process_export-1,set(['1']),set([])
wasm_c_api.c,wasm_module_exports-7,"set(['46', '10', '57', '51'])",set([])
wasm_c_api.c,aot_process_export-2,set(['1']),set([])
wasm_c_api.c,wasm_exporttype_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,wasm_byte_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,wasm_instance_vec_new-0,"set(['14', '16'])",set([])
wasm_c_api.c,aot_process_export-3,"set(['1', '20', '28', '33'])",set([])
wasm_c_api.c,params_to_argv-0,"set(['8', '16'])",set([])
wasm_c_api.c,params_to_argv-1,set(['8']),set([])
wasm_c_api.c,wasm_ref_new_internal-1,set(['11']),set([])
wasm_c_api.c,wasm_ref_new_internal-0,"set(['9', '11'])",set([])
wasm_c_api.c,wasm_trap_new_internal-2,set(['34']),set([])
wasm_c_api.c,wasm_module_imports-2,set(['90']),set([])
wasm_c_api.c,wasm_module_imports-1,"set(['10', '77', '76', '75', '90', '84'])",set([])
wasm_c_api.c,wasm_frame_vec_new-0,"set(['14', '16'])",set([])
aot_loader.c,load_from_sections-8,set(['83']),set([])
aot_loader.c,load_from_sections-1,"set(['36', '68', '83', '80', '79', '78'])",set([])
aot_loader.c,load_from_sections-2,"set(['36', '68', '83', '80', '79', '78'])",set([])
aot_loader.c,load_from_sections-5,"set(['83', '80', '36'])",set([])
aot_loader.c,load_from_sections-4,"set(['83', '80', '36'])",set([])
aot_loader.c,load_from_sections-7,"set(['83', '80', '36'])",set([])
aot_loader.c,load_import_table_list-2,set(['48']),set([])
aot_loader.c,resolve_target_sym-2,set(['9']),set([])
aot_loader.c,load_object_data_sections-0,"set(['3', '31'])",set([])
aot_loader.c,load_object_data_sections-1,set(['3']),set([])
aot_loader.c,load_object_data_sections-2,set(['36']),set([])
aot_loader.c,destroy_mem_init_data_list-0,set(['8']),set([])
aot_loader.c,do_text_relocation-0,set(['10']),set([])
aot_loader.c,create_sections-1,"set(['60', '3', '51', '50'])",set([])
aot_loader.c,destroy_func_types-0,set(['8']),set([])
aot_loader.c,load_table_init_data_list-0,"set(['3', '75'])",set([])
aot_loader.c,load_table_init_data_list-1,set(['3']),set([])
aot_loader.c,load_table_init_data_list-2,set(['80']),set([])
