FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
bh_list.c,bh_list_insert-0,set(['4']),set(['4']),set([]),set([]),subset
bh_list.c,bh_list_insert-1,{},{},set([]),set([]),subset
bh_list.c,bh_list_insert-2,{},{},set([]),set([]),subset
bh_list.c,bh_list_init-0,set(['3']),set(['3']),set([]),set([]),subset
bh_list.c,bh_list_remove-3,set(['4']),set(['4']),set([]),set([]),subset
bh_list.c,bh_list_remove-2,set(['4']),set(['4']),set([]),set([]),subset
bh_list.c,bh_list_remove-1,{},{},set([]),set([]),subset
bh_list.c,bh_list_remove-0,set(['12']),set(['12']),set([]),set([]),subset
wasm_application.c,check_main_func_type-0,set(['12']),set(['12']),set([]),set([]),subset
wasm_application.c,runtime_malloc-0,set(['9']),set(['9']),set([]),set([]),subset
wasm_application.c,runtime_malloc-1,{},{},set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-1,{},{},set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-0,set(['45']),set(['45']),set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-3,set(['27']),set(['27']),set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-2,"set(['10', '12'])","set(['10', '12'])",set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-5,{},{},set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-4,set(['8']),set(['8']),set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-7,set(['37']),set(['37']),set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-6,{},{},set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-9,"set(['27', '20'])","set(['27', '20'])",set([]),set([]),subset
wasm_application.c,wasm_application_execute_main-8,set(['20']),set(['20']),set([]),set([]),subset
wasm_application.c,wasm_application_execute_func-0,set(['86']),set(['86']),set([]),set([]),subset
wasm_application.c,wasm_application_execute_func-1,set(['62']),set(['62']),set([]),set([]),subset
wasm_application.c,wasm_application_execute_func-2,"set(['57', '15', '62'])","set(['57', '15', '62'])",set([]),set([]),subset
wasm_application.c,wasm_application_execute_func-3,set(['15']),set(['15']),set([]),set([]),subset
wasm_application.c,wasm_application_execute_func-4,"set(['78', '70'])","set(['78', '70'])",set([]),set([]),subset
wasm_application.c,wasm_application_execute_func-5,{},{},set([]),set([]),subset
