FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
"('random.c', 60)",26,23,4,1,0,0
"('wasm_loader.c', 32)",11967,11548,1246,823,0,0
"('wasm_runtime.c', 70)",2562,2500,244,182,0,0
"('posix_memmap.c', 41)",121,119,22,20,0,0
"('bh_queue.c', 54)",288,287,16,15,0,0
"('bh_vector.c', 18)",337,333,25,21,0,0
"('posix_malloc.c', 40)",8,8,0,0,0,0
"('posix.c', 59)",4697,4566,488,338,0,0
"('aot_reloc_x86_64.c', 75)",211,208,22,18,0,0
"('libc_builtin_wrapper.c', 20)",1240,1190,190,140,0,0
"('posix.c', 22)",4697,4566,488,338,0,0
"('aot_runtime.c', 37)",3109,3038,269,195,0,0
"('mem_alloc.c', 11)",21,21,0,0,0,0
"('main.c', 76)",545,537,91,83,0,0
"('bh_common.c', 50)",127,127,8,8,0,0
"('str.c', 24)",39,39,4,4,0,0
"('libc_builtin_wrapper.c', 57)",1240,1190,190,140,0,0
"('posix_socket.c', 5)",172,172,8,8,0,0
"('ems_kfc.c', 10)",365,365,15,15,0,0
"('libc_wasi_wrapper.c', 58)",1212,1192,147,127,0,0
"('posix_memmap.c', 4)",121,119,22,20,0,0
"('posix_socket.c', 42)",172,172,8,8,0,0
"('platform_init.c', 39)",19,19,0,0,0,0
"('bh_log.c', 53)",78,78,2,2,0,0
"('random.c', 23)",26,23,4,1,0,0
"('posix_time.c', 44)",20,20,2,2,0,0
"('wasm_c_api.c', 26)",8216,8067,720,564,0,0
"('runtime_timer.c', 19)",491,489,38,36,0,0
"('aot_intrinsic.c', 35)",567,567,39,39,0,0
"('wasm_memory.c', 28)",142,142,8,8,0,0
"('wasm_native.c', 29)",446,446,44,44,0,0
"('str.c', 61)",39,39,4,4,0,0
"('wasm_interp_fast.c', 34)",7759,7709,239,187,0,0
"('libc_wasi_wrapper.c', 21)",1212,1192,147,127,0,0
"('runtime_timer.c', 56)",491,489,38,36,0,0
"('wasm_application.c', 25)",927,918,55,47,0,0
"('bh_read_file.c', 77)",49,49,2,2,0,0
"('wasm_runtime_common.c', 30)",3487,3466,240,219,0,0
"('aot_loader.c', 73)",6303,6214,407,318,0,0
"('posix_thread.c', 43)",514,513,27,26,0,0
"('platform_init.c', 2)",19,19,0,0,0,0
"('ems_alloc.c', 45)",1230,1217,110,96,0,0
"('posix_time.c', 7)",20,20,2,2,0,0
"('wasm_loader.c', 69)",11967,11548,1246,823,0,0
"('wasm_interp_fast.c', 71)",7759,7709,239,187,0,0
"('wasm_shared_memory.c', 68)",440,435,46,39,0,0
"('wasm_exec_env.c', 64)",155,155,6,6,0,0
"('aot_runtime.c', 74)",3109,3038,269,195,0,0
"('posix_malloc.c', 3)",8,8,0,0,0,0
"('ems_kfc.c', 47)",365,365,15,15,0,0
"('wasm_exec_env.c', 27)",155,155,6,6,0,0
"('bh_assert.c', 49)",14,14,2,2,0,0
"('bh_list.c', 15)",103,103,10,10,0,0
"('posix_thread.c', 6)",514,513,27,26,0,0
"('aot_intrinsic.c', 72)",567,567,39,39,0,0
"('bh_hashmap.c', 51)",504,494,36,26,0,0
"('wasm_shared_memory.c', 31)",440,435,46,39,0,0
"('bh_list.c', 52)",103,103,10,10,0,0
"('wasm_c_api.c', 63)",8216,8067,720,564,0,0
"('bh_vector.c', 55)",337,333,25,21,0,0
"('aot_reloc_x86_64.c', 38)",211,208,22,18,0,0
"('bh_queue.c', 17)",288,287,16,15,0,0
"('wasm_application.c', 62)",927,918,55,47,0,0
"('wasm_memory.c', 65)",142,142,8,8,0,0
"('mem_alloc.c', 48)",21,21,0,0,0,0
"('bh_hashmap.c', 14)",504,494,36,26,0,0
"('wasm_runtime.c', 33)",2562,2500,244,182,0,0
"('wasm_runtime_common.c', 67)",3487,3466,240,219,0,0
"('ems_alloc.c', 8)",1230,1217,110,96,0,0
"('bh_assert.c', 12)",14,14,2,2,0,0
"('bh_log.c', 16)",78,78,2,2,0,0
"('bh_common.c', 13)",127,127,8,8,0,0
"('aot_loader.c', 36)",6303,6214,407,318,0,0
"('wasm_native.c', 66)",446,446,44,44,0,0
FinalResults,116428,114190,9571,7257,0,0
