FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
"('random.c', 60)",25,23,3,1,0,0
"('wasm_loader.c', 32)",11339,11229,596,483,0,0
"('wasm_runtime.c', 70)",2457,2450,120,113,0,0
"('posix_memmap.c', 41)",115,115,14,14,0,0
"('bh_queue.c', 54)",285,285,9,9,0,0
"('bh_vector.c', 18)",331,331,15,15,0,0
"('posix_malloc.c', 40)",8,8,0,0,0,0
"('posix.c', 59)",4537,4529,244,229,0,0
"('aot_reloc_x86_64.c', 75)",204,204,13,12,0,0
"('libc_builtin_wrapper.c', 20)",1179,1166,111,98,0,0
"('posix.c', 22)",4537,4529,244,229,0,0
"('aot_runtime.c', 37)",3000,3000,128,127,0,0
"('mem_alloc.c', 11)",21,21,0,0,0,0
"('main.c', 76)",518,518,62,62,0,0
"('bh_common.c', 50)",127,127,6,6,0,0
"('str.c', 24)",39,39,2,2,0,0
"('libc_builtin_wrapper.c', 57)",1179,1166,111,98,0,0
"('posix_socket.c', 5)",170,170,4,4,0,0
"('ems_kfc.c', 10)",360,360,6,6,0,0
"('libc_wasi_wrapper.c', 58)",1176,1176,70,70,0,0
"('posix_memmap.c', 4)",115,115,14,14,0,0
"('posix_socket.c', 42)",170,170,4,4,0,0
"('platform_init.c', 39)",19,19,0,0,0,0
"('bh_log.c', 53)",78,78,2,2,0,0
"('random.c', 23)",25,23,3,1,0,0
"('posix_time.c', 44)",20,20,1,1,0,0
"('wasm_c_api.c', 26)",7912,7910,352,345,0,0
"('runtime_timer.c', 19)",485,485,26,26,0,0
"('aot_intrinsic.c', 35)",559,559,24,24,0,0
"('wasm_memory.c', 28)",142,142,7,7,0,0
"('wasm_native.c', 29)",441,441,33,33,0,0
"('str.c', 61)",39,39,2,2,0,0
"('wasm_interp_fast.c', 34)",7643,7643,113,112,0,0
"('libc_wasi_wrapper.c', 21)",1176,1176,70,70,0,0
"('runtime_timer.c', 56)",485,485,26,26,0,0
"('wasm_application.c', 25)",896,896,22,22,0,0
"('bh_read_file.c', 77)",49,49,1,1,0,0
"('wasm_runtime_common.c', 30)",3414,3414,150,150,0,0
"('aot_loader.c', 73)",6117,6106,184,175,0,0
"('posix_thread.c', 43)",511,511,17,17,0,0
"('platform_init.c', 2)",19,19,0,0,0,0
"('ems_alloc.c', 45)",1172,1172,45,44,0,0
"('posix_time.c', 7)",20,20,1,1,0,0
"('wasm_loader.c', 69)",11339,11229,596,483,0,0
"('wasm_interp_fast.c', 71)",7643,7643,113,112,0,0
"('wasm_shared_memory.c', 68)",430,429,28,25,0,0
"('wasm_exec_env.c', 64)",155,155,3,3,0,0
"('aot_runtime.c', 74)",3000,3000,128,127,0,0
"('posix_malloc.c', 3)",8,8,0,0,0,0
"('ems_kfc.c', 47)",360,360,6,6,0,0
"('wasm_exec_env.c', 27)",155,155,3,3,0,0
"('bh_assert.c', 49)",14,14,2,2,0,0
"('bh_list.c', 15)",100,100,5,5,0,0
"('posix_thread.c', 6)",511,511,17,17,0,0
"('aot_intrinsic.c', 72)",559,559,24,24,0,0
"('bh_hashmap.c', 51)",492,492,17,17,0,0
"('wasm_shared_memory.c', 31)",430,429,28,25,0,0
"('bh_list.c', 52)",100,100,5,5,0,0
"('wasm_c_api.c', 63)",7912,7910,352,345,0,0
"('bh_vector.c', 55)",331,331,15,15,0,0
"('aot_reloc_x86_64.c', 38)",204,204,13,12,0,0
"('bh_queue.c', 17)",285,285,9,9,0,0
"('wasm_application.c', 62)",896,896,22,22,0,0
"('wasm_memory.c', 65)",142,142,7,7,0,0
"('mem_alloc.c', 48)",21,21,0,0,0,0
"('bh_hashmap.c', 14)",492,492,17,17,0,0
"('wasm_runtime.c', 33)",2457,2450,120,113,0,0
"('wasm_runtime_common.c', 67)",3414,3414,150,150,0,0
"('ems_alloc.c', 8)",1172,1172,45,44,0,0
"('bh_assert.c', 12)",14,14,2,2,0,0
"('bh_log.c', 16)",78,78,2,2,0,0
"('bh_common.c', 13)",127,127,6,6,0,0
"('aot_loader.c', 36)",6117,6106,184,175,0,0
"('wasm_native.c', 66)",441,441,33,33,0,0
FinalResults,112513,112205,4807,4461,0,0
