FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
delta_common.c,108,108,3,3,0,0
hardware_physmem.c,2,2,0,0,0,0
easy_encoder_memusage.c,16,16,2,2,0,0
lzma2_encoder.c,686,670,33,21,0,0
common.c,713,711,16,15,0,0
lzma_encoder_optimum_fast.c,490,453,57,38,0,0
lzma_encoder_presets.c,123,123,2,2,0,0
lzma2_decoder.c,441,439,16,13,0,0
lzma_encoder_optimum_normal.c,2812,2630,225,132,0,0
tuklib_mbstr_fw.c,31,31,2,2,0,0
filter_encoder.c,217,212,21,17,0,0
simple_decoder.c,58,58,4,3,0,0
delta_encoder.c,203,203,4,4,0,0
alone_encoder.c,260,258,13,11,0,0
auto_decoder.c,297,292,24,17,0,0
block_decoder.c,387,383,21,16,0,0
check.c,84,84,2,2,0,0
index_hash.c,504,493,29,19,0,0
block_buffer_encoder.c,463,448,40,28,0,0
hardware.c,61,61,1,1,0,0
sparc.c,138,130,6,2,0,0
sha512.c,799,799,13,13,0,0
spec_xz.c,384,360,42,29,0,0
simple_coder.c,466,459,25,15,0,0
powerpc.c,124,120,4,2,0,0
alone_decoder.c,410,404,25,22,0,0
price_tablegen.c,87,81,11,7,0,0
index.c,1970,1939,131,108,0,0
list.c,1871,1783,125,69,0,0
lz_encoder.c,948,936,49,38,0,0
tuklib_cpucores.c,2,2,0,0,0,0
signals.c,4,4,0,0,0,0
tuklib_mbstr_width.c,9,9,0,0,0,0
filter_buffer_encoder.c,82,77,10,6,0,0
lz_decoder.c,557,550,20,14,0,0
filter_flags_decoder.c,64,64,8,7,0,0
easy_encoder.c,18,18,2,2,0,0
simple_encoder.c,49,49,2,2,0,0
lz_encoder_mf.c,2139,2083,197,166,0,0
crc32_fast.c,135,135,11,11,0,0
tuklib_exit.c,5,5,0,0,0,0
coder.c,750,720,70,48,0,0
stream_buffer_decoder.c,107,105,6,5,0,0
block_encoder.c,343,339,21,16,0,0
vli_size.c,24,22,5,4,0,0
stream_flags_encoder.c,107,107,3,3,0,0
crc64_small.c,82,78,10,7,0,0
block_util.c,115,115,11,9,0,0
stream_flags_common.c,67,67,1,1,0,0
armthumb.c,131,123,7,3,0,0
arm.c,102,94,6,2,0,0
ia64.c,228,182,36,12,0,0
lzma_decoder.c,11067,10548,1413,1149,0,0
stream_buffer_encoder.c,183,170,27,18,0,0
crc64_fast.c,109,109,11,11,0,0
vli_decoder.c,101,99,8,6,0,0
message.c,440,430,15,9,0,0
stream_encoder.c,604,595,50,41,0,0
filter_flags_encoder.c,119,118,16,13,0,0
tuklib_progname.c,2,2,0,0,0,0
block_header_decoder.c,242,233,28,21,0,0
tuklib_physmem.c,2,2,0,0,0,0
stream_decoder.c,647,624,60,47,0,0
file_io.c,483,474,49,39,0,0
tuklib_open_stdxxx.c,2,2,0,0,0,0
easy_buffer_encoder.c,23,23,2,2,0,0
x86.c,336,298,56,37,0,0
util.c,373,364,31,26,0,0
fastpos_tablegen.c,78,76,7,5,0,0
sha256.c,2714,2712,9,8,0,0
options.c,368,342,24,9,0,0
block_buffer_decoder.c,86,84,6,5,0,0
filter_decoder.c,114,113,14,12,0,0
filter_buffer_decoder.c,125,120,13,9,0,0
lzma_encoder.c,1794,1760,79,58,0,0
index_encoder.c,331,328,25,22,0,0
easy_decoder_memusage.c,16,16,2,2,0,0
block_header_encoder.c,326,311,53,40,0,0
main.c,9,9,0,0,0,0
vli_encoder.c,84,84,6,6,0,0
stream_flags_decoder.c,110,110,9,7,0,0
index_decoder.c,492,480,43,32,0,0
spec_mem_io.c,1971,1959,45,38,0,0
easy_preset.c,24,24,1,1,0,0
spec.c,301,301,10,10,0,0
filter_common.c,537,483,97,65,0,0
delta_decoder.c,109,109,5,4,0,0
FinalResults,44595,43146,3586,2721,0,0
