FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
delta_common.c,108,108,2,2,0,0
hardware_physmem.c,2,2,0,0,0,0
easy_encoder_memusage.c,16,16,1,1,0,0
lzma2_encoder.c,671,667,19,15,0,0
common.c,711,711,12,12,0,0
lzma_encoder_optimum_fast.c,437,437,27,27,0,0
lzma_encoder_presets.c,123,123,1,1,0,0
lzma2_decoder.c,438,437,11,10,0,0
lzma_encoder_optimum_normal.c,2594,2594,103,103,0,0
tuklib_mbstr_fw.c,31,31,1,1,0,0
filter_encoder.c,210,209,14,12,0,0
simple_decoder.c,58,58,2,2,0,0
delta_encoder.c,203,203,4,4,0,0
alone_encoder.c,255,255,8,7,0,0
auto_decoder.c,289,287,16,12,0,0
block_decoder.c,379,379,12,11,0,0
check.c,84,84,2,2,0,0
index_hash.c,490,487,18,15,0,0
block_buffer_encoder.c,437,437,20,18,0,0
hardware.c,61,61,1,1,0,0
sparc.c,130,130,2,2,0,0
sha512.c,799,799,13,13,0,0
spec_xz.c,350,350,20,20,0,0
simple_coder.c,456,454,14,10,0,0
powerpc.c,120,120,2,2,0,0
alone_decoder.c,402,397,16,14,0,0
price_tablegen.c,81,81,7,7,0,0
index.c,1916,1914,86,82,0,0
list.c,1755,1755,51,49,0,0
lz_encoder.c,934,932,33,30,0,0
tuklib_cpucores.c,2,2,0,0,0,0
signals.c,4,4,0,0,0,0
tuklib_mbstr_width.c,9,9,0,0,0,0
filter_buffer_encoder.c,76,76,6,5,0,0
lz_decoder.c,551,547,14,11,0,0
filter_flags_decoder.c,62,62,6,5,0,0
easy_encoder.c,18,18,1,1,0,0
simple_encoder.c,49,49,1,1,0,0
lz_encoder_mf.c,2048,2046,148,147,0,0
crc32_fast.c,135,135,11,11,0,0
tuklib_exit.c,5,5,0,0,0,0
coder.c,705,705,39,37,0,0
stream_buffer_decoder.c,105,105,5,5,0,0
block_encoder.c,335,335,11,10,0,0
vli_size.c,20,20,3,3,0,0
stream_flags_encoder.c,107,107,3,3,0,0
crc64_small.c,78,78,7,7,0,0
block_util.c,115,115,6,6,0,0
stream_flags_common.c,67,67,1,1,0,0
armthumb.c,123,123,3,3,0,0
arm.c,94,94,2,2,0,0
ia64.c,175,175,7,7,0,0
lzma_decoder.c,10370,10370,1058,1057,0,0
stream_buffer_encoder.c,164,163,14,12,0,0
crc64_fast.c,109,109,11,11,0,0
vli_decoder.c,97,96,5,4,0,0
message.c,428,428,6,6,0,0
stream_encoder.c,589,584,36,30,0,0
filter_flags_encoder.c,116,116,13,11,0,0
tuklib_progname.c,2,2,0,0,0,0
block_header_decoder.c,229,228,18,16,0,0
tuklib_physmem.c,2,2,0,0,0,0
stream_decoder.c,617,615,38,36,0,0
file_io.c,467,463,33,30,0,0
tuklib_open_stdxxx.c,2,2,0,0,0,0
easy_buffer_encoder.c,23,23,1,1,0,0
x86.c,270,270,19,19,0,0
util.c,351,351,18,18,0,0
fastpos_tablegen.c,76,76,5,5,0,0
sha256.c,2712,2712,8,8,0,0
options.c,340,340,8,8,0,0
block_buffer_decoder.c,84,84,5,5,0,0
filter_decoder.c,111,110,10,8,0,0
filter_buffer_decoder.c,119,119,9,8,0,0
lzma_encoder.c,1753,1753,45,45,0,0
index_encoder.c,320,320,16,15,0,0
easy_decoder_memusage.c,16,16,1,1,0,0
block_header_encoder.c,301,300,35,31,0,0
main.c,9,9,0,0,0,0
vli_encoder.c,80,80,3,3,0,0
stream_flags_decoder.c,110,110,5,5,0,0
index_decoder.c,473,470,26,22,0,0
spec_mem_io.c,1948,1947,26,25,0,0
easy_preset.c,24,24,1,1,0,0
spec.c,297,297,8,8,0,0
filter_common.c,469,463,54,49,0,0
delta_decoder.c,109,109,3,3,0,0
FinalResults,42610,42556,2330,2251,0,0
