Time-Ours  Time-Sinha  Time-noCtx SL-Sinha PL-Sinha SL-noCtx  PL-noCtx N NP  NOurs NSinha NnoCtx\n

7748 11393 2611 0 30 0 0 28 30 10 40 10

1158338 362538 114864 195 1335 110 30 568 2360 495 1635 415

319338 185562 99244 112 1066 0 0 421 2004 444 1398 444

2427 2393 771 0 0 0 0 5 30 0 0 0

2452 2322 830 0 0 0 0 5 30 0 0 0

4996 3710 1576 0 20 0 0 10 60 20 40 20

20615 405985 8917 0 40 0 0 175 70 0 40 0

29569 816900 14957 0 183 0 37 217 304 9 192 46

762 248 343 0 0 0 0 2 20 0 0 0

680438 178152 62386 46 118 30 108 297 290 146 218 224

851 342 427 0 0 0 0 2 20 0 0 0

45448 282906 16896 8 276 0 36 143 484 46 314 82

574990 358713 326854 160 1025 35 0 578 2760 1080 1945 1045

42363 39888 14487 40 90 0 0 71 240 110 160 110

27957 658149 32545 0 482 0 245 179 395 9 491 254

55253 1467288 25186 8 516 0 92 298 988 16 524 108

27608 344277 13685 10 200 0 30 141 400 20 210 50

47736 51474 13728 70 30 20 0 105 60 100 60 80

182059 407875 88888 138 240 0 40 297 762 426 528 466

41068 855874 20351 0 357 0 89 226 734 0 357 89

722 256 335 0 0 0 0 2 20 0 0 0

80632 269309 30225 30 120 0 10 180 250 130 220 140

743750 572380 126595 56 596 0 0 515 2036 405 945 405

832426 1245885 468422 515 2135 19 0 1014 4186 1681 3301 1662

619583 439455 241492 173 2646 0 0 881 5438 1029 3502 1029

893 327 388 0 0 0 0 2 20 0 0 0

1115915 1191550 458805 761 1711 13 0 1215 3043 1645 2595 1632

41974 198153 12771 20 176 0 36 122 444 30 186 66

109446 191870 28622 70 210 0 0 170 350 140 280 140

1982092 613974 90075 143 507 285 0 358 1791 760 1124 475

12808 125168 5852 0 100 0 10 79 140 20 120 30

9420 86615 3832 0 20 0 0 70 60 0 20 0

5698 6211 1837 0 30 0 0 14 20 10 40 10

5484 5789 1525 0 30 0 0 14 20 10 40 10

6630 9437 2248 0 20 0 0 19 50 20 40 20

4850 35097 2686 0 10 0 0 42 40 0 10 0

5125 4911 1585 0 0 0 0 8 40 0 0 0

11231 23654 3643 0 70 0 10 33 120 0 70 10

7821 59941 3390 0 20 0 0 56 40 0 20 0

9015 107629 4498 0 10 0 0 80 60 0 10 0

10415 24537 3702 0 50 0 10 33 120 0 50 10

700 246 306 0 0 0 0 2 20 0 0 0

427036 320346 135707 90 1004 0 0 506 2548 622 1536 622

912 355 437 0 0 0 0 2 20 0 0 0

166502588 3910940 1559459 1020 3837 929 9 2243 8718 3698 6515 2778

3175802 939715 904850 846 2464 564 24 1567 6090 2736 4354 2196

1394894 21998887 721691 648 5140 0 0 1593 5991 3600 8092 3600

33776 22295 6971 20 10 0 0 48 90 30 20 30

3808479 1696306 836414 303 2304 9 0 1703 7287 1408 3409 1399

2572762 1402950 856014 649 3276 132 9 1929 6861 1918 4545 1795

671498 317017 221154 263 1828 78 3 712 2997 991 2556 916

10357308 963781 367069 491 807 1261 23 799 4180 2622 2938 1384

1208823036 19073301 20766604 4799 13980 1990 160 8695 27533 14645 23826 12815

815946 4900216 152449 604 166 18 0 882 282 634 196 616

4429489 2443851 670206 746 4246 316 42 2181 6813 1990 5490 1716

930 408 443 0 0 0 0 2 20 0 0 0

102633 63497 18853 70 90 0 0 132 240 110 130 110

35206 28327 8923 20 110 0 0 82 180 60 150 60

4498905 444416 842866 153 4919 0 0 1165 4476 450 5216 450

7932559 10485050 10890772 2564 12143 396 0 6296 26080 9992 19571 9596

4018512 6399459 2836526 1261 9064 345 5 3610 15433 4446 12249 4106

2236575 3300083 1774044 1133 4735 36 11 2684 9619 3627 7229 3602

12614733 6416422 3849656 1492 4620 197 46 3470 11324 4406 7534 4255

515246 367922 241185 216 1377 19 0 723 3130 1007 2168 988

4918052 6469281 1319058 794 5119 61 26 2552 10005 2687 7012 2652

2522 5005 917 0 0 0 0 11 20 0 0 0

17302943 20117855 38252492 4171 29226 280 15 10884 48286 17323 42378 17058

4017551 13549855 4520794 1188 7202 51 9 4031 17776 5824 11838 5782

7854 6208 2238 0 20 0 0 16 50 10 30 10

841713 411759 148888 104 547 0 0 821 1402 340 783 340

223564 39008 12960 10 76 39 0 86 432 70 136 31

321405074 19729846 12396817 4203 6181 2296 209 6379 18786 10604 12582 8517

68213 48350 19374 140 40 0 10 85 80 150 50 160

179019 116699 40322 32 828 10 0 206 1283 230 1026 220

56212023 33457492 13779374 3632 12761 679 42 7741 22441 9642 18771 9005

1024403 804818 115822 156 821 81 18 636 1918 676 1341 613

13074862 2705873 1574407 1081 2840 604 29 2277 7128 3566 5325 2991

2699142 2469051 610670 432 2794 134 9 1714 5796 1464 3826 1339

757552 780175 201734 520 130 30 0 672 290 890 500 860

9407 7051 2893 10 40 0 0 19 100 20 50 20

910757 630275 170837 154 982 56 0 577 2780 488 1316 432

735 249 319 0 0 0 0 2 20 0 0 0

259001 108492 46033 60 210 0 0 219 920 200 350 200

3975 3519 1138 0 0 0 0 6 40 0 0 0
