Time-Ours  Time-Sinha  Time-noCtx SL-Sinha PL-Sinha SL-noCtx  PL-noCtx N NP  NOurs NSinha NnoCtx\n

304592 2213142 48083 34 152 67 7 1096 624 172 290 112

305965 2304491 46079 33 151 69 6 1096 628 174 292 111

209228 2414728 46705 62 60 18 9 1096 171 115 113 106

208792 2491203 50893 65 64 18 9 1096 176 119 118 110

214048 2375545 55573 63 65 15 9 1096 180 120 122 114

225122 2410109 54302 64 65 15 9 1096 185 122 123 116

230154 2628070 59616 66 67 16 8 1096 189 125 126 117

306126 2558430 48503 48 112 39 7 1096 449 162 226 130

299363 2279344 48062 48 113 39 7 1096 452 162 227 130

281424 2192094 44954 48 114 39 7 1096 453 162 228 130
