Time-Ours  Time-Sinha  Time-noCtx SL-Sinha PL-Sinha SL-noCtx  PL-noCtx N NP  NOurs NSinha NnoCtx\n

23613997 188389163 3534402 302 848 13 172 16480 2201 795 1341 954

56037441 173569615 8608100 176 2568 191 64 16480 8683 1746 4138 1619

41859420 174074354 7458998 196 2473 183 67 16480 8376 1758 4035 1642

37731610 174321319 6582995 356 1603 99 121 16480 5130 1622 2869 1644

44368838 171371068 7816110 131 2972 230 61 16480 10119 1762 4603 1593

41264564 171736875 7374859 231 2247 158 71 16480 7597 1773 3789 1686

31575522 170964634 5206269 378 1075 46 170 16480 3279 1202 1899 1326

39916465 172163218 7376482 237 2220 157 72 16480 7487 1767 3750 1682

25854373 173899752 4295269 332 908 25 177 16480 2560 941 1517 1093

42425030 204206394 7397929 320 1831 118 79 16480 6035 1707 3218 1668
