Time-Ours  Time-Sinha  Time-noCtx SL-Sinha PL-Sinha SL-noCtx  PL-noCtx N NP  NOurs NSinha NnoCtx\n

287684 343402 86839 68 1898 9 0 449 2261 338 2168 329

2398 2412 704 0 0 0 0 5 20 0 0 0

2163204 748334 311825 300 1012 330 12 746 3107 1355 2067 1037

21387 38290 4776 0 0 0 0 56 40 0 0 0

8360 8483 5636 0 60 0 0 20 70 0 60 0

2714840 190373 69878 208 480 104 24 453 607 283 555 203

146196 74308 24095 30 80 0 10 173 200 70 120 80

780421 380784 97279 120 606 22 10 547 855 237 723 225

8063145 1864469 505967 460 4509 291 43 1791 6703 1151 5200 903

469012 173840 62264 80 500 20 0 413 610 110 530 90

24849933 2228765 758957 730 5740 783 40 2271 9446 2080 7090 1337

576384 129132 45019 62 1045 19 0 291 1588 220 1203 201

41141 45870 9291 0 60 0 0 94 100 0 60 0

18920 12859 3362 0 10 0 0 28 30 0 10 0

2318858 165414 67803 202 1155 136 0 414 1585 452 1405 316

24953398 534180 334291 642 2486 523 31 1158 3741 1337 3181 845

78931 47848 16926 30 270 0 0 110 370 60 300 60

5094165 464259 213687 233 952 74 26 714 1458 424 1143 376

13205297 404999 130896 257 1576 218 10 726 2407 564 1883 356

3548608 771031 492539 248 3762 48 24 1471 6492 912 4426 888

236807 196140 67364 120 460 0 20 373 600 240 580 260

3020175 315151 132257 308 772 85 22 669 1087 488 952 425

1852035 613169 216046 523 3199 399 0 1074 3913 1249 3925 850

283822 117593 36100 91 194 2 3 243 300 147 250 148

6450971 488544 238782 651 641 59 0 884 1069 887 877 828

4314164 1423544 634419 306 4240 36 19 2008 6815 790 4724 773

14523 12567 15630 0 90 0 0 34 120 0 90 0

397598668 633298 257381 379 3545 561 16 1221 5549 1338 4504 793

1816241 262997 86236 68 1890 80 10 654 2712 300 2122 230

34640514 39191674 1170850 1079 8930 1431 68 3001 12274 3879 11730 2516

909887 954518 128210 154 677 13 33 1323 888 224 747 244

2882123 626860 212503 378 2058 228 54 1239 3110 704 2384 530

7341488 204402 100310 69 952 121 0 458 1716 263 1146 142

154116 232041 41097 0 100 0 0 551 90 0 100 0

55581 48663 13830 10 560 0 0 118 610 30 580 30

148717958 1320600 724886 634 7444 284 18 2771 10367 1907 8717 1641

463176 298603 86020 68 812 8 8 750 1302 216 960 216

2653654 292212 179912 354 477 152 112 649 1008 723 846 683

331719 288171 78925 50 120 0 40 794 100 50 120 90

707387 135056 48903 150 310 10 0 357 610 240 400 230

226682 157213 52556 50 1840 10 0 397 2040 250 2040 240

5383429432 955207 434318 546 5958 554 40 2007 7839 1649 7061 1135

1262052 380102 133105 316 1760 118 0 836 2260 712 2156 594

1491882 235093 104007 143 1555 97 10 579 2994 514 1926 427

12332650 266441 120365 332 2056 302 1 710 2977 750 2474 449

9441669 344329 197942 359 2323 376 2 895 3578 975 2939 601

1456425 172798 92312 292 764 153 12 487 993 446 918 305

104053 271671 33108 0 20 0 0 758 30 0 20 0

119514 111379 27840 30 130 0 0 301 170 30 130 30

365529 97695 41731 112 505 72 0 242 1089 285 678 213

5252849 202863 78980 175 1483 241 0 568 2050 586 1894 345

21506 17024 6020 10 110 0 0 47 170 30 130 30

4267 3673 1375 0 0 0 0 8 40 0 0 0

170889 109010 30629 38 590 12 0 286 682 98 650 86

2965924365 1883804 617766 747 3078 365 49 1656 7019 1917 4248 1601

638 213 268 0 0 0 0 2 20 0 0 0

5061034 187869 113557 105 700 11 2 435 1277 229 824 220

236359 204502 46930 110 1340 5 0 398 1680 255 1485 250

1931607 433690 163718 294 2836 118 16 983 5532 720 3262 618

2417296 186229 88555 205 1448 189 6 521 2041 533 1776 350

11619 9619 3286 0 120 0 0 26 150 0 120 0

2907124 259241 131112 239 816 180 40 655 1601 601 1178 461

281996793 1230162 686130 945 3014 379 93 1899 5316 2036 4105 1750

548643733 608243 236003 275 1025 188 39 1082 1868 629 1379 480

764145 255984 141314 152 982 256 0 545 2756 704 1534 448

517821 233914 88833 122 585 77 0 505 1694 521 984 444

528246 133619 55068 40 1110 80 40 370 1720 180 1250 140

600768 170609 52764 100 690 0 0 498 840 180 770 180

185151 86805 27455 60 280 30 0 236 550 170 390 140

183838 126494 37414 14 173 8 0 338 245 42 201 34

8328840 491717 188087 292 2653 250 13 1105 3890 822 3183 585

29798568 208986 83797 117 1009 35 2 552 1380 288 1180 255

478481 181428 54569 76 888 94 0 390 1624 296 1108 202

46957 43211 7962 10 30 0 0 112 50 10 30 10

