Time-Ours  Time-Sinha  Time-noCtx SL-Sinha PL-Sinha SL-noCtx  PL-noCtx N NP  NOurs NSinha NnoCtx\n

15868578 113427215 1672498 286 704 166 28 8613 2858 889 1307 751

10171797 115234474 1080126 175 1213 329 16 8613 5042 950 1988 637

12506442 117074315 1357683 227 964 218 18 8613 3926 921 1658 721

14224858 117602841 1083394 350 334 102 71 8613 1075 610 594 579

14340516 124692687 2229998 262 867 190 19 8613 3517 924 1529 753

13725093 116989934 1569597 262 866 189 21 8613 3493 920 1524 752

9364508 113562123 999400 163 1268 348 14 8613 5254 944 2049 610

10689371 113454079 1172293 205 1129 294 18 8613 4643 952 1876 676

11825745 112678854 1326256 238 951 214 18 8613 3853 918 1631 722

15007402 113214688 1420530 324 577 135 35 8613 2339 854 1107 754
