Time-Ours  Time-Sinha  Time-noCtx SL-Sinha PL-Sinha SL-noCtx  PL-noCtx N NP  NOurs NSinha NnoCtx\n

5704952 23484611 564346 66 733 88 16 5201 2856 422 1089 350

5535578 23146690 573774 73 779 95 18 5201 3105 443 1149 366

5273802 22553181 488256 69 718 86 16 5201 2782 418 1067 348

4818682 23034283 492137 102 450 40 17 5201 1678 382 730 359

2244699 22614288 124723 18 59 2 24 5201 140 27 68 49

5291375 22891842 539054 70 838 104 16 5201 3293 426 1194 338

5449285 22631193 558987 77 752 90 17 5201 3018 447 1122 374

5252027 23243686 477889 72 696 82 17 5201 2699 419 1043 354

4840351 22724217 491701 103 422 36 19 5201 1546 366 685 349

5468893 22786189 545313 66 850 108 16 5201 3334 420 1204 328
